"Freq [GHz]","dB(S(1,1)) []"
2.5,-1.31507259196005
2.51,-1.35337056811317
2.52,-1.39305419055203
2.53,-1.43417972545608
2.54,-1.47680589674864
2.55,-1.52099398657894
2.56,-1.56680793867649
2.57,-1.61431446453098
2.58,-1.66358315233899
2.59,-1.71468657864672
2.6,-1.76770042260593
2.61,-1.82270358275046
2.62,-1.87977829619095
2.63,-1.93901026011948
2.64,-2.00048875551168
2.65,-2.06430677291462
2.66,-2.13056114021383
2.67,-2.19935265228517
2.68,-2.27078620245599
2.69,-2.34497091572979
2.7,-2.422020283768
2.71,-2.50205230167682
2.72,-2.58518960671549
2.73,-2.67155961913063
2.74,-2.76129468542931
2.75,-2.85453222453686
2.76,-2.95141487744588
2.77,-3.05209066115506
2.78,-3.15671312792383
2.79,-3.26544153113658
2.8,-3.37844099938144
2.81,-3.49588272071067
2.82,-3.61794413946567
2.83,-3.74480916852668
2.84,-3.87666842039193
2.85,-4.01371946110903
2.86,-4.15616709178191
2.87,-4.30422366316695
2.88,-4.45810942976315
2.89,-4.61805295080305
2.9,-4.7842915466783
2.91,-4.9570718206006
2.92,-5.13665025672436
2.93,-5.32329390756469
2.94,-5.51728118535906
2.95,-5.71890277407797
2.96,-5.92846268112849
2.97,-6.14627945046311
2.98,-6.37268756186646
2.99,-6.60803904471266
3,-6.85270533855444
3.01,-7.10707943762146
3.02,-7.37157836178709
3.03,-7.64664600294436
3.04,-7.93275640316175
3.05,-8.23041752962079
3.06,-8.54017562132055
3.07,-8.86262019398339
3.08,-9.19838980254402
3.09,-9.54817867491967
3.1,-9.91274434599639
3.11,-10.2929164359168
3.12,-10.6896067298166
3.13,-11.1038207233928
3.14,-11.5366707933667
3.15,-11.989391122106
3.16,-12.4633544304869
3.17,-12.9600904159472
3.18,-13.4813054896293
3.19,-14.0289028451563
3.2,-14.6050008734466
3.21,-15.211946110211
3.22,-15.85231363415
3.23,-16.5288819896681
3.24,-17.2445592467697
3.25,-18.002218087043
3.26,-18.8043644603115
3.27,-19.6525059416345
3.28,-20.5459876885137
3.29,-21.4799142060067
3.3,-22.4416023626259
3.31,-23.4050087582561
