"Freq [GHz]","dB(S(1,1)) []"
2.5,-1.31639130956925
2.51,-1.34698280176512
2.52,-1.37843665182965
2.53,-1.41078003265797
2.54,-1.4440409629469
2.55,-1.47824832657655
2.56,-1.51343189164373
2.57,-1.54962232904706
2.58,-1.58685123051409
2.59,-1.62515112595005
2.6,-1.66455549997733
2.61,-1.70509880752259
2.62,-1.74681648829637
2.63,-1.78974497999648
2.64,-1.83392173005295
2.65,-1.87938520571714
2.66,-1.92617490228218
2.67,-1.97433134920564
2.68,-2.02389611388776
2.69,-2.07491180284032
2.7,-2.12742205996241
2.71,-2.18147156161874
2.72,-2.23710600819518
2.73,-2.29437211178394
2.74,-2.35331757962732
2.75,-2.4139910929241
2.76,-2.47644228057716
2.77,-2.54072168743279
2.78,-2.60688073653381
2.79,-2.67497168487743
2.8,-2.74504757213617
2.81,-2.81716216176557
2.82,-2.89136987388459
2.83,-2.96772570927501
2.84,-3.04628516380241
2.85,-3.12710413251477
2.86,-3.21023880262333
2.87,-3.29574553451501
2.88,-3.3836807298843
2.89,-3.47410068600557
2.9,-3.56706143509266
2.91,-3.66261856761102
2.92,-3.76082703831743
2.93,-3.86174095370245
2.94,-3.96541333940088
2.95,-4.07189588601372
2.96,-4.18123867165225
2.97,-4.29348985936805
2.98,-4.40869536747452
2.99,-4.526898510593
3,-4.64813960907254
3.01,-4.77245556423743
3.02,-4.89987939671242
3.03,-5.03043974486701
3.04,-5.16416032021147
3.05,-5.30105931637585
3.06,-5.44114876811946
3.07,-5.58443385666473
3.08,-5.73091215754266
3.09,-5.88057282710024
3.1,-6.03339572387823
3.11,-6.18935046125687
3.12,-6.34839538812728
3.13,-6.51047649492828
3.14,-6.67552624325206
3.15,-6.84346231843858
3.16,-7.01418630622766
3.17,-7.18758229671275
3.18,-7.36351542164254
3.19,-7.54183033465261
3.2,-7.72234964839179
3.21,-7.90487234784008
3.22,-8.08917220548781
3.23,-8.27499623151761
3.24,-8.46206320071258
3.25,-8.65006230743844
3.26,-8.83865201054666
3.27,-9.02745914110825
3.28,-9.21607835702799
3.29,-9.40407203910967
3.3,-9.59097073210336
3.31,-9.77627424047547
3.32,-9.95945349067244
3.33,-10.139953267882
3.34,-10.3171959240411
3.35,-10.4905861334892
3.36,-10.6595167419409
3.37,-10.823375712672
3.38,-10.9815541212496
3.39,-11.1334550882747
3.4,-11.2785034714198
3.41,-11.4161560680406
3.42,-11.5459120137141
3.43,-11.6673230070631
3.44,-11.7800029542471
3.45,-11.8836366139013
3.46,-11.977986839666
3.47,-12.0629000646441
3.48,-12.1383097486093
3.49,-12.2042376094841
3.5,-12.260792577293
3.51,-12.3081675310899
3.52,-12.3466339961059
3.53,-12.3765350791851
3.54,-12.3982769972194
3.55,-12.4123196006632
3.56,-12.419166310752
3.57,-12.419353876595
3.58,-12.4134423214585
3.59,-12.4020053926334
3.6,-12.3856217633918
3.61,-12.3648671655271
3.62,-12.340307562748
3.63,-12.312493413285
3.64,-12.281955017432
3.65,-12.249198903901
3.66,-12.2147051780806
3.67,-12.178925734887
3.68,-12.1422832275996
3.69,-12.105170680288
3.7,-12.0679516334515
3.71,-12.0309607187093
3.72,-11.9945045673527
3.73,-11.9588629681157
3.74,-11.9242902006892
3.75,-11.8910164826051
3.76,-11.8592494776477
3.77,-11.8291758236166
3.78,-11.8009626458785
3.79,-11.7747590306524
3.8,-11.7506974383716
3.81,-11.7288950428187
3.82,-11.7094549861276
3.83,-11.6924675432856
3.84,-11.67801119257
3.85,-11.666153590511
3.86,-11.6569524516018
3.87,-11.6504563341565
3.88,-11.6467053345374
3.89,-11.6457316925017
3.9,-11.6475603107147
3.91,-11.6522091915994
3.92,-11.659689794673
3.93,-11.6700073174095
3.94,-11.6831609024836
3.95,-11.6991437740244
3.96,-11.7179433052624
3.97,-11.7395410196999
