"Freq [GHz]","dB(ActiveS(1:1)) []"
2.5,-0.813125625249039
2.51,-0.845299305969225
2.52,-0.875956954947991
2.53,-0.905252335421934
2.54,-0.933425710173245
2.55,-0.960775191681452
2.56,-0.987626665392319
2.57,-1.01430715498315
2.58,-1.04112443220082
2.59,-1.06835367636301
2.6,-1.09623057133467
2.61,-1.12494949935387
2.62,-1.15466531167427
2.63,-1.18549730745832
2.64,-1.21753434480211
2.65,-1.25084031753532
2.66,-1.28545949689504
2.67,-1.32142143901479
2.68,-1.3587453007912
2.69,-1.39744350039452
2.7,-1.43752471796132
2.71,-1.47899626814257
2.72,-1.52186589740832
2.73,-1.56614307080884
2.74,-1.61183981868631
2.75,-1.6589712156878
2.76,-1.70755556361102
2.77,-1.75761434693456
2.78,-1.8091720259342
2.79,-1.86225572752758
2.8,-1.91689488879618
2.81,-1.97312090278887
2.82,-2.0309668108928
2.83,-2.09046708082472
2.84,-2.15165750407788
2.85,-2.21457524126061
2.86,-2.27925903787404
2.87,-2.34574962630424
2.88,-2.41409032171695
2.89,-2.48432780972961
2.9,-2.55651311189266
2.91,-2.63070270104229
2.92,-2.70695972271099
2.93,-2.7853552616502
2.94,-2.86596957528444
2.95,-2.9488932002663
2.96,-3.03422782637494
2.97,-3.12208682619747
2.98,-3.21259533168503
2.99,-3.30588976159613
3,-3.40211672784446
3.01,-3.50143128322472
3.02,-3.60399451556753
3.03,-3.70997054008656
3.04,-3.81952298728765
3.05,-3.93281112257459
3.06,-4.04998576035207
3.07,-4.171185146203
3.08,-4.29653097405703
3.09,-4.42612468220337
3.1,-4.5600441359818
3.11,-4.69834076122265
3.12,-4.84103714700605
3.13,-4.98812509483938
3.14,-5.13956405853921
3.15,-5.29527989788579
3.16,-5.45516386055483
3.17,-5.6190717102941
3.18,-5.78682293291246
3.19,-5.95819997277513
3.2,-6.13294747834696
3.21,-6.31077156330179
3.22,-6.49133911769786
3.23,-6.67427723014026
3.24,-6.85917280565775
3.25,-7.04557248452768
3.26,-7.23298298398499
3.27,-7.42087199713011
3.28,-7.60866979070674
3.29,-7.79577164477139
3.3,-7.98154127132732
3.31,-8.16531533421291
3.32,-8.3464091673186
3.33,-8.52412375117031
3.34,-8.69775395825727
3.35,-8.86659801539797
3.36,-9.02996805855379
3.37,-9.18720157519403
3.38,-9.33767344685781
3.39,-9.48080822695851
3.4,-9.61609222437268
3.41,-9.74308492051202
3.42,-9.8614292340965
3.43,-9.97086016922817
3.44,-10.0712114406969
3.45,-10.1624197635847
3.46,-10.2445266156229
3.47,-10.3176774200092
3.48,-10.382118240617
3.49,-10.4381902170803
3.5,-10.4863220817236
3.51,-10.5270211842278
3.52,-10.5608634978767
3.53,-10.5884830922511
3.54,-10.6105615344836
3.55,-10.6278176309736
3.56,-10.6409978519981
3.57,-10.6508677017058
3.58,-10.6582042137547
3.59,-10.6637896751328
3.6,-10.6684066124545
3.61,-10.6728340193004
3.62,-10.6778447612413
3.63,-10.6842040669458
3.64,-10.6926689980808
3.65,-10.7039887858242
3.66,-10.7189059257022
3.67,-10.7381579331064
3.68,-10.762479677368
3.69,-10.7926062310872
3.7,-10.829276192277
3.71,-10.8732354588902
3.72,-10.9252414579067
3.73,-10.9860678541727
3.74,-11.0565097877346
3.75,-11.1373897129965
3.76,-11.2295639394723
3.77,-11.3339300034571
3.78,-11.4514350342479
3.79,-11.5830853198059
3.8,-11.7299573277152
3.81,-11.8932105014563
3.82,-12.0741022336944
3.83,-12.2740055228597
3.84,-12.4944299533549
3.85,-12.7370468113247
3.86,-13.0037193666681
3.87,-13.2965396288927
3.88,-13.617873230851
3.89,-13.9704145187464
3.9,-14.3572544257855
3.91,-14.7819642441749
3.92,-15.2486988655402
3.93,-15.7623231092185
3.94,-16.3285635906547
3.95,-16.9541842275834
3.96,-17.6471711755815
3.97,-18.416881130621
3.98,-19.2740269361691
3.99,-20.2301748848517
4,-21.2959309150837
4.01,-22.4757732911543
4.02,-23.7547130627027
4.03,-25.0672740945836
4.04,-26.2411761350883
4.05,-26.9605665290852
4.06,-26.915180614356
4.07,-26.1185828454344
4.08,-24.8915997847731
4.09,-23.5420627337495
4.1,-22.2331845088199
4.11,-21.0255980563915
4.12,-19.9322869090005
4.13,-18.9480564603718
4.14,-18.062090273527
4.15,-17.2627871843725
4.16,-16.539445026688
4.17,-15.8827151750393
4.18,-15.2846016476151
4.19,-14.7383105000588
4.2,-14.238067459149
4.21,-13.7789464961612
4.22,-13.3567221466878
4.23,-12.9677469168828
4.24,-12.6088511392552
4.25,-12.277261653603
4.26,-11.9705358262465
4.27,-11.6865079169549
4.28,-11.4232453532032
4.29,-11.1790129651802
4.3,-10.9522436420176
4.31,-10.7415141913274
4.32,-10.5455254325264
4.33,-10.3630857443945
4.34,-10.1930974329304
4.35,-10.034545399133
4.36,-9.88648767806788
4.37,-9.74804749848003
4.38,-9.61840658203934
4.39,-9.49679946639765
4.4,-9.38250869751553
4.41,-9.2748607928076
4.42,-9.17322292433962
4.43,-9.07700030637558
4.44,-8.98563428998816
4.45,-8.89860116668599
4.46,-8.81541166320097
4.47,-8.73561107410574
4.48,-8.65877993423636
4.49,-8.58453508743767
4.5,-8.51253097073428
4.51,-8.44246091100338
4.52,-8.37405822899304
4.53,-8.30709696384437
4.54,-8.24139206738883
4.55,-8.17679896604318
4.56,-8.11321244245247
4.57,-8.05056484250763
4.58,-7.98882366046199
4.59,-7.92798859179825
4.6,-7.86808816837877
4.61,-7.80917610311028
4.62,-7.75132747307134
4.63,-7.69463486283777
4.64,-7.63920457603796
4.65,-7.58515300542332
4.66,-7.53260323214183
4.67,-7.48168190524128
4.68,-7.43251643402429
4.69,-7.38523250960248
4.7,-7.33995195832555
4.71,-7.29679091885325
4.72,-7.25585832641738
4.73,-7.21725468206151
4.74,-7.18107108102955
4.75,-7.14738847265407
4.76,-7.11627712372504
4.77,-7.08779625808346
4.78,-7.06199384680757
4.79,-7.03890652561182
4.8,-7.01855961877076
4.81,-7.00096725185314
4.82,-6.98613253866839
4.83,-6.97404783095791
4.84,-6.96469502237871
4.85,-6.95804590109517
4.86,-6.95406254768437
4.87,-6.95269777695553
4.88,-6.95389562359458
4.89,-6.9575918722365
4.9,-6.96371463266657
4.91,-6.97218496046383
