"Freq [GHz]","dB(ActiveS(1:1)) []"
2.5,-0.840186427674521
2.51,-0.872200979073848
2.52,-0.905017500714449
2.53,-0.938928691846855
2.54,-0.974166949585034
2.55,-1.0108950293221
2.56,-1.04920789093579
2.57,-1.08914256640133
2.58,-1.13069231687276
2.59,-1.17382183915259
2.6,-1.21848127231664
2.61,-1.26461778300016
2.62,-1.3121843187144
2.63,-1.361145641709
2.64,-1.41148202765854
2.65,-1.46319110891265
2.66,-1.51628833395859
2.67,-1.57080645706526
2.68,-1.62679439831782
2.69,-1.68431574201728
2.7,-1.74344707809362
2.71,-1.80427633855431
2.72,-1.86690123832539
2.73,-1.93142789560143
2.74,-1.99796967947334
2.75,-2.06664631089776
2.76,-2.13758322604828
2.77,-2.21091119798637
2.78,-2.2867662027613
2.79,-2.36528950889035
2.8,-2.44662796409948
2.81,-2.53093444966056
2.82,-2.61836847012239
2.83,-2.70909684425211
2.84,-2.80329446123433
2.85,-2.90114506439946
2.86,-3.00284202290652
2.87,-3.10858904999318
2.88,-3.21860082491107
2.89,-3.33310347494766
2.9,-3.45233487462126
2.91,-3.57654472196486
2.92,-3.70599435759061
2.93,-3.84095630170333
2.94,-3.98171349798085
2.95,-4.12855827148975
2.96,-4.28179103026243
2.97,-4.44171876586297
2.98,-4.60865343549977
2.99,-4.78291033456704
3,-4.96480659095289
3.01,-5.15465992791062
3.02,-5.3527878479635
3.03,-5.55950738433035
3.04,-5.77513554828302
3.05,-5.99999057200453
3.06,-6.23439401002119
3.07,-6.47867372268456
3.08,-6.73316772780926
3.09,-6.99822887668734
3.1,-7.27423029264408
3.11,-7.56157150688095
3.12,-7.86068523856909
3.13,-8.17204479333943
3.14,-8.49617209460799
3.15,-8.83364641323391
3.16,-9.18511392075147
3.17,-9.55129825867403
3.18,-9.93301239134916
3.19,-10.3311720943982
3.2,-10.7468115284917
3.21,-11.1811014643874
3.22,-11.6353708666877
3.23,-12.1111327189057
3.24,-12.6101151901895
3.25,-13.1342995127399
3.26,-13.685966262537
3.27,-14.2677521055553
3.28,-14.8827194460288
