"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-180,-17.5457568100749
2,3.8,90,-179,-19.1407877122187
2,3.8,90,-178,-21.0361750787355
2,3.8,90,-177,-23.3187345379934
2,3.8,90,-176,-26.1198771072288
2,3.8,90,-175,-29.58397161892
2,3.8,90,-174,-33.3397282634942
2,3.8,90,-173,-34.4604807712564
2,3.8,90,-172,-32.1068642863113
2,3.8,90,-171,-29.6520984794558
2,3.8,90,-170,-27.8760403835286
2,3.8,90,-169,-26.6702008966909
2,3.8,90,-168,-25.8987074644134
2,3.8,90,-167,-25.473233400994
2,3.8,90,-166,-25.3416115181561
2,3.8,90,-165,-25.4755792288581
2,3.8,90,-164,-25.8635349049202
2,3.8,90,-163,-26.5070159581632
2,3.8,90,-162,-27.4198418996111
2,3.8,90,-161,-28.6295581610768
2,3.8,90,-160,-30.1811948612902
2,3.8,90,-159,-32.142322209081
2,3.8,90,-158,-34.5986618631671
2,3.8,90,-157,-37.5641456874
2,3.8,90,-156,-40.405319934193
2,3.8,90,-155,-40.8932785681125
2,3.8,90,-154,-38.888563534691
2,3.8,90,-153,-36.62602992897
2,3.8,90,-152,-34.7819206439463
2,3.8,90,-151,-33.3262530336496
2,3.8,90,-150,-32.1504001504257
2,3.8,90,-149,-31.1705798999483
2,3.8,90,-148,-30.3342602928695
2,3.8,90,-147,-29.6132233225541
2,3.8,90,-146,-28.9955126793703
2,3.8,90,-145,-28.4782866814168
2,3.8,90,-144,-28.0621969917768
2,3.8,90,-143,-27.7473627214834
2,3.8,90,-142,-27.5305698299328
2,3.8,90,-141,-27.4031502427916
2,3.8,90,-140,-27.3491284189217
2,3.8,90,-139,-27.3436449393138
2,3.8,90,-138,-27.3523749879047
2,3.8,90,-137,-27.3334887183485
2,3.8,90,-136,-27.2438891902046
2,3.8,90,-135,-27.049659035822
2,3.8,90,-134,-26.7367211953482
2,3.8,90,-133,-26.315247280329
2,3.8,90,-132,-25.8146907121598
2,3.8,90,-131,-25.2730733883432
2,3.8,90,-130,-24.7269913627508
2,3.8,90,-129,-24.206005554013
2,3.8,90,-128,-23.7312354938244
2,3.8,90,-127,-23.3163401979993
2,3.8,90,-126,-22.9692972396954
2,3.8,90,-125,-22.6941274559319
2,3.8,90,-124,-22.4922646479825
2,3.8,90,-123,-22.3635436811925
2,3.8,90,-122,-22.3068768461625
2,3.8,90,-121,-22.3207029837422
2,3.8,90,-120,-22.4032800941067
2,3.8,90,-119,-22.5528729489598
2,3.8,90,-118,-22.7678703400561
2,3.8,90,-117,-23.0468534464661
2,3.8,90,-116,-23.388626602773
2,3.8,90,-115,-23.7922130723667
2,3.8,90,-114,-24.2568096156483
2,3.8,90,-113,-24.781682729159
2,3.8,90,-112,-25.3659738704732
2,3.8,90,-111,-26.0083573522469
2,3.8,90,-110,-26.7064587386931
2,3.8,90,-109,-27.4558906270565
2,3.8,90,-108,-28.2487028428387
2,3.8,90,-107,-29.0710137128113
2,3.8,90,-106,-29.8997129586985
2,3.8,90,-105,-30.6986988057748
2,3.8,90,-104,-31.4165636598483
2,3.8,90,-103,-31.9898652060355
2,3.8,90,-102,-32.3566396108896
2,3.8,90,-101,-32.4786240192777
2,3.8,90,-100,-32.3588670369176
2,3.8,90,-99,-32.0397035215911
2,3.8,90,-98,-31.5829529754856
2,3.8,90,-97,-31.0485759913832
2,3.8,90,-96,-30.4831478041751
2,3.8,90,-95,-29.9179332800486
2,3.8,90,-94,-29.3716497302215
2,3.8,90,-93,-28.8541705694017
2,3.8,90,-92,-28.3695915444571
2,3.8,90,-91,-27.9183500333339
2,3.8,90,-90,-27.4985495725154
2,3.8,90,-89,-27.1067240751269
2,3.8,90,-88,-26.7382382352625
2,3.8,90,-87,-26.3874665700015
2,3.8,90,-86,-26.0478538081281
2,3.8,90,-85,-25.7119374855076
2,3.8,90,-84,-25.3714049459242
2,3.8,90,-83,-25.0172536269575
2,3.8,90,-82,-24.6401152814854
2,3.8,90,-81,-24.2307801363588
2,3.8,90,-80,-23.7809077185648
2,3.8,90,-79,-23.2838406487058
2,3.8,90,-78,-22.7353683829771
2,3.8,90,-77,-22.1342566414495
2,3.8,90,-76,-21.4823954794859
2,3.8,90,-75,-20.7845213907452
2,3.8,90,-74,-20.047592577048
2,3.8,90,-73,-19.2799833174282
2,3.8,90,-72,-18.4906797481671
2,3.8,90,-71,-17.6886139499059
2,3.8,90,-70,-16.882201435694
2,3.8,90,-69,-16.0790834389806
2,3.8,90,-68,-15.2860369108838
2,3.8,90,-67,-14.5090018675554
2,3.8,90,-66,-13.7531792019998
2,3.8,90,-65,-13.0231630793711
2,3.8,90,-64,-12.3230842352114
2,3.8,90,-63,-11.6567507888943
2,3.8,90,-62,-11.0277807039463
2,3.8,90,-61,-10.4397250516426
2,3.8,90,-60,-9.89618444914622
2,3.8,90,-59,-9.40092316837777
2,3.8,90,-58,-8.95798707608162
2,3.8,90,-57,-8.57183331535426
2,3.8,90,-56,-8.2474820132607
2,3.8,90,-55,-7.99070395664927
2,3.8,90,-54,-7.80826409768384
2,3.8,90,-53,-7.708250582381
2,3.8,90,-52,-7.7005357398816
2,3.8,90,-51,-7.7974448876565
2,3.8,90,-50,-8.01476254104063
2,3.8,90,-49,-8.37330855530039
2,3.8,90,-48,-8.90152566643015
2,3.8,90,-47,-9.63997484059327
2,3.8,90,-46,-10.6497149355664
2,3.8,90,-45,-12.029401485841
2,3.8,90,-44,-13.9546313070354
2,3.8,90,-43,-16.7846000550927
2,3.8,90,-42,-21.4140388004445
2,3.8,90,-41,-28.9363049191714
2,3.8,90,-40,-22.8955632252843
2,3.8,90,-39,-16.9402646738174
2,3.8,90,-38,-13.2627668112419
2,3.8,90,-37,-10.678840205435
2,3.8,90,-36,-8.74127367933895
2,3.8,90,-35,-7.2467655091536
2,3.8,90,-34,-6.0896642506366
2,3.8,90,-33,-5.21124070428183
2,3.8,90,-32,-4.57894815832658
2,3.8,90,-31,-4.17714939900561
2,3.8,90,-30,-4.00312823210535
2,3.8,90,-29,-4.06620892304593
2,3.8,90,-28,-4.38953717556041
2,3.8,90,-27,-5.01539300466348
2,3.8,90,-26,-6.01701945938939
2,3.8,90,-25,-7.52530034001978
2,3.8,90,-24,-9.79565797230415
2,3.8,90,-23,-13.4025496398156
2,3.8,90,-22,-19.6044473256788
2,3.8,90,-21,-19.674518579692
2,3.8,90,-20,-12.8221936538188
2,3.8,90,-19,-8.61093928009435
2,3.8,90,-18,-5.78609630248659
2,3.8,90,-17,-3.75598042461179
2,3.8,90,-16,-2.26346435162979
2,3.8,90,-15,-1.18240588630783
2,3.8,90,-14,-0.448765838544481
2,3.8,90,-13,-0.0345181973352246
2,3.8,90,-12,0.0617772834687127
2,3.8,90,-11,-0.184812875284793
2,3.8,90,-10,-0.834577050841583
2,3.8,90,-9,-2.0089616618723
2,3.8,90,-8,-3.96191721142127
2,3.8,90,-7,-7.32182330893914
2,3.8,90,-6,-14.3345544299534
2,3.8,90,-5,-16.938397005929
2,3.8,90,-4,-6.96746381868805
2,3.8,90,-3,-1.94090004937257
2,3.8,90,-2,1.41062846674539
2,3.8,90,-1,3.91268786015944
2,3.8,90,0,5.88538802249136
2,3.8,90,1,7.48594371933791
2,3.8,90,2,8.80312512419983
2,3.8,90,3,9.89183518771859
2,3.8,90,4,10.7882225236392
2,3.8,90,5,11.5171404974446
2,3.8,90,6,12.0961668994899
2,3.8,90,7,12.5379147769133
2,3.8,90,8,12.8514230700434
2,3.8,90,9,13.043015880399
2,3.8,90,10,13.116833297791
2,3.8,90,11,13.0751429863597
2,3.8,90,12,12.9184902219847
2,3.8,90,13,12.6457122240177
2,3.8,90,14,12.2538188671773
2,3.8,90,15,11.7377187170413
2,3.8,90,16,11.0897396261108
2,3.8,90,17,10.2988464067888
2,3.8,90,18,9.34937461918687
2,3.8,90,19,8.21893643320744
2,3.8,90,20,6.87480934690446
2,3.8,90,21,5.26732087834545
2,3.8,90,22,3.31669113889452
2,3.8,90,23,0.883737153899381
2,3.8,90,24,-2.3067893581243
2,3.8,90,25,-6.92339410103407
2,3.8,90,26,-15.2753113104161
2,3.8,90,27,-17.04642155434
2,3.8,90,28,-9.08262131975135
2,3.8,90,29,-5.32074884915301
2,3.8,90,30,-3.10936449228849
2,3.8,90,31,-1.70772740793645
2,3.8,90,32,-0.821773115692233
2,3.8,90,33,-0.307867617157911
2,3.8,90,34,-0.0875906935304723
2,3.8,90,35,-0.116157332953213
2,3.8,90,36,-0.368886235960609
2,3.8,90,37,-0.835131963126719
