"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-180,-9.33395709081967
2,3.8,90,-179,-10.3577923458484
2,3.8,90,-178,-11.8697022844417
2,3.8,90,-177,-13.810858550859
2,3.8,90,-176,-15.6537475978606
2,3.8,90,-175,-15.9927226389062
2,3.8,90,-174,-14.4609754064162
2,3.8,90,-173,-12.4833204474286
2,3.8,90,-172,-10.8587146579153
2,3.8,90,-171,-9.7295837939048
2,3.8,90,-170,-9.07730739626667
2,3.8,90,-169,-8.87250326367997
2,3.8,90,-168,-9.1059921909486
2,3.8,90,-167,-9.79595215309897
2,3.8,90,-166,-10.992192275411
2,3.8,90,-165,-12.7732532533413
2,3.8,90,-164,-15.1723388622489
2,3.8,90,-163,-17.6642138734183
2,3.8,90,-162,-18.0638266367113
2,3.8,90,-161,-15.8821220232267
2,3.8,90,-160,-13.4635199712001
2,3.8,90,-159,-11.6270201215022
2,3.8,90,-158,-10.3848200994007
2,3.8,90,-157,-9.65424752132169
2,3.8,90,-156,-9.37694480548423
2,3.8,90,-155,-9.52876685932625
2,3.8,90,-154,-10.119340165909
2,3.8,90,-153,-11.1968000527041
2,3.8,90,-152,-12.8609601382299
2,3.8,90,-151,-15.2739420664893
2,3.8,90,-150,-18.4990913787623
2,3.8,90,-149,-20.8974211453219
2,3.8,90,-148,-18.8865526212181
2,3.8,90,-147,-15.5724481862911
2,3.8,90,-146,-13.0128904945164
2,3.8,90,-145,-11.197968583188
2,3.8,90,-144,-9.94920728517173
2,3.8,90,-143,-9.14543194818457
2,3.8,90,-142,-8.7146632164906
2,3.8,90,-141,-8.61716308740329
2,3.8,90,-140,-8.83508239123258
2,3.8,90,-139,-9.36604456632661
2,3.8,90,-138,-10.2159456565259
2,3.8,90,-137,-11.3804477440618
2,3.8,90,-136,-12.7844449703469
2,3.8,90,-135,-14.113943822505
2,3.8,90,-134,-14.6332020664837
2,3.8,90,-133,-13.7800455729678
2,3.8,90,-132,-12.0544611521317
2,3.8,90,-131,-10.1969791633632
2,3.8,90,-130,-8.52826283296783
2,3.8,90,-129,-7.11447736500728
2,3.8,90,-128,-5.94203294957338
2,3.8,90,-127,-4.98080024438685
2,3.8,90,-126,-4.20159803106498
2,3.8,90,-125,-3.57994262586776
2,3.8,90,-124,-3.09609262053345
2,3.8,90,-123,-2.73427019770979
2,3.8,90,-122,-2.4818452791402
2,3.8,90,-121,-2.32866529997319
2,3.8,90,-120,-2.26654532601704
2,3.8,90,-119,-2.28889301954999
2,3.8,90,-118,-2.39043932738786
2,3.8,90,-117,-2.56705133867451
2,3.8,90,-116,-2.81561059681634
2,3.8,90,-115,-3.13394630198634
2,3.8,90,-114,-3.52081819570936
2,3.8,90,-113,-3.97594893069383
