"Freq [GHz]","dB(ActiveS(4:1)) []"
2.5,-0.0818389210706254
2.51,-0.0705477569686474
2.52,-0.0606420276934243
2.53,-0.0521771373146456
2.54,-0.0451325220080049
2.55,-0.0394235497733797
2.56,-0.0349186354202239
2.57,-0.0314574866557391
2.58,-0.0288675256810888
2.59,-0.0269769297802347
2.6,-0.025623920560736
2.61,-0.0246626984221373
2.62,-0.023966774649768
2.63,-0.0234305108195511
2.64,-0.0229695636773555
2.65,-0.0225207557003565
2.66,-0.0220417110458227
2.67,-0.0215104449248997
2.68,-0.0209249814006789
2.69,-0.0203029981763129
2.7,-0.0196814500338963
2.71,-0.0191160970843921
2.72,-0.0186808527859131
2.73,-0.0184668645916515
2.74,-0.018581244060497
2.75,-0.0191453722579736
2.76,-0.020292720803013
2.77,-0.0221661503769652
2.78,-0.0249146783513469
2.79,-0.0286897459804115
2.8,-0.0336410621977324
2.81,-0.0399121520434824
2.82,-0.0476357874169541
2.83,-0.0569295187976617
2.84,-0.0678915509893934
2.85,-0.0805972072897712
2.86,-0.0950962012825372
2.87,-0.111410884499444
2.88,-0.129535566944667
2.89,-0.149436925193074
2.9,-0.171055430780277
2.91,-0.194307660931857
2.92,-0.219089302876397
2.93,-0.245278636597236
2.94,-0.27274027897464
2.95,-0.301328991023909
2.96,-0.330893382928596
2.97,-0.361279391422524
2.98,-0.392333443948092
2.99,-0.423905258684803
3,-0.455850255925832
3.01,-0.488031573484084
3.02,-0.520321687763582
3.03,-0.552603645035325
3.04,-0.58477190713776
3.05,-0.616732815144448
3.06,-0.648404675910634
3.07,-0.679717481416156
3.08,-0.710612280046655
3.09,-0.741040231938819
3.1,-0.770961395883893
3.11,-0.800343311012009
3.12,-0.829159450249329
3.13,-0.857387632143818
3.14,-0.885008481368848
3.15,-0.912004025085125
3.16,-0.938356502335291
3.17,-0.964047447634458
3.18,-0.989057089523472
3.19,-1.01336408216544
3.2,-1.03694556534122
3.21,-1.05977752752653
3.22,-1.08183542978746
3.23,-1.10309503611218
3.24,-1.12353338896935
3.25,-1.14312986721616
3.26,-1.16186726635097
3.27,-1.1797328475594
3.28,-1.19671931090535
3.29,-1.21282565821276
3.3,-1.22805792161036
3.31,-1.24242974349333
3.32,-1.25596280214888
3.33,-1.26868708409856
3.34,-1.28064100916805
3.35,-1.29187141744997
3.36,-1.30243342889274
3.37,-1.31239018656379
3.38,-1.3218124941145
3.39,-1.33077835706488
3.4,-1.33937243666547
3.41,-1.34768542467325
3.42,-1.35581334770371
3.43,-1.3638568110874
3.44,-1.37192019442579
3.45,-1.3801108142274
3.46,-1.38853807288609
3.47,-1.39731261749942
3.48,-1.40654553618697
3.49,-1.41634762319442
3.5,-1.42682874671177
3.51,-1.43809735462193
3.52,-1.4502601530745
3.53,-1.46342199074714
3.54,-1.47768597797027
3.55,-1.49315386476041
3.56,-1.50992669556508
3.57,-1.52810575158409
3.58,-1.54779378435431
3.59,-1.56909653732181
3.6,-1.5921245457961
3.61,-1.61699520034807
3.62,-1.64383505466978
3.63,-1.67278235637695
3.64,-1.70398977834897
3.65,-1.73762732903657
3.66,-1.77388542272064
3.67,-1.81297809490298
3.68,-1.85514635369624
3.69,-1.90066166502723
3.7,-1.94982957735423
3.71,-2.00299350001127
3.72,-2.06053865767492
3.73,-2.12289625104239
3.74,-2.19054785947881
3.75,-2.26403012332892
3.76,-2.34393973875483
3.77,-2.43093878115298
3.78,-2.52576033559796
3.79,-2.6292143400144
3.8,-2.74219341747262
3.81,-2.86567826154727
3.82,-3.00074182527445
3.83,-3.14855118661807
3.84,-3.31036572320337
3.85,-3.4875306885804
3.86,-3.68146752993218
3.87,-3.89366754436075
3.88,-4.12570309563969
3.89,-4.37927450976427
3.9,-4.65629953022718
3.91,-4.95902251096955
3.92,-5.29009547876922
3.93,-5.65259712388694
3.94,-6.05000367219541
3.95,-6.48615891860529
3.96,-6.96528149314297
3.97,-7.49201702238341
3.98,-8.07152068383871
3.99,-8.70954638021342
4,-9.41250928699829
4.01,-10.1874613948254
4.02,-11.0418511695673
4.03,-11.9827824767476
4.04,-13.0151463665619
4.05,-14.1372840245309
4.06,-15.3315187332116
4.07,-16.5453961408762
4.08,-17.6622926739056
4.09,-18.4826777830794
4.1,-18.7844245619025
4.11,-18.4870502349922
4.12,-17.7305069331105
4.13,-16.7431445216256
4.14,-15.6994226371309
4.15,-14.6922702242155
4.16,-13.7600783387589
4.17,-12.913469111098
4.18,-12.1507959629056
4.19,-11.4656831632139
4.2,-10.8504141473623
4.21,-10.2973631358807
4.22,-9.79954181118357
4.23,-9.35075680272204
4.24,-8.94560311440236
4.25,-8.57939472589366
4.26,-8.24807711192371
4.27,-7.94814064768122
4.28,-7.67654213932466
4.29,-7.43063645025252
4.3,-7.20811789862193
4.31,-7.00697017465196
4.32,-6.82542327362247
4.33,-6.66191614406466
4.34,-6.51506437834916
4.35,-6.38363312455041
4.36,-6.26651584850066
4.37,-6.16271895693476
4.38,-6.07135086602537
4.39,-5.99161316804961
4.4,-5.92279201323433
4.41,-5.86424912390615
4.42,-5.8154128478106
4.43,-5.77576988385211
4.44,-5.74485807153108
4.45,-5.7222603332249
4.46,-5.70759967617493
4.47,-5.70053509621537
4.48,-5.70075822335136
