"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-180,-7.52348115694656
2,3.8,90,-179,-7.08377207124863
2,3.8,90,-178,-7.10713889008727
2,3.8,90,-177,-7.58625851698339
2,3.8,90,-176,-8.54475046062821
2,3.8,90,-175,-10.0277468972801
2,3.8,90,-174,-12.0459072787108
2,3.8,90,-173,-14.2771415787324
2,3.8,90,-172,-15.3104442953216
2,3.8,90,-171,-13.9916045529704
2,3.8,90,-170,-11.8299613472324
2,3.8,90,-169,-9.9915116103016
2,3.8,90,-168,-8.68060696347582
2,3.8,90,-167,-7.86027079108945
2,3.8,90,-166,-7.47293531303891
2,3.8,90,-165,-7.47496847376883
2,3.8,90,-164,-7.83321895479924
2,3.8,90,-163,-8.50864083664533
2,3.8,90,-162,-9.42095876111289
2,3.8,90,-161,-10.3813274129414
2,3.8,90,-160,-11.0316025047737
2,3.8,90,-159,-10.9938805534211
2,3.8,90,-158,-10.2639629449087
2,3.8,90,-157,-9.20896932256501
2,3.8,90,-156,-8.17270959227349
2,3.8,90,-155,-7.32669103064892
2,3.8,90,-154,-6.72923116799165
2,3.8,90,-153,-6.38939723578551
2,3.8,90,-152,-6.29718257310197
2,3.8,90,-151,-6.4327138361766
2,3.8,90,-150,-6.76413383537046
2,3.8,90,-149,-7.23729552816
2,3.8,90,-148,-7.7593609630274
2,3.8,90,-147,-8.18750104676282
2,3.8,90,-146,-8.35383049429396
2,3.8,90,-145,-8.14969437446046
2,3.8,90,-144,-7.60405415601277
2,3.8,90,-143,-6.85377585659085
2,3.8,90,-142,-6.04686937621432
2,3.8,90,-141,-5.28543662926367
2,3.8,90,-140,-4.62265109754044
2,3.8,90,-139,-4.07856024168068
2,3.8,90,-138,-3.65408616153609
2,3.8,90,-137,-3.33932830601867
2,3.8,90,-136,-3.11765931585137
2,3.8,90,-135,-2.96754143741974
2,3.8,90,-134,-2.86350566704428
2,3.8,90,-133,-2.77735926733851
2,3.8,90,-132,-2.68038516851843
2,3.8,90,-131,-2.54678702529278
2,3.8,90,-130,-2.35777716259661
2,3.8,90,-129,-2.10484775950872
2,3.8,90,-128,-1.79067632721252
2,3.8,90,-127,-1.4271693547807
2,3.8,90,-126,-1.031615768101
2,3.8,90,-125,-0.622623453965819
2,3.8,90,-124,-0.217103785481231
2,3.8,90,-123,0.171312090617515
2,3.8,90,-122,0.532688419121122
2,3.8,90,-121,0.860504456369507
2,3.8,90,-120,1.1510804022823
2,3.8,90,-119,1.40295801825111
2,3.8,90,-118,1.6163544195948
2,3.8,90,-117,1.79272702804716
2,3.8,90,-116,1.93444731889723
2,3.8,90,-115,2.04456502903211
2,3.8,90,-114,2.12664081786052
2,3.8,90,-113,2.18462685294557
2,3.8,90,-112,2.22277785953113
2,3.8,90,-111,2.24557834336321
2,3.8,90,-110,2.2576745583327
2,3.8,90,-109,2.26380243114663
2,3.8,90,-108,2.26870534363966
2,3.8,90,-107,2.27703867156649
2,3.8,90,-106,2.29326140322737
2,3.8,90,-105,2.32151887630698
2,3.8,90,-104,2.36552423817617
2,3.8,90,-103,2.42844896207937
2,3.8,90,-102,2.51283387488919
2,3.8,90,-101,2.62053111738376
2,3.8,90,-100,2.7526842042112
2,3.8,90,-99,2.90974844804102
2,3.8,90,-98,3.09154855190192
2,3.8,90,-97,3.29736542461047
2,3.8,90,-96,3.52604125698598
2,3.8,90,-95,3.77609106977765
2,3.8,90,-94,4.04581013525808
2,3.8,90,-93,4.33336924789831
2,3.8,90,-92,4.63689296648888
2,3.8,90,-91,4.95451895541863
2,3.8,90,-90,5.28443895032288
2,3.8,90,-89,5.62492347383529
2,3.8,90,-88,5.97433325968318
2,3.8,90,-87,6.33112056286207
2,3.8,90,-86,6.69382333741885
2,3.8,90,-85,7.0610548347568
2,3.8,90,-84,7.43149065628223
2,3.8,90,-83,7.80385477928882
2,3.8,90,-82,8.17690561771301
2,3.8,90,-81,8.54942280283799
2,3.8,90,-80,8.92019507651832
2,3.8,90,-79,9.28800947334068
2,3.8,90,-78,9.65164181568313
2,3.8,90,-77,10.0098484430923
2,3.8,90,-76,10.3613590319119
2,3.8,90,-75,10.704870321683
2,3.8,90,-74,11.039040542619
2,3.8,90,-73,11.3624843264964
2,3.8,90,-72,11.6737678763101
2,3.8,90,-71,11.9714041639452
2,3.8,90,-70,12.2538479167259
2,3.8,90,-69,12.5194901403144
2,3.8,90,-68,12.7666519044933
2,3.8,90,-67,12.993577087168
2,3.8,90,-66,13.1984237271836
2,3.8,90,-65,13.3792535740694
2,3.8,90,-64,13.5340193368328
2,3.8,90,-63,13.6605490164314
2,3.8,90,-62,13.7565265461335
2,3.8,90,-61,13.8194677441393
2,3.8,90,-60,13.8466902794049
2,3.8,90,-59,13.8352759285922
2,3.8,90,-58,13.7820228050151
2,3.8,90,-57,13.6833843855026
2,3.8,90,-56,13.5353909165617
2,3.8,90,-55,13.3335469357462
2,3.8,90,-54,13.0726958504634
2,3.8,90,-53,12.7468381887316
2,3.8,90,-52,12.3488832570334
2,3.8,90,-51,11.8703026828425
2,3.8,90,-50,11.3006352816416
2,3.8,90,-49,10.626759261907
2,3.8,90,-48,9.83178649579459
2,3.8,90,-47,8.89331540203738
2,3.8,90,-46,7.78053709746278
2,3.8,90,-45,6.44915776668784
2,3.8,90,-44,4.83182568039417
2,3.8,90,-43,2.81835396694656
2,3.8,90,-42,0.209738367015716
2,3.8,90,-41,-3.40532146273927
2,3.8,90,-40,-8.98094769735177
2,3.8,90,-39,-14.3747095965319
2,3.8,90,-38,-8.21280851009523
2,3.8,90,-37,-3.73590612817562
2,3.8,90,-36,-0.974020486463835
2,3.8,90,-35,0.870164686988644
2,3.8,90,-34,2.13636205325079
2,3.8,90,-33,2.98817395211559
2,3.8,90,-32,3.51202986752179
2,3.8,90,-31,3.75467993608
2,3.8,90,-30,3.73907390567682
2,3.8,90,-29,3.47118781519061
2,3.8,90,-28,2.94209517098478
2,3.8,90,-27,2.12645765701903
2,3.8,90,-26,0.976711489909714
2,3.8,90,-25,-0.590256586388715
2,3.8,90,-24,-2.72253226299148
2,3.8,90,-23,-5.69916690859479
2,3.8,90,-22,-10.0237891196775
2,3.8,90,-21,-14.823943898414
2,3.8,90,-20,-11.9809506473718
2,3.8,90,-19,-7.64708651064283
2,3.8,90,-18,-4.80907284655514
2,3.8,90,-17,-2.95556925284752
2,3.8,90,-16,-1.75462724165701
2,3.8,90,-15,-1.03543696437012
2,3.8,90,-14,-0.706268041250118
2,3.8,90,-13,-0.716591821496901
2,3.8,90,-12,-1.03886596461339
2,3.8,90,-11,-1.65749042971416
2,3.8,90,-10,-2.55767588722385
2,3.8,90,-9,-3.70605479979683
2,3.8,90,-8,-5.01024143240287
2,3.8,90,-7,-6.25113348325914
2,3.8,90,-6,-7.06187194378764
2,3.8,90,-5,-7.15534347451205
2,3.8,90,-4,-6.64730812209658
2,3.8,90,-3,-5.90569004525091
2,3.8,90,-2,-5.21011414973105
2,3.8,90,-1,-4.67977074559385
2,3.8,90,0,-4.33479096668951
2,3.8,90,1,-4.14609834868677
2,3.8,90,2,-4.05973939486741
2,3.8,90,3,-4.01197088896461
2,3.8,90,4,-3.94639437900084
