"Freq [GHz]","dB(ActiveS(1:1)) []"
2.5,-0.758456231301452
2.51,-0.789723395426067
2.52,-0.823563188532347
2.53,-0.859490301161602
2.54,-0.897031694417405
2.55,-0.935754524289186
2.56,-0.975284386594803
2.57,-1.01531403368758
2.58,-1.05560440347726
2.59,-1.0959804729947
2.6,-1.1363243254099
2.61,-1.17656726925076
2.62,-1.21668219175084
2.63,-1.25667675926402
2.64,-1.29658767251082
2.65,-1.3364759423039
2.66,-1.3764230363637
2.67,-1.4165277164809
2.68,-1.45690340052732
2.69,-1.49767591918327
2.7,-1.53898157629243
2.71,-1.58096545573545
2.72,-1.62377994308578
2.73,-1.66758344667117
2.74,-1.7125393112577
2.75,-1.75881492031891
2.76,-1.80658098173899
2.77,-1.85601098855612
2.78,-1.90728084230614
2.79,-1.9605686225695
2.8,-2.01605448295542
2.81,-2.07392065116329
2.82,-2.13435150890137
2.83,-2.1975337261448
2.84,-2.2636564232472
2.85,-2.33291133356582
2.86,-2.40549293836838
2.87,-2.48159854482265
2.88,-2.56142827693483
2.89,-2.64518494867753
2.9,-2.73307378868524
2.91,-2.82530198741
2.92,-2.92207804125632
2.93,-3.02361087472076
2.94,-3.13010873163112
2.95,-3.24177784064113
2.96,-3.35882087817845
2.97,-3.48143527342646
2.98,-3.60981142324286
2.99,-3.74413090797631
3,-3.88456481905493
3.01,-4.03127232272259
3.02,-4.1843995882275
3.03,-4.34407920065223
3.04,-4.51043015724331
3.05,-4.68355851213676
3.06,-4.86355869031503
3.07,-5.0505154417541
3.08,-5.24450635649637
3.09,-5.44560481661738
3.1,-5.65388322691435
3.11,-5.86941634631893
3.12,-6.09228453816534
3.13,-6.3225767689619
3.14,-6.56039320969089
3.15,-6.80584732697415
3.16,-7.05906738908154
3.17,-7.32019734915571
3.18,-7.58939710121056
3.19,-7.86684213042114
3.2,-8.15272259602801
3.21,-8.44724189188926
3.22,-8.75061472616891
3.23,-9.06306474817917
3.24,-9.384821727513
3.25,-9.71611825874368
3.26,-10.0571859242618
3.27,-10.4082507979297
3.28,-10.7695281122612
3.29,-11.1412158402859
3.3,-11.5234868580867
3.31,-11.9164792527986
3.32,-12.3202842211935
3.33,-12.7349308641603
3.34,-13.1603670226831
3.35,-13.5964351258228
3.36,-14.0428418430398
3.37,-14.4991201780268
3.38,-14.9645825577453
3.39,-15.438263542749
3.4,-15.9188511495468
3.41,-16.4046066398872
3.42,-16.8932742862393
3.43,-17.3819854314764
3.44,-17.8671654938589
3.45,-18.3444586244807
3.46,-18.808692183192
3.47,-19.2539106879958
3.48,-19.6735134102544
3.49,-20.0605265450383
3.5,-20.4080243979551
3.51,-20.7096812342451
3.52,-20.9603903907361
3.53,-21.1568444105932
3.54,-21.2979511237039
3.55,-21.3849832786533
3.56,-21.4214225470569
3.57,-21.4125386517847
3.58,-21.364806931952
3.59,-21.2852894262145
3.6,-21.1810850160528
3.61,-21.0589110779988
3.62,-20.9248341877949
3.63,-20.7841349443042
3.64,-20.6412758043529
3.65,-20.4999377850529
3.66,-20.3630965029356
3.67,-20.2331155214561
3.68,-20.1118424048579
3.69,-20.0006988811143
3.7,-19.900760793982
3.71,-19.8128262782033
3.72,-19.7374721930192
3.73,-19.6750996597457
3.74,-19.625969857867
3.75,-19.5902312463783
3.76,-19.5679392284931
3.77,-19.5590690527326
3.78,-19.5635224921859
3.79,-19.581128596017
3.8,-19.6116385817844
3.81,-19.6547147487141
3.82,-19.7099131573787
3.83,-19.7766597635201
3.84,-19.8542197473452
3.85,-19.9416599942002
3.86,-20.0378051260044
3.87,-20.1411882407734
3.88,-20.2499986846521
3.89,-20.362030837428
3.9,-20.4746400571826
3.91,-20.5847144803388
3.92,-20.6886739373203
3.93,-20.7825090850521
3.94,-20.8618738291053
3.95,-20.9222407965618
3.96,-20.9591218133933
3.97,-20.9683428551384
3.98,-20.9463475621858
3.99,-20.890489308175
4,-20.7992646503712
4.01,-20.6724455368505
4.02,-20.511084807038
4.03,-20.3173948641751
4.04,-20.0945246270098
4.05,-19.8462767674079
4.06,-19.5768115545564
4.07,-19.2903764295548
4.08,-18.9910865483293
4.09,-18.6827665666553
4.1,-18.3688519418748
4.11,-18.0523406519424
4.12,-17.7357832179256
4.13,-17.4212990179546
4.14,-17.1106086976256
4.15,-16.8050749063667
4.16,-16.5057459336586
4.17,-16.2133987570828
4.18,-15.9285794608638
4.19,-15.6516399826433
4.2,-15.3827707915652
4.21,-15.1220294913126
4.22,-14.8693655611644
4.23,-14.6246415590367
4.24,-14.3876511560372
4.25,-14.1581343802077
4.26,-13.9357904349969
4.27,-13.7202884355653
4.28,-13.5112763788085
4.29,-13.3083886338716
4.3,-13.1112522103227
4.31,-12.9194920316517
4.32,-12.7327354125806
4.33,-12.5506159098448
4.34,-12.3727766875609
4.35,-12.1988735099282
4.36,-12.0285774456295
4.37,-11.8615773397342
4.38,-11.6975820800969
4.39,-11.5363226564481
4.4,-11.3775539824729
4.41,-11.2210564259026
4.42,-11.0666369716797
4.43,-10.9141299319834
4.44,-10.7633971177173
4.45,-10.6143274014093
4.46,-10.4668356317316
4.47,-10.3208609025967
4.48,-10.1763642297034
4.49,-10.0333257370966
4.5,-9.89174149781858
4.51,-9.75162019936004
4.52,-9.61297981244117
4.53,-9.47584443026464
4.54,-9.34024141773479
4.55,-9.20619897155343
4.56,-9.07374414890177
4.57,-8.94290138056209
4.58,-8.81369144843025
4.59,-8.68613088020491
4.6,-8.56023169656991
4.61,-8.43600143789101
4.62,-8.31344339683054
4.63,-8.19255698837491
4.64,-8.07333819755152
4.65,-7.95578005578553
4.66,-7.83987310798791
4.67,-7.72560584305853
4.68,-7.61296506989494
4.69,-7.50193622889674
4.7,-7.3925036352547
4.71,-7.28465065507959
4.72,-7.17835981881871
4.73,-7.07361287863525
4.74,-6.9703908177088
4.75,-6.86867381996922
4.76,-6.76844120879944
4.77,-6.66967136290705
4.78,-6.57234161701724
4.79,-6.47642815439965
4.8,-6.38190589759487
4.81,-6.28874840311083
4.82,-6.19692776533785
4.83,-6.10641453446945
4.84,-6.0171776527729
4.85,-5.92918441305641
4.86,-5.84240044254314
4.87,-5.75678971450124
4.88,-5.67231458882794
4.89,-5.58893588131775
4.9,-5.50661295958355
4.91,-5.42530386162524
4.92,-5.34496543097907
4.93,-5.26555346038206
4.94,-5.18702283409503
4.95,-5.10932765755275
4.96,-5.03242136188988
4.97,-4.95625677008847
4.98,-4.88078611088189
4.99,-4.80596096593407
5,-4.7317321349433
