"Freq [GHz]","dB(ActiveS(4:1)) []"
2.5,-1.99301679883497
2.51,-2.08198582018623
2.52,-2.17248589603758
2.53,-2.26436102315606
2.54,-2.35756843154267
2.55,-2.45216647684499
2.56,-2.54829525142171
2.57,-2.64615524268072
2.58,-2.74598810560445
2.59,-2.84806184464119
2.6,-2.95266109979949
2.61,-3.06008213556311
2.62,-3.17063157312613
2.63,-3.28462776009847
2.64,-3.40240377186656
2.65,-3.52431124768176
2.66,-3.65072449278302
2.67,-3.78204447860521
2.68,-3.91870252862749
2.69,-4.06116358638065
2.7,-4.20992903104434
2.71,-4.36553904432552
2.72,-4.52857454997846
2.73,-4.69965875426762
2.74,-4.87945832124027
2.75,-5.06868422943892
2.76,-5.26809238397375
2.77,-5.47848410509341
2.78,-5.70070668421662
2.79,-5.93565429005232
2.8,-6.18426961640321
2.81,-6.44754678152896
2.82,-6.72653610633719
2.83,-7.02235150496584
2.84,-7.33618130927541
2.85,-7.66930341737333
2.86,-8.0231057136115
2.87,-8.39911277240824
2.88,-8.79901996055863
2.89,-9.22473623162637
2.9,-9.67843720724774
2.91,-10.1626306118004
2.92,-10.6802368131486
2.93,-11.2346881510346
2.94,-11.8300518870294
2.95,-12.4711828397936
2.96,-13.163912597775
2.97,-13.9152812875347
2.98,-14.7338116502399
2.99,-15.6298042517448
3,-16.6155721529468
3.01,-17.7053663850224
3.02,-18.9142874900299
3.03,-20.2542379737744
3.04,-21.7217080911566
3.05,-23.2648609797894
3.06,-24.7107960439612
3.07,-25.6847827253823
3.08,-25.7611278893077
3.09,-24.9343010529617
3.1,-23.6266983725924
3.11,-22.2172208900135
3.12,-20.8824467663945
3.13,-19.6759765174013
3.14,-18.6020350808803
3.15,-17.6489912145373
3.16,-16.8018255102468
3.17,-16.0462716632332
3.18,-15.369938627037
3.19,-14.7623981776705
3.2,-14.2149571180613
3.21,-13.720367986355
3.22,-13.2725617085383
3.23,-12.8664238290192
3.24,-12.4976145019762
3.25,-12.1624259698627
3.26,-11.8576702242452
3.27,-11.5805903064932
3.28,-11.3287899039993
3.29,-11.100177052853
3.3,-10.8929187286894
3.31,-10.7054038767115
3.32,-10.536213023769
3.33,-10.384093063365
3.34,-10.2479361402368
3.35,-10.1267618113038
