"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-20,-6.90949009266498
2,3.8,90,-19,-2.86729871125443
2,3.8,90,-18,-0.500424728024814
2,3.8,90,-17,1.00930956902004
2,3.8,90,-16,1.96542086088292
2,3.8,90,-15,2.50822367475106
2,3.8,90,-14,2.70742281781789
2,3.8,90,-13,2.5943316418638
2,3.8,90,-12,2.17376673126329
2,3.8,90,-11,1.42621263696909
2,3.8,90,-10,0.301937662275977
2,3.8,90,-9,-1.29757211820498
2,3.8,90,-8,-3.5693210009371
2,3.8,90,-7,-6.96414385132375
2,3.8,90,-6,-12.8958045826905
2,3.8,90,-5,-28.3184328431118
2,3.8,90,-4,-13.1387428821815
2,3.8,90,-3,-7.54151682852901
2,3.8,90,-2,-4.46848390831077
2,3.8,90,-1,-2.52337175517134
2,3.8,90,0,-1.26221071183037
2,3.8,90,1,-0.493584130960196
2,3.8,90,2,-0.125083504328319
2,3.8,90,3,-0.114639274790634
2,3.8,90,4,-0.453314030181677
2,3.8,90,5,-1.16189463398536
2,3.8,90,6,-2.29830772559584
2,3.8,90,7,-3.98225032612861
2,3.8,90,8,-6.46402482322034
2,3.8,90,9,-10.3512637784773
2,3.8,90,10,-17.5959869519214
2,3.8,90,11,-20.0333667428524
2,3.8,90,12,-11.6676081440971
2,3.8,90,13,-7.43419058727207
2,3.8,90,14,-4.83886559082389
2,3.8,90,15,-3.11979931527707
2,3.8,90,16,-1.97641868084784
2,3.8,90,17,-1.26530511888419
2,3.8,90,18,-0.912516940672986
2,3.8,90,19,-0.881924841503696
2,3.8,90,20,-1.16299218842597
2,3.8,90,21,-1.76770864739396
2,3.8,90,22,-2.73446216497669
2,3.8,90,23,-4.14156218878003
2,3.8,90,24,-6.14168619557695
2,3.8,90,25,-9.05586468020652
2,3.8,90,26,-13.674663661605
2,3.8,90,27,-21.2852828723765
2,3.8,90,28,-17.0046786344752
2,3.8,90,29,-11.1786838028538
2,3.8,90,30,-7.77430413642477
2,3.8,90,31,-5.54397051750794
2,3.8,90,32,-4.00611954844251
2,3.8,90,33,-2.94224145815312
2,3.8,90,34,-2.23830154709351
2,3.8,90,35,-1.83009723195505
2,3.8,90,36,-1.68111557990863
2,3.8,90,37,-1.77272960481628
2,3.8,90,38,-2.10007390775812
2,3.8,90,39,-2.6713147294501
2,3.8,90,40,-3.50996378230945
2,3.8,90,41,-4.66150095137124
2,3.8,90,42,-6.20850326347502
