"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,90,-180,-24.1331222176561
2,3.8,90,-179,-26.7175321907735
2,3.8,90,-178,-30.2359163652869
2,3.8,90,-177,-31.8802144019008
2,3.8,90,-176,-28.3001366549898
2,3.8,90,-175,-24.4884520436147
2,3.8,90,-174,-21.6372111076419
2,3.8,90,-173,-19.5000336834517
2,3.8,90,-172,-17.861374824424
2,3.8,90,-171,-16.5874839906099
2,3.8,90,-170,-15.5928951656692
2,3.8,90,-169,-14.8190340590556
2,3.8,90,-168,-14.2227055231403
2,3.8,90,-167,-13.769902394496
2,3.8,90,-166,-13.4325381026698
2,3.8,90,-165,-13.1869390913921
2,3.8,90,-164,-13.0134737659318
2,3.8,90,-163,-12.8968728215148
2,3.8,90,-162,-12.8268130983264
2,3.8,90,-161,-12.7983436837927
2,3.8,90,-160,-12.8118339364328
2,3.8,90,-159,-12.872335097497
2,3.8,90,-158,-12.988486696092
2,3.8,90,-157,-13.1712493331078
2,3.8,90,-156,-13.4327505382847
2,3.8,90,-155,-13.7854254105139
2,3.8,90,-154,-14.2414972835805
2,3.8,90,-153,-14.8127342745446
2,3.8,90,-152,-15.5103476774346
2,3.8,90,-151,-16.3448431423022
2,3.8,90,-150,-17.325549532413
2,3.8,90,-149,-18.4593706383626
2,3.8,90,-148,-19.7479534642117
2,3.8,90,-147,-21.1819096911959
2,3.8,90,-146,-22.7303227336363
2,3.8,90,-145,-24.3254841872494
2,3.8,90,-144,-25.8520578711403
2,3.8,90,-143,-27.1692650987661
2,3.8,90,-142,-28.1914417734951
2,3.8,90,-141,-28.9726017184753
2,3.8,90,-140,-29.6937139981594
2,3.8,90,-139,-30.5813112304965
2,3.8,90,-138,-31.8689171320879
2,3.8,90,-137,-33.8367437840921
2,3.8,90,-136,-36.8941893447536
2,3.8,90,-135,-40.9521280220819
2,3.8,90,-134,-39.8926479525666
2,3.8,90,-133,-34.8558625100203
2,3.8,90,-132,-30.9939005694418
2,3.8,90,-131,-28.1510032004649
2,3.8,90,-130,-25.9625067862921
