"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,90,-180,-20.4521590339768
3.8,90,-179,-20.0580253748175
3.8,90,-178,-19.9550736172962
3.8,90,-177,-20.1091585643254
3.8,90,-176,-20.4409623970073
3.8,90,-175,-20.8073527174287
3.8,90,-174,-21.0017533109472
3.8,90,-173,-20.8351263193888
3.8,90,-172,-20.2757643310142
3.8,90,-171,-19.4711722602375
3.8,90,-170,-18.6173974972927
3.8,90,-169,-17.8544808087526
3.8,90,-168,-17.2525105365432
3.8,90,-167,-16.8333900287427
3.8,90,-166,-16.5898524498698
3.8,90,-165,-16.4948959543909
3.8,90,-164,-16.5052196135867
3.8,90,-163,-16.5640285179761
3.8,90,-162,-16.6088590026502
3.8,90,-161,-16.5876190973813
3.8,90,-160,-16.4780025620779
3.8,90,-159,-16.2973478506201
3.8,90,-158,-16.0947110203155
3.8,90,-157,-15.9320731159726
3.8,90,-156,-15.8679509434661
3.8,90,-155,-15.9493664170978
3.8,90,-154,-16.209549039415
3.8,90,-153,-16.6654379220102
3.8,90,-152,-17.3078511591812
3.8,90,-151,-18.0747540904766
3.8,90,-150,-18.8015557939827
3.8,90,-149,-19.1904862312764
3.8,90,-148,-18.9465269772216
3.8,90,-147,-18.068053371607
3.8,90,-146,-16.8475302073617
3.8,90,-145,-15.5816382453446
3.8,90,-144,-14.4358827978426
3.8,90,-143,-13.4764482732354
3.8,90,-142,-12.7219373222645
3.8,90,-141,-12.1729616378501
3.8,90,-140,-11.825507132019
3.8,90,-139,-11.6766852505369
3.8,90,-138,-11.7274974977162
3.8,90,-137,-11.9847838619569
3.8,90,-136,-12.4635484946212
3.8,90,-135,-13.1907597346652
3.8,90,-134,-14.2124370243309
3.8,90,-133,-15.6081701558868
3.8,90,-132,-17.524600129124
3.8,90,-131,-20.2676551566639
3.8,90,-130,-24.6459203509107
3.8,90,-129,-34.4836585860107
3.8,90,-128,-32.6736076894793
3.8,90,-127,-23.8617436803748
3.8,90,-126,-19.599255348479
3.8,90,-125,-16.8159602836344
3.8,90,-124,-14.7875171041443
3.8,90,-123,-13.2254198732953
3.8,90,-122,-11.984412283471
3.8,90,-121,-10.9804250468886
3.8,90,-120,-10.1599752126438
3.8,90,-119,-9.48658376592758
3.8,90,-118,-8.93397984219943
3.8,90,-117,-8.48238683990421
3.8,90,-116,-8.11634971809569
3.8,90,-115,-7.82339296073147
3.8,90,-114,-7.59315411521194
3.8,90,-113,-7.41680366170721
3.8,90,-112,-7.28664494817988
3.8,90,-111,-7.19583191363575
3.8,90,-110,-7.1381668022867
3.8,90,-109,-7.10795426152715
3.8,90,-108,-7.09989671509794
3.8,90,-107,-7.10902110802267
3.8,90,-106,-7.13063033243203
3.8,90,-105,-7.16027459594565
3.8,90,-104,-7.19373912017537
3.8,90,-103,-7.22704513253614
3.8,90,-102,-7.25646133696732
3.8,90,-101,-7.27852307688154
3.8,90,-100,-7.29005637368532
3.8,90,-99,-7.28820405269589
3.8,90,-98,-7.27045134068093
3.8,90,-97,-7.2346486771423
3.8,90,-96,-7.17903001357896
3.8,90,-95,-7.10222551920899
3.8,90,-94,-7.00326827097471
3.8,90,-93,-6.88159507520366
3.8,90,-92,-6.73704196578161
3.8,90,-91,-6.56983511323702
3.8,90,-90,-6.38057788010183
3.8,90,-89,-6.17023463601097
3.8,90,-88,-5.94011179034145
3.8,90,-87,-5.69183639486343
3.8,90,-86,-5.42733266887436
3.8,90,-85,-5.14879691817944
3.8,90,-84,-4.85867153115711
3.8,90,-83,-4.55961898832156
3.8,90,-82,-4.25449705824707
3.8,90,-81,-3.94633652646291
3.8,90,-80,-3.63832289316837
3.8,90,-79,-3.33378348668924
3.8,90,-78,-3.03618140376299
3.8,90,-77,-2.74911765404084
3.8,90,-76,-2.47634291415537
3.8,90,-75,-2.22178045216085
3.8,90,-74,-1.9895621395781
3.8,90,-73,-1.78408011523097
3.8,90,-72,-1.61005772593631
3.8,90,-71,-1.47264503222037
3.8,90,-70,-1.37754673912094
3.8,90,-69,-1.33119441150391
3.8,90,-68,-1.34098116384718
3.8,90,-67,-1.41558729699643
3.8,90,-66,-1.56544259484023
3.8,90,-65,-1.80340098930666
3.8,90,-64,-2.14575775841288
3.8,90,-63,-2.6138432801269
3.8,90,-62,-3.23663721739786
3.8,90,-61,-4.05530118872213
3.8,90,-60,-5.13159594892896
3.8,90,-59,-6.56492762640849
3.8,90,-58,-8.53093203757203
3.8,90,-57,-11.3816638494869
3.8,90,-56,-15.9219581596552
3.8,90,-55,-21.8738410299382
3.8,90,-54,-16.3897522388372
3.8,90,-53,-10.8931593668702
3.8,90,-52,-7.29369266818457
3.8,90,-51,-4.68278410874098
3.8,90,-50,-2.66666617733938
3.8,90,-49,-1.05683479506887
3.8,90,-48,0.248210592579867
3.8,90,-47,1.30736094157002
3.8,90,-46,2.15594299486159
3.8,90,-45,2.81475731809321
3.8,90,-44,3.29459229932416
3.8,90,-43,3.59838867238349
3.8,90,-42,3.72193679400664
3.8,90,-41,3.65336470102746
3.8,90,-40,3.3712218532921
3.8,90,-39,2.8403703451974
3.8,90,-38,2.00368121110854
3.8,90,-37,0.764356170112736
3.8,90,-36,-1.05639231799606
3.8,90,-35,-3.84230937265546
3.8,90,-34,-8.68292318984615
3.8,90,-33,-21.0841373476048
3.8,90,-32,-11.0838951829512
3.8,90,-31,-4.22124236339628
3.8,90,-30,-0.366610382997657
3.8,90,-29,2.25810989519597
3.8,90,-28,4.17943571737142
3.8,90,-27,5.61961234359177
3.8,90,-26,6.68866295085042
3.8,90,-25,7.44372823027052
3.8,90,-24,7.91148270506463
3.8,90,-23,8.09673657436415
3.8,90,-22,7.98388198926385
3.8,90,-21,7.5321663942159
3.8,90,-20,6.66141579640385
3.8,90,-19,5.21562607993618
3.8,90,-18,2.85814435038032
3.8,90,-17,-1.33411233399944
3.8,90,-16,-11.7938631616024
3.8,90,-15,-5.53362347853775
3.8,90,-14,2.36681442667832
3.8,90,-13,6.72311573420142
3.8,90,-12,9.74411884514305
3.8,90,-11,12.0397475153452
3.8,90,-10,13.8647945241244
3.8,90,-9,15.349941015446
3.8,90,-8,16.5710054704737
3.8,90,-7,17.5756995369407
3.8,90,-6,18.3957653468492
3.8,90,-5,19.0531290428657
3.8,90,-4,19.5632825489161
3.8,90,-3,19.9372542429365
3.8,90,-2,20.1828034053582
3.8,90,-1,20.3051568187633
3.8,90,0,20.3074551409967
3.8,90,1,20.1909986507276
3.8,90,2,19.9553374305429
