"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,90,-180,-13.336968055864
3.8,90,-179,-14.4872991716683
3.8,90,-178,-15.8875463063967
3.8,90,-177,-17.0971611371516
3.8,90,-176,-17.328095648773
3.8,90,-175,-16.3407601817498
3.8,90,-174,-14.8384902249006
3.8,90,-173,-13.4367717884313
3.8,90,-172,-12.3561492312915
3.8,90,-171,-11.6357126451751
3.8,90,-170,-11.2632444797827
3.8,90,-169,-11.2162832832979
3.8,90,-168,-11.4689517957312
3.8,90,-167,-11.9837013894851
3.8,90,-166,-12.6894028141204
3.8,90,-165,-13.4449212752073
3.8,90,-164,-14.014159488333
3.8,90,-163,-14.141287401401
3.8,90,-162,-13.7525161091402
3.8,90,-161,-13.028471100224
3.8,90,-160,-12.2245257196437
3.8,90,-159,-11.5170833902438
3.8,90,-158,-10.9900851535085
3.8,90,-157,-10.6699103553793
3.8,90,-156,-10.5514305245422
3.8,90,-155,-10.6084262257605
3.8,90,-154,-10.7936858518999
3.8,90,-153,-11.0350148534459
3.8,90,-152,-11.2363387652834
3.8,90,-151,-11.2968723594659
3.8,90,-150,-11.1517115549054
3.8,90,-149,-10.8070930671927
3.8,90,-148,-10.3340642295601
3.8,90,-147,-9.82763247503861
3.8,90,-146,-9.37064428665115
3.8,90,-145,-9.02088952318553
3.8,90,-144,-8.81373530190823
3.8,90,-143,-8.76887100211121
3.8,90,-142,-8.89543944754586
3.8,90,-141,-9.19369968689753
3.8,90,-140,-9.65215809523509
3.8,90,-139,-10.2383159806611
3.8,90,-138,-10.881023090018
3.8,90,-137,-11.4490017441198
3.8,90,-136,-11.7541756609948
3.8,90,-135,-11.6300782394182
3.8,90,-134,-11.0563813854704
3.8,90,-133,-10.1740752336596
3.8,90,-132,-9.16846033747959
3.8,90,-131,-8.17559592705725
3.8,90,-130,-7.26901645426877
3.8,90,-129,-6.48021974457881
3.8,90,-128,-5.81844751794684
3.8,90,-127,-5.28263871172507
3.8,90,-126,-4.86758191315635
3.8,90,-125,-4.56686344282357
3.8,90,-124,-4.37421979235198
3.8,90,-123,-4.28413254377502
3.8,90,-122,-4.2920779521847
3.8,90,-121,-4.39463114851212
3.8,90,-120,-4.58952330169214
3.8,90,-119,-4.87570275779985
3.8,90,-118,-5.25343049922256
3.8,90,-117,-5.72443327007181
3.8,90,-116,-6.29213856751893
3.8,90,-115,-6.96202193352146
3.8,90,-114,-7.74210720602081
3.8,90,-113,-8.64367138722367
3.8,90,-112,-9.68220466820237
3.8,90,-111,-10.8786135104516
3.8,90,-110,-12.2603466040337
3.8,90,-109,-13.8608772992078
3.8,90,-108,-15.7111318610987
3.8,90,-107,-17.7982678632602
3.8,90,-106,-19.913508645897
3.8,90,-105,-21.3301739361201
3.8,90,-104,-21.123096157992
3.8,90,-103,-19.642889561806
3.8,90,-102,-17.8762646891775
3.8,90,-101,-16.2732057489528
3.8,90,-100,-14.9204652837689
3.8,90,-99,-13.8006823919154
3.8,90,-98,-12.8789899852819
3.8,90,-97,-12.123950980375
3.8,90,-96,-11.5110588945483
3.8,90,-95,-11.022212668082
3.8,90,-94,-10.6445653103755
3.8,90,-93,-10.3695435625666
3.8,90,-92,-10.1921775375187
3.8,90,-91,-10.1107319093178
3.8,90,-90,-10.126619700867
3.8,90,-89,-10.2446094173069
3.8,90,-88,-10.4733872772928
3.8,90,-87,-10.8266178919685
3.8,90,-86,-11.3247912396666
3.8,90,-85,-11.9984258344032
3.8,90,-84,-12.8937930308158
3.8,90,-83,-14.08366244471
3.8,90,-82,-15.6886272475552
3.8,90,-81,-17.9201524368631
3.8,90,-80,-21.1359976910446
3.8,90,-79,-25.1875683490555
3.8,90,-78,-24.3108828029218
3.8,90,-77,-19.3994768594663
3.8,90,-76,-15.488131482617
3.8,90,-75,-12.514693305469
3.8,90,-74,-10.1380156820371
3.8,90,-73,-8.16073933755022
3.8,90,-72,-6.46966242254387
3.8,90,-71,-4.99588094637653
3.8,90,-70,-3.69510065261238
3.8,90,-69,-2.53762044253283
3.8,90,-68,-1.50291859093474
3.8,90,-67,-0.576554799970542
3.8,90,-66,0.251689247529869
3.8,90,-65,0.988968169277144
3.8,90,-64,1.64011264232383
3.8,90,-63,2.20810602570439
3.8,90,-62,2.69438596168461
3.8,90,-61,3.09902136710452
3.8,90,-60,3.42079255252424
3.8,90,-59,3.65718713405431
3.8,90,-58,3.8043127602167
3.8,90,-57,3.85671672696003
3.8,90,-56,3.80709003317872
3.8,90,-55,3.64581698941764
3.8,90,-54,3.36030855680551
3.8,90,-53,2.93402648045733
3.8,90,-52,2.34507154163773
3.8,90,-51,1.56421372045259
3.8,90,-50,0.552482177030507
3.8,90,-49,-0.740194040222428
3.8,90,-48,-2.36716040062341
3.8,90,-47,-4.32920619782082
3.8,90,-46,-6.3199346723729
3.8,90,-45,-7.18325588469326
3.8,90,-44,-5.92866287280385
3.8,90,-43,-3.66576795423122
3.8,90,-42,-1.48818988369156
3.8,90,-41,0.332156472054957
3.8,90,-40,1.79842045668189
3.8,90,-39,2.95771556295816
3.8,90,-38,3.85164566615035
3.8,90,-37,4.50951259397407
3.8,90,-36,4.94945995862938
3.8,90,-35,5.18027656444474
3.8,90,-34,5.20247566931154
3.8,90,-33,5.00844138898424
3.8,90,-32,4.58158869152844
3.8,90,-31,3.8944737256117
3.8,90,-30,2.90608048454538
3.8,90,-29,1.56056708057528
3.8,90,-28,-0.19918634575649
3.8,90,-27,-2.33478457925099
3.8,90,-26,-4.28086469087847
3.8,90,-25,-4.44975216886245
3.8,90,-24,-2.56017738603746
3.8,90,-23,-0.240605624442737
3.8,90,-22,1.73761187056977
3.8,90,-21,3.27763579481876
3.8,90,-20,4.42412651499181
3.8,90,-19,5.22748589817446
3.8,90,-18,5.72202893005877
3.8,90,-17,5.92511979002072
3.8,90,-16,5.83841396682439
3.8,90,-15,5.44751317585772
3.8,90,-14,4.71897920158989
3.8,90,-13,3.59394106186963
3.8,90,-12,1.97936806496101
3.8,90,-11,-0.243011268288523
3.8,90,-10,-3.02038202650635
3.8,90,-9,-4.93683370680149
3.8,90,-8,-3.39303355291094
3.8,90,-7,-0.415544054915394
3.8,90,-6,2.10279981904528
3.8,90,-5,3.98759982667138
3.8,90,-4,5.34928953484488
3.8,90,-3,6.28358450038322
3.8,90,-2,6.84940333132188
3.8,90,-1,7.07615078435388
3.8,90,0,6.96907064474631
3.8,90,1,6.50951034388202
3.8,90,2,5.64882973641852
3.8,90,3,4.29191515839129
3.8,90,4,2.25993332034832
3.8,90,5,-0.779398355819774
3.8,90,6,-5.11667275063426
3.8,90,7,-6.54501521261546
3.8,90,8,-1.94701852379116
3.8,90,9,1.89690294507779
3.8,90,10,4.56622500304673
3.8,90,11,6.46176790124212
3.8,90,12,7.81485881058022
3.8,90,13,8.7497676289604
3.8,90,14,9.33352982239406
3.8,90,15,9.59881469840976
3.8,90,16,9.55323552808576
