"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,0,-180,-13.0644322006856
3.8,0,-179,-10.7437110951206
3.8,0,-178,-9.23891753018581
3.8,0,-177,-8.36100439302739
3.8,0,-176,-8.01010617218988
3.8,0,-175,-8.14674550902758
3.8,0,-174,-8.77699031894799
3.8,0,-173,-9.94884857632568
3.8,0,-172,-11.7448540174189
3.8,0,-171,-14.1836407180299
3.8,0,-170,-16.547828883359
3.8,0,-169,-16.3524928905832
3.8,0,-168,-13.8034814935436
3.8,0,-167,-11.3009202382432
3.8,0,-166,-9.43364073688494
3.8,0,-165,-8.15643695927215
3.8,0,-164,-7.37550734563724
3.8,0,-163,-7.0270241950984
3.8,0,-162,-7.07739375038244
3.8,0,-161,-7.51619431592359
3.8,0,-160,-8.34779413593876
3.8,0,-159,-9.57158274547751
3.8,0,-158,-11.1139778193152
3.8,0,-157,-12.6226264724902
3.8,0,-156,-13.2287542322619
3.8,0,-155,-12.3429213280872
3.8,0,-154,-10.6595121039538
3.8,0,-153,-8.98469067154134
3.8,0,-152,-7.60872043487008
3.8,0,-151,-6.57338640824517
3.8,0,-150,-5.85533563002124
3.8,0,-149,-5.42209929336194
3.8,0,-148,-5.244812444298
3.8,0,-147,-5.29882884252889
3.8,0,-146,-5.56040577303384
3.8,0,-145,-6.00071431072962
3.8,0,-144,-6.57631744457515
3.8,0,-143,-7.21564675179711
3.8,0,-142,-7.80641375269697
3.8,0,-141,-8.20260136614037
3.8,0,-140,-8.27647380788037
3.8,0,-139,-7.99602004190277
3.8,0,-138,-7.4438516782119
3.8,0,-137,-6.75213933346516
3.8,0,-136,-6.03275841569203
3.8,0,-135,-5.35376383478259
3.8,0,-134,-4.74662695722824
3.8,0,-133,-4.21981173196523
3.8,0,-132,-3.76916140420405
3.8,0,-131,-3.38431385365566
3.8,0,-130,-3.05248802806678
3.8,0,-129,-2.76081991981777
3.8,0,-128,-2.4979099654823
3.8,0,-127,-2.25485267824257
3.8,0,-126,-2.02580702119058
3.8,0,-125,-1.80810386071374
3.8,0,-124,-1.60192528773508
3.8,0,-123,-1.40966568881169
3.8,0,-122,-1.23513666845672
3.8,0,-121,-1.08277737991469
3.8,0,-120,-0.9569855538582
3.8,0,-119,-0.861620639474738
3.8,0,-118,-0.799675646547338
3.8,0,-117,-0.773081307430044
3.8,0,-116,-0.782594701778195
3.8,0,-115,-0.827727799995655
3.8,0,-114,-0.906682548333741
3.8,0,-113,-1.01627387271814
3.8,0,-112,-1.15183900680636
3.8,0,-111,-1.30715141274951
3.8,0,-110,-1.4743808915178
3.8,0,-109,-1.6441664653019
3.8,0,-108,-1.80588791291128
3.8,0,-107,-1.94822037454627
3.8,0,-106,-2.06001410442336
3.8,0,-105,-2.13144575898478
3.8,0,-104,-2.15525532359656
3.8,0,-103,-2.12777347823602
3.8,0,-102,-2.04943801294152
3.8,0,-101,-1.92463355828357
3.8,0,-100,-1.76091303302796
3.8,0,-99,-1.56785185088731
3.8,0,-98,-1.35585141165633
3.8,0,-97,-1.13514176626
3.8,0,-96,-0.915102708806852
3.8,0,-95,-0.703903510250524
3.8,0,-94,-0.508392132218586
3.8,0,-93,-0.33414420575223
3.8,0,-92,-0.185591387517442
3.8,0,-91,-0.0661689481574907
3.8,0,-90,0.0215581922232504
3.8,0,-89,0.0758182318101134
3.8,0,-88,0.0956244089183217
3.8,0,-87,0.0808551256372926
3.8,0,-86,0.0324437951265089
3.8,0,-85,-0.0472965343342348
3.8,0,-84,-0.154188995687448
3.8,0,-83,-0.281537817472994
3.8,0,-82,-0.419334466033886
3.8,0,-81,-0.553455543354045
3.8,0,-80,-0.665157938372031
3.8,0,-79,-0.731406146487799
3.8,0,-78,-0.726707780630725
3.8,0,-77,-0.626879063646541
3.8,0,-76,-0.414236067746625
3.8,0,-75,-0.0824032882105016
3.8,0,-74,0.361612944758759
3.8,0,-73,0.899249832175891
3.8,0,-72,1.50507545186814
3.8,0,-71,2.15200544101523
3.8,0,-70,2.81516777182104
3.8,0,-69,3.47383067854905
3.8,0,-68,4.11177654812296
3.8,0,-67,4.71679555005977
3.8,0,-66,5.2798457262288
3.8,0,-65,5.79419594016696
3.8,0,-64,6.25468756424258
3.8,0,-63,6.65714730211774
3.8,0,-62,6.99793669552983
3.8,0,-61,7.27360860125228
3.8,0,-60,7.48064019710086
3.8,0,-59,7.61521680348267
3.8,0,-58,7.67304710929335
3.8,0,-57,7.64919743157662
3.8,0,-56,7.53794170331362
3.8,0,-55,7.332638779789
3.8,0,-54,7.02567792730325
3.8,0,-53,6.60859598976539
3.8,0,-52,6.07260829218661
3.8,0,-51,5.41010425747184
3.8,0,-50,4.61833362323928
3.8,0,-49,3.70786442183276
3.8,0,-48,2.72040577567331
3.8,0,-47,1.75994084903628
3.8,0,-46,1.02240481061465
3.8,0,-45,0.754113101325526
3.8,0,-44,1.07784854048365
3.8,0,-43,1.86666299495333
3.8,0,-42,2.86838986489436
3.8,0,-41,3.88015004903314
3.8,0,-40,4.7907301790081
3.8,0,-39,5.55095031703156
3.8,0,-38,6.14226681071573
3.8,0,-37,6.55865869642413
3.8,0,-36,6.7979008679879
3.8,0,-35,6.85764336105339
3.8,0,-34,6.73378271228743
3.8,0,-33,6.42010999778656
3.8,0,-32,5.90924360113826
3.8,0,-31,5.19602714252261
3.8,0,-30,4.28678231005712
3.8,0,-29,3.22210312965757
3.8,0,-28,2.12460554257113
3.8,0,-27,1.25929438735295
3.8,0,-26,0.9822919598592
3.8,0,-25,1.43864461287986
3.8,0,-24,2.38457247359381
3.8,0,-23,3.46359667519369
3.8,0,-22,4.44790522599516
3.8,0,-21,5.23790487231972
3.8,0,-20,5.79946360241555
3.8,0,-19,6.12374445093141
3.8,0,-18,6.20918321747288
3.8,0,-17,6.05465655501309
3.8,0,-16,5.65811351043278
3.8,0,-15,5.01949247357342
3.8,0,-14,4.15070818897461
3.8,0,-13,3.10090073121736
3.8,0,-12,2.00901675894761
3.8,0,-11,1.16567827047433
3.8,0,-10,0.938436381663479
3.8,0,-9,1.43748821861725
3.8,0,-8,2.37891432546277
3.8,0,-7,3.40475328829467
3.8,0,-6,4.30300078617746
3.8,0,-5,4.98712762885181
3.8,0,-4,5.43127760750303
3.8,0,-3,5.63267212889181
3.8,0,-2,5.5959846731407
3.8,0,-1,5.32876064860369
3.8,0,0,4.8430648898516
3.8,0,1,4.16316838353668
3.8,0,2,3.34207153317847
3.8,0,3,2.48872767719247
3.8,0,4,1.79077871683457
3.8,0,5,1.47421836758978
3.8,0,6,1.65607493225055
3.8,0,7,2.2373235726606
3.8,0,8,3.00101434814676
3.8,0,9,3.76363639496461
3.8,0,10,4.42149755554105
3.8,0,11,4.92985841139161
3.8,0,12,5.27564950147036
3.8,0,13,5.46064850996285
3.8,0,14,5.49330149295915
3.8,0,15,5.3854592879393
3.8,0,16,5.15180935261753
3.8,0,17,4.8110557206913
3.8,0,18,4.38856849426861
3.8,0,19,3.92029838274913
3.8,0,20,3.45693537128675
3.8,0,21,3.06512341831494
3.8,0,22,2.81984802157691
3.8,0,23,2.78370583934911
3.8,0,24,2.98049894475322
3.8,0,25,3.38343039269534
3.8,0,26,3.92925345915476
3.8,0,27,4.54514021227271
3.8,0,28,5.16849866190076
3.8,0,29,5.75366093890573
3.8,0,30,6.27023539157559
3.8,0,31,6.69882928608934
3.8,0,32,7.02705481069806
3.8,0,33,7.24662162088137
3.8,0,34,7.35145727042198
3.8,0,35,7.33662080957646
3.8,0,36,7.19786106356787
3.8,0,37,6.93186150508956
3.8,0,38,6.53751104520024
3.8,0,39,6.01903945591628
3.8,0,40,5.39266803365018
3.8,0,41,4.69928974425916
3.8,0,42,4.0243693991665
3.8,0,43,3.51514864089486
3.8,0,44,3.35776227865873
3.8,0,45,3.67710948744713
3.8,0,46,4.43539286565983
3.8,0,47,5.46782260710372
3.8,0,48,6.60270374856008
3.8,0,49,7.726126839485
3.8,0,50,8.78004878253145
3.8,0,51,9.74116036745365
3.8,0,52,10.6040519625637
3.8,0,53,11.3715562533182
3.8,0,54,12.0498633513306
3.8,0,55,12.6462016392493
3.8,0,56,13.1677933943031
3.8,0,57,13.6214221508618
3.8,0,58,14.0132867381407
3.8,0,59,14.348985283979
3.8,0,60,14.6335542574821
3.8,0,61,14.8715271366351
3.8,0,62,15.0669963902695
3.8,0,63,15.2236716913254
3.8,0,64,15.3449316977821
3.8,0,65,15.433868803861
3.8,0,66,15.4933271780127
3.8,0,67,15.5259347585882
3.8,0,68,15.5341299672936
3.8,0,69,15.5201838707502
3.8,0,70,15.4862184437278
3.8,0,71,15.4342214985428
3.8,0,72,15.3660587595673
3.8,0,73,15.2834834862585
