"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,20,0,-180,-0.251068093586612
2,3.8,20,0,-179,-0.313591252034417
2,3.8,20,0,-178,-0.498862418507273
2,3.8,20,0,-177,-0.808908774639825
2,3.8,20,0,-176,-1.24748340239792
2,3.8,20,0,-175,-1.82037615637721
2,3.8,20,0,-174,-2.53592746677211
2,3.8,20,0,-173,-3.40584740697778
2,3.8,20,0,-172,-4.44652672966335
2,3.8,20,0,-171,-5.68119141200774
2,3.8,20,0,-170,-7.14359845261798
2,3.8,20,0,-169,-8.88475830775279
2,3.8,20,0,-168,-10.9861387067426
2,3.8,20,0,-167,-13.5883166846101
2,3.8,20,0,-166,-16.9614921611824
2,3.8,20,0,-165,-21.6994212518543
2,3.8,20,0,-164,-28.7320097336617
2,3.8,20,0,-163,-28.2507065152168
2,3.8,20,0,-162,-22.9688005499389
2,3.8,20,0,-161,-19.9350782427568
2,3.8,20,0,-160,-18.1282905918822
2,3.8,20,0,-159,-17.0346146179751
2,3.8,20,0,-158,-16.4154898336676
2,3.8,20,0,-157,-16.1445058231465
2,3.8,20,0,-156,-16.1475405472924
2,3.8,20,0,-155,-16.3778800640632
2,3.8,20,0,-154,-16.8045741501445
2,3.8,20,0,-153,-17.4065111366531
2,3.8,20,0,-152,-18.1692995308606
2,3.8,20,0,-151,-19.0837488132545
2,3.8,20,0,-150,-20.1454702161962
2,3.8,20,0,-149,-21.355488350127
2,3.8,20,0,-148,-22.7219914791673
2,3.8,20,0,-147,-24.2635448743581
2,3.8,20,0,-146,-26.0142558746008
2,3.8,20,0,-145,-28.0311736124093
2,3.8,20,0,-144,-30.4010082362084
2,3.8,20,0,-143,-33.2188312989614
2,3.8,20,0,-142,-36.3486014715153
2,3.8,20,0,-141,-38.3111152124499
2,3.8,20,0,-140,-37.030419634548
2,3.8,20,0,-139,-34.4337017745531
2,3.8,20,0,-138,-32.1408771241415
2,3.8,20,0,-137,-30.3357614603064
2,3.8,20,0,-136,-28.9308448918187
2,3.8,20,0,-135,-27.8375246905101
2,3.8,20,0,-134,-26.9922489988524
2,3.8,20,0,-133,-26.3508085843507
2,3.8,20,0,-132,-25.8815095701354
2,3.8,20,0,-131,-25.5603604414268
2,3.8,20,0,-130,-25.3678189767397
2,3.8,20,0,-129,-25.2864526417814
2,3.8,20,0,-128,-25.2990694354983
2,3.8,20,0,-127,-25.3870749031025
2,3.8,20,0,-126,-25.5290038611078
2,3.8,20,0,-125,-25.6994137159143
2,3.8,20,0,-124,-25.8686271133282
2,3.8,20,0,-123,-26.0040660598774
2,3.8,20,0,-122,-26.0738035483561
2,3.8,20,0,-121,-26.0520666709663
2,3.8,20,0,-120,-25.9248782013649
2,3.8,20,0,-119,-25.6930436629408
2,3.8,20,0,-118,-25.3707146972709
2,3.8,20,0,-117,-24.9803496134599
2,3.8,20,0,-116,-24.546729011147
2,3.8,20,0,-115,-24.0923803968906
2,3.8,20,0,-114,-23.6352380109025
2,3.8,20,0,-113,-23.1881372275114
2,3.8,20,0,-112,-22.7593493772966
2,3.8,20,0,-111,-22.3535053658684
2,3.8,20,0,-110,-21.9725343236538
2,3.8,20,0,-109,-21.61646019895
2,3.8,20,0,-108,-21.2840208225153
2,3.8,20,0,-107,-20.9731269786266
2,3.8,20,0,-106,-20.6811947581838
2,3.8,20,0,-105,-20.4053837502325
2,3.8,20,0,-104,-20.1427673629491
2,3.8,20,0,-103,-19.8904546008551
2,3.8,20,0,-102,-19.645676738535
2,3.8,20,0,-101,-19.4058479412855
2,3.8,20,0,-100,-19.1686058850105
2,3.8,20,0,-99,-18.9318365530857
2,3.8,20,0,-98,-18.6936863433711
2,3.8,20,0,-97,-18.452564131924
2,3.8,20,0,-96,-18.2071357757153
2,3.8,20,0,-95,-17.9563135029746
2,3.8,20,0,-94,-17.6992425939616
2,3.8,20,0,-93,-17.4352876060863
2,3.8,20,0,-92,-17.1640201045867
2,3.8,20,0,-91,-16.8852094261207
2,3.8,20,0,-90,-16.5988174631587
2,3.8,20,0,-89,-16.3049978681391
2,3.8,20,0,-88,-16.004099502767
2,3.8,20,0,-87,-15.6966734629042
2,3.8,20,0,-86,-15.3834826468467
2,3.8,20,0,-85,-15.065512642306
2,3.8,20,0,-84,-14.7439827030001
2,3.8,20,0,-83,-14.4203557653402
2,3.8,20,0,-82,-14.0963467939355
2,3.8,20,0,-81,-13.7739291990668
2,3.8,20,0,-80,-13.4553395875048
2,3.8,20,0,-79,-13.1430816372564
2,3.8,20,0,-78,-12.8399303836675
2,3.8,20,0,-77,-12.5489386432334
2,3.8,20,0,-76,-12.2734476798365
2,3.8,20,0,-75,-12.0171045574841
2,3.8,20,0,-74,-11.7838889673644
2,3.8,20,0,-73,-11.5781527252977
2,3.8,20,0,-72,-11.4046756775082
2,3.8,20,0,-71,-11.2687424932808
