"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,20,0,-180,-22.1957595052733
2,3.8,20,0,-179,-24.1959774043393
2,3.8,20,0,-178,-25.6647281133051
2,3.8,20,0,-177,-25.5068082338577
2,3.8,20,0,-176,-23.9933201563547
2,3.8,20,0,-175,-22.2433721980253
2,3.8,20,0,-174,-20.7654547412241
2,3.8,20,0,-173,-19.6499861827999
2,3.8,20,0,-172,-18.8763957971917
2,3.8,20,0,-171,-18.4092983245164
2,3.8,20,0,-170,-18.2195899576239
2,3.8,20,0,-169,-18.2867800172988
2,3.8,20,0,-168,-18.5967073175469
2,3.8,20,0,-167,-19.1370768110866
2,3.8,20,0,-166,-19.8893717667099
2,3.8,20,0,-165,-20.813027856429
2,3.8,20,0,-164,-21.8164224208188
2,3.8,20,0,-163,-22.7200844526129
2,3.8,20,0,-162,-23.2657287825738
2,3.8,20,0,-161,-23.2618000013828
2,3.8,20,0,-160,-22.7634694229402
2,3.8,20,0,-159,-22.0107784762948
2,3.8,20,0,-158,-21.2281008268487
2,3.8,20,0,-157,-20.5426268213151
2,3.8,20,0,-156,-20.0052012839858
2,3.8,20,0,-155,-19.6249222756101
2,3.8,20,0,-154,-19.3902021368689
2,3.8,20,0,-153,-19.2786701373076
2,3.8,20,0,-152,-19.2616555417521
2,3.8,20,0,-151,-19.3071194088259
2,3.8,20,0,-150,-19.383243155082
2,3.8,20,0,-149,-19.4634443304778
2,3.8,20,0,-148,-19.5319382073572
2,3.8,20,0,-147,-19.587625579875
2,3.8,20,0,-146,-19.6442893694192
2,3.8,20,0,-145,-19.7270428023261
2,3.8,20,0,-144,-19.8670108349844
2,3.8,20,0,-143,-20.0965837821344
2,3.8,20,0,-142,-20.4463621746022
2,3.8,20,0,-141,-20.9433483648568
2,3.8,20,0,-140,-21.6086083346115
2,3.8,20,0,-139,-22.4508494618511
2,3.8,20,0,-138,-23.4486016496737
2,3.8,20,0,-137,-24.5080753809168
2,3.8,20,0,-136,-25.3944203399185
2,3.8,20,0,-135,-25.7305143049389
2,3.8,20,0,-134,-25.2672565407758
2,3.8,20,0,-133,-24.1790713260866
2,3.8,20,0,-132,-22.8470312052378
2,3.8,20,0,-131,-21.5383500857352
2,3.8,20,0,-130,-20.3686220201931
2,3.8,20,0,-129,-19.3707398397232
2,3.8,20,0,-128,-18.5439873188074
2,3.8,20,0,-127,-17.8762404776036
2,3.8,20,0,-126,-17.3525176492673
2,3.8,20,0,-125,-16.957860489105
2,3.8,20,0,-124,-16.6779822360168
2,3.8,20,0,-123,-16.4990326000664
2,3.8,20,0,-122,-16.4069936167817
2,3.8,20,0,-121,-16.38691019665
2,3.8,20,0,-120,-16.4220727256702
2,3.8,20,0,-119,-16.4932981762987
2,3.8,20,0,-118,-16.5785579129162
2,3.8,20,0,-117,-16.6533250618531
2,3.8,20,0,-116,-16.6920506404779
2,3.8,20,0,-115,-16.670947299494
2,3.8,20,0,-114,-16.571650482187
2,3.8,20,0,-113,-16.3845624038944
2,3.8,20,0,-112,-16.11039619556
2,3.8,20,0,-111,-15.7591268973598
2,3.8,20,0,-110,-15.3468601602328
2,3.8,20,0,-109,-14.8920295588019
2,3.8,20,0,-108,-14.4122484993217
2,3.8,20,0,-107,-13.9224228254835
2,3.8,20,0,-106,-13.434047864773
2,3.8,20,0,-105,-12.9552983364119
2,3.8,20,0,-104,-12.4915125552584
2,3.8,20,0,-103,-12.0457945946989
2,3.8,20,0,-102,-11.6195858094246
2,3.8,20,0,-101,-11.2131456888054
2,3.8,20,0,-100,-10.8259308172768
2,3.8,20,0,-99,-10.4568825105563
2,3.8,20,0,-98,-10.1046405595615
2,3.8,20,0,-97,-9.76770039947873
2,3.8,20,0,-96,-9.44452829187084
2,3.8,20,0,-95,-9.13364584868418
2,3.8,20,0,-94,-8.83369229134922
2,3.8,20,0,-93,-8.54347048387463
2,3.8,20,0,-92,-8.26198100931094
2,3.8,20,0,-91,-7.98844728749938
2,3.8,20,0,-90,-7.72233385385754
2,3.8,20,0,-89,-7.46335933872977
2,3.8,20,0,-88,-7.21150532631255
2,3.8,20,0,-87,-6.96702207023087
2,3.8,20,0,-86,-6.73043195312967
2,3.8,20,0,-85,-6.50253156609934
2,3.8,20,0,-84,-6.28439332676458
2,3.8,20,0,-83,-6.07736763813962
2,3.8,20,0,-82,-5.88308670846508
2,3.8,20,0,-81,-5.70347130878563
2,3.8,20,0,-80,-5.54074195350201
2,3.8,20,0,-79,-5.39743627481268
2,3.8,20,0,-78,-5.27643476543698
2,3.8,20,0,-77,-5.1809976474362
2,3.8,20,0,-76,-5.11481648297542
2,3.8,20,0,-75,-5.08208542161069
2,3.8,20,0,-74,-5.08759890881429
2,3.8,20,0,-73,-5.13688563571004
2,3.8,20,0,-72,-5.23639311281448
2,3.8,20,0,-71,-5.3937445674831
2,3.8,20,0,-70,-5.61810177826118
2,3.8,20,0,-69,-5.92068739787942
2,3.8,20,0,-68,-6.31555473266594
2,3.8,20,0,-67,-6.82075439801476
2,3.8,20,0,-66,-7.46016097976663
2,3.8,20,0,-65,-8.26644053395725
2,3.8,20,0,-64,-9.2860659008304
2,3.8,20,0,-63,-10.5880990432309
2,3.8,20,0,-62,-12.2796264804874
