"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,20,0,-180,-14.9351870639456
2,3.8,20,0,-179,-13.7425876597427
2,3.8,20,0,-178,-13.0762082380187
2,3.8,20,0,-177,-12.8171386510171
2,3.8,20,0,-176,-12.9055251003741
2,3.8,20,0,-175,-13.3153140828304
2,3.8,20,0,-174,-14.0449235981366
2,3.8,20,0,-173,-15.1161090494395
2,3.8,20,0,-172,-16.5798835077391
2,3.8,20,0,-171,-18.5328204535921
2,3.8,20,0,-170,-21.1533472999038
2,3.8,20,0,-169,-24.7660084819819
2,3.8,20,0,-168,-29.6116927043975
2,3.8,20,0,-167,-31.5008728505579
2,3.8,20,0,-166,-27.5836075363215
2,3.8,20,0,-165,-24.3627297175955
2,3.8,20,0,-164,-22.2819708921527
2,3.8,20,0,-163,-20.956701969682
2,3.8,20,0,-162,-20.15676944774
2,3.8,20,0,-161,-19.7528300825147
2,3.8,20,0,-160,-19.6675379355248
2,3.8,20,0,-159,-19.8509680526146
2,3.8,20,0,-158,-20.2673847050702
2,3.8,20,0,-157,-20.8865853156847
2,3.8,20,0,-156,-21.6764273891469
2,3.8,20,0,-155,-22.594766890655
2,3.8,20,0,-154,-23.5808375540715
2,3.8,20,0,-153,-24.5499950486777
2,3.8,20,0,-152,-25.4017666430797
2,3.8,20,0,-151,-26.0506723918423
2,3.8,20,0,-150,-26.4675744448892
2,3.8,20,0,-149,-26.6936029317704
2,3.8,20,0,-148,-26.8099730836118
2,3.8,20,0,-147,-26.8941477436396
2,3.8,20,0,-146,-26.9940651983559
2,3.8,20,0,-145,-27.1226332962258
2,3.8,20,0,-144,-27.2621079553666
2,3.8,20,0,-143,-27.3728061358849
2,3.8,20,0,-142,-27.4065865165151
2,3.8,20,0,-141,-27.3251434418409
2,3.8,20,0,-140,-27.1168117415272
2,3.8,20,0,-139,-26.8016925440901
2,3.8,20,0,-138,-26.4220346370982
2,3.8,20,0,-137,-26.0261343052166
2,3.8,20,0,-136,-25.6559305132745
2,3.8,20,0,-135,-25.3418111143712
2,3.8,20,0,-134,-25.1025821978156
2,3.8,20,0,-133,-24.9474971040991
2,3.8,20,0,-132,-24.8783867829992
2,3.8,20,0,-131,-24.8911123540218
2,3.8,20,0,-130,-24.9762104514192
2,3.8,20,0,-129,-25.1188921528118
2,3.8,20,0,-128,-25.2987376741639
2,3.8,20,0,-127,-25.489649232152
2,3.8,20,0,-126,-25.6608771329587
2,3.8,20,0,-125,-25.7799840465227
2,3.8,20,0,-124,-25.8180164499768
2,3.8,20,0,-123,-25.7557026591799
2,3.8,20,0,-122,-25.5880065577114
2,3.8,20,0,-121,-25.3245092801852
2,3.8,20,0,-120,-24.9853900108522
2,3.8,20,0,-119,-24.595295518903
2,3.8,20,0,-118,-24.1779160914756
2,3.8,20,0,-117,-23.7527533831087
2,3.8,20,0,-116,-23.3340315094689
2,3.8,20,0,-115,-22.9309831275822
2,3.8,20,0,-114,-22.5487467176044
2,3.8,20,0,-113,-22.189387952471
2,3.8,20,0,-112,-21.8528165483973
2,3.8,20,0,-111,-21.537528332081
2,3.8,20,0,-110,-21.2411763645419
