"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,20,0,-180,-13.1293203916408
2,4.3,20,0,-179,-13.9372873836045
2,4.3,20,0,-178,-15.2500416498087
2,4.3,20,0,-177,-17.0157096783415
2,4.3,20,0,-176,-18.824968592893
2,4.3,20,0,-175,-19.4901439022905
2,4.3,20,0,-174,-18.3442804592541
2,4.3,20,0,-173,-16.5329059459179
2,4.3,20,0,-172,-14.9715586862206
2,4.3,20,0,-171,-13.8834751644167
2,4.3,20,0,-170,-13.2685771503093
2,4.3,20,0,-169,-13.08904515762
2,4.3,20,0,-168,-13.3063847038287
2,4.3,20,0,-167,-13.8752148138211
2,4.3,20,0,-166,-14.7126312008316
2,4.3,20,0,-165,-15.6389314575565
2,4.3,20,0,-164,-16.3260728062683
2,4.3,20,0,-163,-16.4240238968298
2,4.3,20,0,-162,-15.9029792890352
2,4.3,20,0,-161,-15.0835489185506
2,4.3,20,0,-160,-14.2959081283369
2,4.3,20,0,-159,-13.7187357477629
2,4.3,20,0,-158,-13.418352694393
2,4.3,20,0,-157,-13.4053869706037
2,4.3,20,0,-156,-13.6601541666745
2,4.3,20,0,-155,-14.1328198776619
2,4.3,20,0,-154,-14.7264518293076
2,4.3,20,0,-153,-15.2772020279264
2,4.3,20,0,-152,-15.5751444351186
2,4.3,20,0,-151,-15.474509064192
2,4.3,20,0,-150,-15.0113274520152
2,4.3,20,0,-149,-14.3626203651222
2,4.3,20,0,-148,-13.7086412841645
2,4.3,20,0,-147,-13.1622477983193
2,4.3,20,0,-146,-12.7729206213626
2,4.3,20,0,-145,-12.5490051428025
2,4.3,20,0,-144,-12.4730240261915
2,4.3,20,0,-143,-12.5085048003917
2,4.3,20,0,-142,-12.6029766515235
2,4.3,20,0,-141,-12.6928793310394
2,4.3,20,0,-140,-12.715424141523
2,4.3,20,0,-139,-12.6272421955457
2,4.3,20,0,-138,-12.4202730661352
2,4.3,20,0,-137,-12.1225291202273
2,4.3,20,0,-136,-11.7829946650301
2,4.3,20,0,-135,-11.4525966898505
2,4.3,20,0,-134,-11.1718615365056
2,4.3,20,0,-133,-10.9668208999268
2,4.3,20,0,-132,-10.8495819094264
2,4.3,20,0,-131,-10.8200600508906
2,4.3,20,0,-130,-10.8671287754449
2,4.3,20,0,-129,-10.9688972861712
2,4.3,20,0,-128,-11.0928667674139
2,4.3,20,0,-127,-11.1976061694869
2,4.3,20,0,-126,-11.2380230269024
2,4.3,20,0,-125,-11.175090777884
2,4.3,20,0,-124,-10.9872606808913
2,4.3,20,0,-123,-10.6772597777275
2,4.3,20,0,-122,-10.2695614818835
2,4.3,20,0,-121,-9.80044576181496
2,4.3,20,0,-120,-9.30710477449049
2,4.3,20,0,-119,-8.82062831193768
2,4.3,20,0,-118,-8.36357314647791
2,4.3,20,0,-117,-7.95047029829453
2,4.3,20,0,-116,-7.58949410839359
2,4.3,20,0,-115,-7.28423389194057
2,4.3,20,0,-114,-7.03514616674124
2,4.3,20,0,-113,-6.84061087553818
2,4.3,20,0,-112,-6.69764914588887
2,4.3,20,0,-111,-6.60239000713533
2,4.3,20,0,-110,-6.55036440365692
2,4.3,20,0,-109,-6.53668657774667
2,4.3,20,0,-108,-6.55616619830766
2,4.3,20,0,-107,-6.60338204968737
2,4.3,20,0,-106,-6.67273929039278
2,4.3,20,0,-105,-6.75852606639055
2,4.3,20,0,-104,-6.85498040989351
2,4.3,20,0,-103,-6.95637389520034
2,4.3,20,0,-102,-7.05711383937761
2,4.3,20,0,-101,-7.15186077611366
2,4.3,20,0,-100,-7.23565289090928
2,4.3,20,0,-99,-7.30402498886403
2,4.3,20,0,-98,-7.35310754577753
2,4.3,20,0,-97,-7.37969246351849
2,4.3,20,0,-96,-7.38125660915918
2,4.3,20,0,-95,-7.35594132992533
2,4.3,20,0,-94,-7.30249421399448
2,4.3,20,0,-93,-7.22018628954265
2,4.3,20,0,-92,-7.10872180655966
2,4.3,20,0,-91,-6.96815781854479
2,4.3,20,0,-90,-6.7988471718409
2,4.3,20,0,-89,-6.6014123144798
2,4.3,20,0,-88,-6.37675011453479
2,4.3,20,0,-87,-6.12606122065577
2,4.3,20,0,-86,-5.85089270786766
2,4.3,20,0,-85,-5.55318064974364
