"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,20,0,-180,-15.8544138081201
2,4.3,20,0,-179,-14.0383138529493
2,4.3,20,0,-178,-12.2263344787754
2,4.3,20,0,-177,-10.8958934187086
2,4.3,20,0,-176,-10.1023131819681
2,4.3,20,0,-175,-9.82076800959861
2,4.3,20,0,-174,-10.029471664096
2,4.3,20,0,-173,-10.7181735476029
2,4.3,20,0,-172,-11.8629124422449
2,4.3,20,0,-171,-13.331046578674
2,4.3,20,0,-170,-14.6374360067131
2,4.3,20,0,-169,-14.8755416021772
2,4.3,20,0,-168,-13.8192564648351
2,4.3,20,0,-167,-12.314905529508
2,4.3,20,0,-166,-11.0125893128992
2,4.3,20,0,-165,-10.116390516005
2,4.3,20,0,-164,-9.65496192039461
2,4.3,20,0,-163,-9.61501460060595
2,4.3,20,0,-162,-9.97554012692543
2,4.3,20,0,-161,-10.7014731879848
2,4.3,20,0,-160,-11.7026531399114
2,4.3,20,0,-159,-12.7424625967438
2,4.3,20,0,-158,-13.3630996181567
2,4.3,20,0,-157,-13.150683047974
2,4.3,20,0,-156,-12.2443003437943
2,4.3,20,0,-155,-11.1344171608029
2,4.3,20,0,-154,-10.1668381720193
2,4.3,20,0,-153,-9.48049724145766
2,4.3,20,0,-152,-9.11087430410696
2,4.3,20,0,-151,-9.0543939674326
2,4.3,20,0,-150,-9.28984614367192
2,4.3,20,0,-149,-9.77567163126561
2,4.3,20,0,-148,-10.4293211347801
2,4.3,20,0,-147,-11.093781008662
2,4.3,20,0,-146,-11.5280384243047
2,4.3,20,0,-145,-11.5075689308786
2,4.3,20,0,-144,-11.0104807190596
2,4.3,20,0,-143,-10.233559019851
2,4.3,20,0,-142,-9.41092090923257
2,4.3,20,0,-141,-8.69546201042209
2,4.3,20,0,-140,-8.1589825214411
2,4.3,20,0,-139,-7.82508875609521
2,4.3,20,0,-138,-7.69225651109446
2,4.3,20,0,-137,-7.74345666584719
2,4.3,20,0,-136,-7.94649682685079
2,4.3,20,0,-135,-8.248392008383
2,4.3,20,0,-134,-8.56791921208965
2,4.3,20,0,-133,-8.79618499823203
2,4.3,20,0,-132,-8.82102215243393
2,4.3,20,0,-131,-8.57714057157132
2,4.3,20,0,-130,-8.0838558254196
2,4.3,20,0,-129,-7.4281628289154
2,4.3,20,0,-128,-6.71293079196177
2,4.3,20,0,-127,-6.01949467431539
2,4.3,20,0,-126,-5.39881502658703
2,4.3,20,0,-125,-4.87767248992376
2,4.3,20,0,-124,-4.46733709624641
2,4.3,20,0,-123,-4.17007809600197
2,4.3,20,0,-122,-3.98309133742462
2,4.3,20,0,-121,-3.90052553420837
2,4.3,20,0,-120,-3.91426065565748
2,4.3,20,0,-119,-4.01385216791141
2,4.3,20,0,-118,-4.18587165580057
2,4.3,20,0,-117,-4.41280763842261
2,4.3,20,0,-116,-4.67177376750366
2,4.3,20,0,-115,-4.93354624337914
2,4.3,20,0,-114,-5.16289219802826
2,4.3,20,0,-113,-5.32146537982579
2,4.3,20,0,-112,-5.37402565505672
2,4.3,20,0,-111,-5.29675335592062
2,4.3,20,0,-110,-5.08388425705865
2,4.3,20,0,-109,-4.74861868859023
2,4.3,20,0,-108,-4.3176831137371
2,4.3,20,0,-107,-3.8229799080408
2,4.3,20,0,-106,-3.29452605950537
2,4.3,20,0,-105,-2.75664284787399
2,4.3,20,0,-104,-2.22703510966895
2,4.3,20,0,-103,-1.71751615000306
2,4.3,20,0,-102,-1.23531758925924
2,4.3,20,0,-101,-0.784393264232467
2,4.3,20,0,-100,-0.366488138119693
2,4.3,20,0,-99,0.0180650711800174
2,4.3,20,0,-98,0.369783097561905
2,4.3,20,0,-97,0.689647126232193
2,4.3,20,0,-96,0.978844850321112
2,4.3,20,0,-95,1.2386002827949
2,4.3,20,0,-94,1.47006303953631
2,4.3,20,0,-93,1.67423752692857
2,4.3,20,0,-92,1.85193880312454
2,4.3,20,0,-91,2.00376629991914
2,4.3,20,0,-90,2.13008961880173
2,4.3,20,0,-89,2.23104269201827
2,4.3,20,0,-88,2.30652406179833
2,4.3,20,0,-87,2.35620212491959
2,4.3,20,0,-86,2.37952510253678
2,4.3,20,0,-85,2.37573638139343
2,4.3,20,0,-84,2.34389687918755
2,4.3,20,0,-83,2.28291737668103
2,4.3,20,0,-82,2.19160553384895
2,4.3,20,0,-81,2.06873483013798
2,4.3,20,0,-80,1.91314627869901
2,4.3,20,0,-79,1.72389885919934
2,4.3,20,0,-78,1.50049154266045
2,4.3,20,0,-77,1.24318850687834
2,4.3,20,0,-76,0.953488373172682
2,4.3,20,0,-75,0.634783557417164
2,4.3,20,0,-74,0.293245689542657
2,4.3,20,0,-73,-0.0610766568867088
2,4.3,20,0,-72,-0.41309217797552
2,4.3,20,0,-71,-0.741834499713794
2,4.3,20,0,-70,-1.02073560349595
2,4.3,20,0,-69,-1.22004436784496
2,4.3,20,0,-68,-1.31205813132522
2,4.3,20,0,-67,-1.27831536239608
2,4.3,20,0,-66,-1.1158036774719
2,4.3,20,0,-65,-0.838683328896268
2,4.3,20,0,-64,-0.474443194812914
2,4.3,20,0,-63,-0.0568740172972187
2,4.3,20,0,-62,0.380528898868109
2,4.3,20,0,-61,0.808596659107339
2,4.3,20,0,-60,1.20385840380236
2,4.3,20,0,-59,1.54819207649631
2,4.3,20,0,-58,1.82772475637985
