"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,90,-180,-6.64865031186504
2,4.3,90,-179,-9.2033307304004
2,4.3,90,-178,-12.6261602801027
2,4.3,90,-177,-14.1580422285131
2,4.3,90,-176,-11.2342530152772
2,4.3,90,-175,-8.14351145175304
2,4.3,90,-174,-6.0428431041349
2,4.3,90,-173,-4.77772741786169
2,4.3,90,-172,-4.19144678003294
2,4.3,90,-171,-4.20970057321427
2,4.3,90,-170,-4.82700147803333
2,4.3,90,-169,-6.10548896091989
2,4.3,90,-168,-8.18914602650538
2,4.3,90,-167,-11.261619350577
2,4.3,90,-166,-14.6033538240584
2,4.3,90,-165,-13.9306637139809
2,4.3,90,-164,-10.5491247038205
2,4.3,90,-163,-7.90038186274449
2,4.3,90,-162,-6.18751441768952
2,4.3,90,-161,-5.21126101205794
2,4.3,90,-160,-4.84355244596338
2,4.3,90,-159,-5.03074560079534
2,4.3,90,-158,-5.78145183477736
2,4.3,90,-157,-7.17604818790959
2,4.3,90,-156,-9.4172593338345
2,4.3,90,-155,-12.9992654491033
2,4.3,90,-154,-19.295567433865
2,4.3,90,-153,-23.5263530107808
2,4.3,90,-152,-16.0117393636481
2,4.3,90,-151,-11.9551878102588
2,4.3,90,-150,-9.70306156270132
2,4.3,90,-149,-8.4866462931636
2,4.3,90,-148,-8.02066555747381
2,4.3,90,-147,-8.2077400514609
2,4.3,90,-146,-9.06642927665441
2,4.3,90,-145,-10.7496954859504
2,4.3,90,-144,-13.6972024958138
2,4.3,90,-143,-19.4347695238914
2,4.3,90,-142,-41.2331887041798
2,4.3,90,-141,-18.3722284075418
2,4.3,90,-140,-12.5536331685191
2,4.3,90,-139,-9.25257064865236
2,4.3,90,-138,-7.07809347338304
2,4.3,90,-137,-5.5823375080509
2,4.3,90,-136,-4.56354799696696
2,4.3,90,-135,-3.91356429498164
2,4.3,90,-134,-3.56712619101069
2,4.3,90,-133,-3.47975437782164
2,4.3,90,-132,-3.61467919322323
2,4.3,90,-131,-3.93124346051696
2,4.3,90,-130,-4.37062878512769
