"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,20,0,-180,-23.0943462679902
2,3.3,20,0,-179,-19.5163817355062
2,3.3,20,0,-178,-17.0910554938303
2,3.3,20,0,-177,-15.4513019830527
2,3.3,20,0,-176,-14.3426214566871
2,3.3,20,0,-175,-13.6228057651383
2,3.3,20,0,-174,-13.2096111427964
2,3.3,20,0,-173,-13.0536449412056
2,3.3,20,0,-172,-13.1249632836921
2,3.3,20,0,-171,-13.4061474921689
2,3.3,20,0,-170,-13.8885392347797
2,3.3,20,0,-169,-14.5700168824182
2,3.3,20,0,-168,-15.4532852791236
2,3.3,20,0,-167,-16.5435041852398
2,3.3,20,0,-166,-17.8429134931212
2,3.3,20,0,-165,-19.3367995611042
2,3.3,20,0,-164,-20.9581449233822
2,3.3,20,0,-163,-22.5151496432315
2,3.3,20,0,-162,-23.6273493280794
2,3.3,20,0,-161,-23.9065389719156
2,3.3,20,0,-160,-23.3877374532135
2,3.3,20,0,-159,-22.4752401248462
2,3.3,20,0,-158,-21.5114908764175
2,3.3,20,0,-157,-20.6516939292174
2,3.3,20,0,-156,-19.9389832960274
2,3.3,20,0,-155,-19.3710860105551
2,3.3,20,0,-154,-18.9313064480535
2,3.3,20,0,-153,-18.6006748937913
2,3.3,20,0,-152,-18.362493793611
2,3.3,20,0,-151,-18.2039914492278
2,3.3,20,0,-150,-18.116816080456
2,3.3,20,0,-149,-18.0969786234057
2,3.3,20,0,-148,-18.1444807168962
2,3.3,20,0,-147,-18.2627708894907
2,3.3,20,0,-146,-18.4581594558754
2,3.3,20,0,-145,-18.7393119588312
2,3.3,20,0,-144,-19.1169102125258
2,3.3,20,0,-143,-19.603521146407
2,3.3,20,0,-142,-20.2136460569127
2,3.3,20,0,-141,-20.9638054828095
2,3.3,20,0,-140,-21.8722368120119
2,3.3,20,0,-139,-22.9570187548598
2,3.3,20,0,-138,-24.2292838819174
2,3.3,20,0,-137,-25.6724225767571
2,3.3,20,0,-136,-27.1865276502942
2,3.3,20,0,-135,-28.4817494853567
2,3.3,20,0,-134,-29.0558675795261
2,3.3,20,0,-133,-28.6154089448821
2,3.3,20,0,-132,-27.4783480069863
2,3.3,20,0,-131,-26.141652460298
2,3.3,20,0,-130,-24.8833428224718
2,3.3,20,0,-129,-23.797330244555
2,3.3,20,0,-128,-22.8984776183253
2,3.3,20,0,-127,-22.1759047195153
2,3.3,20,0,-126,-21.6128004022926
2,3.3,20,0,-125,-21.1928549138541
2,3.3,20,0,-124,-20.9019705984106
2,3.3,20,0,-123,-20.7283902522392
2,3.3,20,0,-122,-20.6623234293641
2,3.3,20,0,-121,-20.6954178665694
2,3.3,20,0,-120,-20.820156714948
2,3.3,20,0,-119,-21.0291563178823
2,3.3,20,0,-118,-21.3142873638619
2,3.3,20,0,-117,-21.6655121386008
2,3.3,20,0,-116,-22.0693289513336
2,3.3,20,0,-115,-22.50678952308
2,3.3,20,0,-114,-22.9513117282421
2,3.3,20,0,-113,-23.3670928585707
2,3.3,20,0,-112,-23.7098329535288
2,3.3,20,0,-111,-23.932049976527
2,3.3,20,0,-110,-23.9938614752804
2,3.3,20,0,-109,-23.8756898591384
2,3.3,20,0,-108,-23.5852268785012
2,3.3,20,0,-107,-23.1534452540362
2,3.3,20,0,-106,-22.6226949618352
2,3.3,20,0,-105,-22.0347010088701
2,3.3,20,0,-104,-21.4235401573204
2,3.3,20,0,-103,-20.8137435544393
2,3.3,20,0,-102,-20.2213610783126
2,3.3,20,0,-101,-19.6560142165882
2,3.3,20,0,-100,-19.1228833553334
2,3.3,20,0,-99,-18.624268699774
2,3.3,20,0,-98,-18.1607007561972
2,3.3,20,0,-97,-17.7316893798394
2,3.3,20,0,-96,-17.3362140890307
2,3.3,20,0,-95,-16.9730396419335
2,3.3,20,0,-94,-16.6409174291668
2,3.3,20,0,-93,-16.3387138185128
2,3.3,20,0,-92,-16.0654925960913
2,3.3,20,0,-91,-15.8205692058314
2,3.3,20,0,-90,-15.6035483434629
2,3.3,20,0,-89,-15.4143525586699
2,3.3,20,0,-88,-15.2532471008821
2,3.3,20,0,-87,-15.1208648018737
2,3.3,20,0,-86,-15.0182339939404
2,3.3,20,0,-85,-14.946812108763
2,3.3,20,0,-84,-14.9085275570593
2,3.3,20,0,-83,-14.9058326586649
2,3.3,20,0,-82,-14.9417706815914
2,3.3,20,0,-81,-15.0200603013315
2,3.3,20,0,-80,-15.1452006761684
2,3.3,20,0,-79,-15.3225990870763
2,3.3,20,0,-78,-15.5587189307373
2,3.3,20,0,-77,-15.861234594884
2,3.3,20,0,-76,-16.2391514391149
2,3.3,20,0,-75,-16.7027797797169
2,3.3,20,0,-74,-17.263282967074
2,3.3,20,0,-73,-17.931108929415
2,3.3,20,0,-72,-18.7116294225637
2,3.3,20,0,-71,-19.5941015991184
2,3.3,20,0,-70,-20.5262328765819
2,3.3,20,0,-69,-21.3666216918854
2,3.3,20,0,-68,-21.8424523468288
2,3.3,20,0,-67,-21.6427797755973
2,3.3,20,0,-66,-20.702044156928
2,3.3,20,0,-65,-19.2787242811272
2,3.3,20,0,-64,-17.6856333813979
2,3.3,20,0,-63,-16.1128592185044
2,3.3,20,0,-62,-14.6411997404726
2,3.3,20,0,-61,-13.2952204415733
2,3.3,20,0,-60,-12.0763819237259
2,3.3,20,0,-59,-10.9782201449426
2,3.3,20,0,-58,-9.99253802116441
2,3.3,20,0,-57,-9.11174257078112
2,3.3,20,0,-56,-8.32962400008759
2,3.3,20,0,-55,-7.64153501065897
2,3.3,20,0,-54,-7.04436303847775
2,3.3,20,0,-53,-6.53645604246859
2,3.3,20,0,-52,-6.11756847117469
2,3.3,20,0,-51,-5.78885752416236
2,3.3,20,0,-50,-5.55294818983514
2,3.3,20,0,-49,-5.41408597773694
2,3.3,20,0,-48,-5.37840451692955
2,3.3,20,0,-47,-5.45435136552427
2,3.3,20,0,-46,-5.65334281343063
2,3.3,20,0,-45,-5.99076420362609
2,3.3,20,0,-44,-6.48750810550194
2,3.3,20,0,-43,-7.17236266823382
2,3.3,20,0,-42,-8.08571507318728
2,3.3,20,0,-41,-9.28500168681362
2,3.3,20,0,-40,-10.8505927360059
2,3.3,20,0,-39,-12.8775378253653
2,3.3,20,0,-38,-15.3518823232262
2,3.3,20,0,-37,-17.4356096425247
2,3.3,20,0,-36,-16.8467363388463
2,3.3,20,0,-35,-14.1317326480311
2,3.3,20,0,-34,-11.4049397616075
2,3.3,20,0,-33,-9.17244223605538
2,3.3,20,0,-32,-7.39576951859615
2,3.3,20,0,-31,-5.98576290716935
2,3.3,20,0,-30,-4.87451117332596
2,3.3,20,0,-29,-4.01679407066641
2,3.3,20,0,-28,-3.38424204411635
2,3.3,20,0,-27,-2.96085386628201
2,3.3,20,0,-26,-2.74042620022681
2,3.3,20,0,-25,-2.72553797893179
2,3.3,20,0,-24,-2.92789487787936
2,3.3,20,0,-23,-3.37015658397283
2,3.3,20,0,-22,-4.08974822739606
2,3.3,20,0,-21,-5.1455033067342
2,3.3,20,0,-20,-6.62710570032074
2,3.3,20,0,-19,-8.65551509522821
2,3.3,20,0,-18,-11.2649921698562
2,3.3,20,0,-17,-13.5084199210847
2,3.3,20,0,-16,-12.5366357403033
2,3.3,20,0,-15,-9.39732844490497
2,3.3,20,0,-14,-6.49665854209246
2,3.3,20,0,-13,-4.20283278546525
2,3.3,20,0,-12,-2.41432538474796
2,3.3,20,0,-11,-1.02177406800731
2,3.3,20,0,-10,0.049035496489138
2,3.3,20,0,-9,0.844379327243921
2,3.3,20,0,-8,1.39082403745574
2,3.3,20,0,-7,1.70004101480266
2,3.3,20,0,-6,1.77066524822882
2,3.3,20,0,-5,1.58751259744744
2,3.3,20,0,-4,1.11755333638757
2,3.3,20,0,-3,0.30033805080934
2,3.3,20,0,-2,-0.973589998650701
2,3.3,20,0,-1,-2.91551606697287
2,3.3,20,0,0,-5.98820904956971
2,3.3,20,0,1,-11.3318430586645
2,3.3,20,0,2,-14.9862267791322
2,3.3,20,0,3,-7.41835885816802
2,3.3,20,0,4,-2.42782214060848
2,3.3,20,0,5,0.946197058774968
2,3.3,20,0,6,3.46820930122754
2,3.3,20,0,7,5.46274934962652
2,3.3,20,0,8,7.09248631005473
2,3.3,20,0,9,8.44990898382508
2,3.3,20,0,10,9.59250436471848
2,3.3,20,0,11,10.5583986181238
2,3.3,20,0,12,11.3741359159656
2,3.3,20,0,13,12.0588926318271
2,3.3,20,0,14,12.6269179135649
2,3.3,20,0,15,13.0890239244089
2,3.3,20,0,16,13.4535350564772
2,3.3,20,0,17,13.7269129716583
2,3.3,20,0,18,13.914178500478
2,3.3,20,0,19,14.0192008578156
2,3.3,20,0,20,14.0448965459705
2,3.3,20,0,21,13.9933639529293
2,3.3,20,0,22,13.8659696377569
2,3.3,20,0,23,13.663395785424
2,3.3,20,0,24,13.3856537139172
2,3.3,20,0,25,13.0320646457638
2,3.3,20,0,26,12.6012055122154
2,3.3,20,0,27,12.0908137072707
2,3.3,20,0,28,11.4976397025001
2,3.3,20,0,29,10.8172291826282
2,3.3,20,0,30,10.0436050601507
2,3.3,20,0,31,9.1688011431755
2,3.3,20,0,32,8.18216725624122
2,3.3,20,0,33,7.06930813264203
2,3.3,20,0,34,5.81041016747788
2,3.3,20,0,35,4.37749577968679
2,3.3,20,0,36,2.72969672969033
2,3.3,20,0,37,0.804646633419103
2,3.3,20,0,38,-1.49817798060017
2,3.3,20,0,39,-4.35110754709581
2,3.3,20,0,40,-8.05702130783031
2,3.3,20,0,41,-12.8989017659944
2,3.3,20,0,42,-15.5592968363013
2,3.3,20,0,43,-11.9677414795449
2,3.3,20,0,44,-8.5814449323336
2,3.3,20,0,45,-6.27271980674654
2,3.3,20,0,46,-4.66760330578967
2,3.3,20,0,47,-3.52438028997635
2,3.3,20,0,48,-2.70539475519375
2,3.3,20,0,49,-2.12783134845001
2,3.3,20,0,50,-1.73865116275752
2,3.3,20,0,51,-1.50203150655357
2,3.3,20,0,52,-1.39270539181541
2,3.3,20,0,53,-1.39220875052561
2,3.3,20,0,54,-1.48664800649854
2,3.3,20,0,55,-1.66530776530691
2,3.3,20,0,56,-1.91974535388804
2,3.3,20,0,57,-2.24317866117911
2,3.3,20,0,58,-2.63005580442729
2,3.3,20,0,59,-3.07573915309359
2,3.3,20,0,60,-3.57626058261252
2,3.3,20,0,61,-4.12811846949608
2,3.3,20,0,62,-4.72809443779734
2,3.3,20,0,63,-5.37307165814207
2,3.3,20,0,64,-6.05983801107308
2,3.3,20,0,65,-6.7848577248608
2,3.3,20,0,66,-7.54399540606174
2,3.3,20,0,67,-8.33217863881766
2,3.3,20,0,68,-9.14299289687987
2,3.3,20,0,69,-9.96822087038997
2,3.3,20,0,70,-10.7973750158346
2,3.3,20,0,71,-11.6173341031776
2,3.3,20,0,72,-12.4122791780448
2,3.3,20,0,73,-13.1642021671998
2,3.3,20,0,74,-13.8542566984515
2,3.3,20,0,75,-14.465029340494
2,3.3,20,0,76,-14.9833847991221
2,3.3,20,0,77,-15.4030441937439
2,3.3,20,0,78,-15.7258783738333
2,3.3,20,0,79,-15.9613336070795
2,3.3,20,0,80,-16.124254512797
2,3.3,20,0,81,-16.2320246976862
2,3.3,20,0,82,-16.3019979223363
2,3.3,20,0,83,-16.3497725151026
2,3.3,20,0,84,-16.3883744356459
2,3.3,20,0,85,-16.4281271909768
2,3.3,20,0,86,-16.4769208938762
2,3.3,20,0,87,-16.5406497235205
2,3.3,20,0,88,-16.6236745845574
2,3.3,20,0,89,-16.7292398577261
2,3.3,20,0,90,-16.8598189858868
2,3.3,20,0,91,-17.017387868232
2,3.3,20,0,92,-17.2036354557492
2,3.3,20,0,93,-17.420123848822
2,3.3,20,0,94,-17.6684095627704
2,3.3,20,0,95,-17.950135595943
2,3.3,20,0,96,-18.2671014994946
2,3.3,20,0,97,-18.6213161325173
2,3.3,20,0,98,-19.0150351218607
2,3.3,20,0,99,-19.4507818752551
2,3.3,20,0,100,-19.9313466419662
2,3.3,20,0,101,-20.4597514146037
2,3.3,20,0,102,-21.0391574351424
2,3.3,20,0,103,-21.6726733361126
2,3.3,20,0,104,-22.3629899457218
2,3.3,20,0,105,-23.1117140404025
2,3.3,20,0,106,-23.9181876352409
2,3.3,20,0,107,-24.7774593898138
2,3.3,20,0,108,-25.6769632708388
2,3.3,20,0,109,-26.5915544028283
2,3.3,20,0,110,-27.4774261688756
2,3.3,20,0,111,-28.2681130826599
2,3.3,20,0,112,-28.8803021524128
2,3.3,20,0,113,-29.2378316620405
2,3.3,20,0,114,-29.3076634661079
2,3.3,20,0,115,-29.1193168803916
2,3.3,20,0,116,-28.7476069682314
2,3.3,20,0,117,-28.2765554645973
2,3.3,20,0,118,-27.77385856215
2,3.3,20,0,119,-27.2838209551438
2,3.3,20,0,120,-26.8308225684247
2,3.3,20,0,121,-26.4253280940666
2,3.3,20,0,122,-26.0690002588877
2,3.3,20,0,123,-25.758333927057
2,3.3,20,0,124,-25.4871930121564
2,3.3,20,0,125,-25.2487302584164
2,3.3,20,0,126,-25.0370020336744
2,3.3,20,0,127,-24.8483797676477
2,3.3,20,0,128,-24.6826870500115
2,3.3,20,0,129,-24.5439010478526
2,3.3,20,0,130,-24.440263451223
2,3.3,20,0,131,-24.3837058322767
2,3.3,20,0,132,-24.3884945048901
2,3.3,20,0,133,-24.4687756709441
2,3.3,20,0,134,-24.6340372745928
2,3.3,20,0,135,-24.8801305194167
2,3.3,20,0,136,-25.1715050168742
2,3.3,20,0,137,-25.4109277655989
2,3.3,20,0,138,-25.41070375782
2,3.3,20,0,139,-24.9315228382979
2,3.3,20,0,140,-23.8488387878846
2,3.3,20,0,141,-22.2794930171347
2,3.3,20,0,142,-20.4675462296626
2,3.3,20,0,143,-18.6127327085671
2,3.3,20,0,144,-16.8244538857449
2,3.3,20,0,145,-15.1489948235775
2,3.3,20,0,146,-13.6003489779102
2,3.3,20,0,147,-12.1783330270147
2,3.3,20,0,148,-10.8773400068686
2,3.3,20,0,149,-9.69022864556064
2,3.3,20,0,150,-8.60995144630455
2,3.3,20,0,151,-7.63017677074777
2,3.3,20,0,152,-6.7454763591914
2,3.3,20,0,153,-5.95133372735517
2,3.3,20,0,154,-5.24408671578129
2,3.3,20,0,155,-4.62085380420013
2,3.3,20,0,156,-4.07946532756181
2,3.3,20,0,157,-3.61840813827027
2,3.3,20,0,158,-3.23678692941743
2,3.3,20,0,159,-2.93430349086832
2,3.3,20,0,160,-2.7112548757421
2,3.3,20,0,161,-2.56855206151277
2,3.3,20,0,162,-2.50776193788877
2,3.3,20,0,163,-2.53117736275138
2,3.3,20,0,164,-2.64192283772659
2,3.3,20,0,165,-2.84410756526482
2,3.3,20,0,166,-3.1430441601354
2,3.3,20,0,167,-3.54556171183005
2,3.3,20,0,168,-4.06045918493371
2,3.3,20,0,169,-4.69917491249023
2,3.3,20,0,170,-5.47680128731182
2,3.3,20,0,171,-6.41367370687751
2,3.3,20,0,172,-7.53795956066504
2,3.3,20,0,173,-8.89008181839128
2,3.3,20,0,174,-10.5307094556099
2,3.3,20,0,175,-12.5560995946985
2,3.3,20,0,176,-15.1290073525448
2,3.3,20,0,177,-18.5353667783815
2,3.3,20,0,178,-23.1139496284198
2,3.3,20,0,179,-26.3930438729154
2,3.3,20,0,180,-23.0943462679902
