"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,20,0,-180,-15.7011681115396
2,3.3,20,0,-179,-15.9134820208844
2,3.3,20,0,-178,-15.4108909141644
2,3.3,20,0,-177,-14.4641815432063
2,3.3,20,0,-176,-13.4341646254226
2,3.3,20,0,-175,-12.5413563773614
2,3.3,20,0,-174,-11.8799144376226
2,3.3,20,0,-173,-11.4828162783723
2,3.3,20,0,-172,-11.3612211163459
2,3.3,20,0,-171,-11.5217717745837
2,3.3,20,0,-170,-11.9727084653211
2,3.3,20,0,-169,-12.7228869913591
2,3.3,20,0,-168,-13.7699414062095
2,3.3,20,0,-167,-15.0604156366635
2,3.3,20,0,-166,-16.3851465433222
2,3.3,20,0,-165,-17.2380692041154
2,3.3,20,0,-164,-17.0543644586378
2,3.3,20,0,-163,-15.948575512831
2,3.3,20,0,-162,-14.536367360512
2,3.3,20,0,-161,-13.2345583141058
2,3.3,20,0,-160,-12.1917882362424
2,3.3,20,0,-159,-11.438341341778
2,3.3,20,0,-158,-10.969356705815
2,3.3,20,0,-157,-10.7746938272501
2,3.3,20,0,-156,-10.8482333856472
2,3.3,20,0,-155,-11.1901914501853
2,3.3,20,0,-154,-11.8062359634857
2,3.3,20,0,-153,-12.7020935545753
2,3.3,20,0,-152,-13.8656045892885
2,3.3,20,0,-151,-15.2134498644021
2,3.3,20,0,-150,-16.4672936437466
2,3.3,20,0,-149,-17.0578761850855
2,3.3,20,0,-148,-16.5476050059851
2,3.3,20,0,-147,-15.2494940390815
2,3.3,20,0,-146,-13.7579626524004
2,3.3,20,0,-145,-12.3995042458444
2,3.3,20,0,-144,-11.2751527827163
2,3.3,20,0,-143,-10.3964349464027
2,3.3,20,0,-142,-9.74928721602862
2,3.3,20,0,-141,-9.31589064205593
2,3.3,20,0,-140,-9.08113213419582
2,3.3,20,0,-139,-9.03408102595031
2,3.3,20,0,-138,-9.16791064237307
2,3.3,20,0,-137,-9.47924656976447
2,3.3,20,0,-136,-9.96695421384712
2,3.3,20,0,-135,-10.6296775765333
2,3.3,20,0,-134,-11.4603505546848
2,3.3,20,0,-133,-12.433831678185
2,3.3,20,0,-132,-13.481096692598
2,3.3,20,0,-131,-14.4473911257993
2,3.3,20,0,-130,-15.070551249464
2,3.3,20,0,-129,-15.0904822160091
2,3.3,20,0,-128,-14.4818768799057
2,3.3,20,0,-127,-13.4786709656585
2,3.3,20,0,-126,-12.3473610135687
2,3.3,20,0,-125,-11.2513252593535
2,3.3,20,0,-124,-10.2615752630897
2,3.3,20,0,-123,-9.39942131948868
2,3.3,20,0,-122,-8.66451074021693
2,3.3,20,0,-121,-8.04837504752775
2,3.3,20,0,-120,-7.54024358909385
2,3.3,20,0,-119,-7.12935080581548
2,3.3,20,0,-118,-6.80574454310391
2,3.3,20,0,-117,-6.56047449699542
2,3.3,20,0,-116,-6.38553581690091
2,3.3,20,0,-115,-6.27372557732397
2,3.3,20,0,-114,-6.21847679558434
2,3.3,20,0,-113,-6.21369499950909
2,3.3,20,0,-112,-6.25360580872571
2,3.3,20,0,-111,-6.33261569246485
2,3.3,20,0,-110,-6.44518648016194
2,3.3,20,0,-109,-6.58572495682397
2,3.3,20,0,-108,-6.74849093210155
2,3.3,20,0,-107,-6.92752997656748
2,3.3,20,0,-106,-7.11664005542983
2,3.3,20,0,-105,-7.30938380190887
2,3.3,20,0,-104,-7.49915900933986
2,3.3,20,0,-103,-7.6793375908891
2,3.3,20,0,-102,-7.84347631991621
2,3.3,20,0,-101,-7.98559055266989
2,3.3,20,0,-100,-8.10046620138281
2,3.3,20,0,-99,-8.18396942994929
2,3.3,20,0,-98,-8.23330388115135
2,3.3,20,0,-97,-8.24716742420058
2,3.3,20,0,-96,-8.22577655503763
2,3.3,20,0,-95,-8.17075302045656
2,3.3,20,0,-94,-8.08489543004062
2,3.3,20,0,-93,-7.97187915509733
2,3.3,20,0,-92,-7.83593498817734
2,3.3,20,0,-91,-7.68155102337119
2,3.3,20,0,-90,-7.51322781694069
2,3.3,20,0,-89,-7.33530033726942
2,3.3,20,0,-88,-7.15182634660134
2,3.3,20,0,-87,-6.96653191702313
2,3.3,20,0,-86,-6.78280075744045
2,3.3,20,0,-85,-6.60369366621061
2,3.3,20,0,-84,-6.43198618278059
2,3.3,20,0,-83,-6.27021511059555
2,3.3,20,0,-82,-6.12072718490541
2,3.3,20,0,-81,-5.98572532495254
2,3.3,20,0,-80,-5.8673094767498
2,3.3,20,0,-79,-5.76751000562619
2,3.3,20,0,-78,-5.68831197742454
2,3.3,20,0,-77,-5.63166850886185
2,3.3,20,0,-76,-5.59950066458968
2,3.3,20,0,-75,-5.59368006008515
2,3.3,20,0,-74,-5.61598824536774
2,3.3,20,0,-73,-5.66804385854895
2,3.3,20,0,-72,-5.75118414648628
2,3.3,20,0,-71,-5.86628146806082
2,3.3,20,0,-70,-6.01346782198259
2,3.3,20,0,-69,-6.19173221846818
2,3.3,20,0,-68,-6.39835020886086
2,3.3,20,0,-67,-6.62811078628839
2,3.3,20,0,-66,-6.87234179892085
2,3.3,20,0,-65,-7.11783378423531
2,3.3,20,0,-64,-7.34596458290926
2,3.3,20,0,-63,-7.53264003174259
2,3.3,20,0,-62,-7.64995421338665
2,3.3,20,0,-61,-7.67033682300238
2,3.3,20,0,-60,-7.57288538651539
2,3.3,20,0,-59,-7.34972655804297
2,3.3,20,0,-58,-7.00914857083578
2,3.3,20,0,-57,-6.57361944671123
2,3.3,20,0,-56,-6.07392485425483
2,3.3,20,0,-55,-5.54261716743873
2,3.3,20,0,-54,-5.00933143339449
2,3.3,20,0,-53,-4.49866174799276
2,3.3,20,0,-52,-4.02998367325208
2,3.3,20,0,-51,-3.61829731066971
2,3.3,20,0,-50,-3.27540353349844
2,3.3,20,0,-49,-3.0110553432587
2,3.3,20,0,-48,-2.83395936178239
2,3.3,20,0,-47,-2.75262571468972
2,3.3,20,0,-46,-2.77611706507532
2,3.3,20,0,-45,-2.91476513351871
2,3.3,20,0,-44,-3.18092549470152
2,3.3,20,0,-43,-3.58983158928935
2,3.3,20,0,-42,-4.16056376997219
2,3.3,20,0,-41,-4.91697733618232
2,3.3,20,0,-40,-5.88781612775395
