"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,20,0,-180,-1.61031879509859
2,3.3,20,0,-179,-1.66053916220903
2,3.3,20,0,-178,-1.80721184056042
2,3.3,20,0,-177,-2.05172070501932
2,3.3,20,0,-176,-2.39660186537245
2,3.3,20,0,-175,-2.84570536105574
2,3.3,20,0,-174,-3.40445153054016
2,3.3,20,0,-173,-4.08021952015664
2,3.3,20,0,-172,-4.8829308642932
2,3.3,20,0,-171,-5.82593479331931
2,3.3,20,0,-170,-6.92738051032587
2,3.3,20,0,-169,-8.21240872526885
2,3.3,20,0,-168,-9.71677918309858
2,3.3,20,0,-167,-11.4931072841601
2,3.3,20,0,-166,-13.6218897988469
2,3.3,20,0,-165,-16.2303384762573
2,3.3,20,0,-164,-19.5113958512498
2,3.3,20,0,-163,-23.5777634599021
2,3.3,20,0,-162,-26.7424348695318
2,3.3,20,0,-161,-25.136951103261
2,3.3,20,0,-160,-22.2213440504291
2,3.3,20,0,-159,-20.0681366589624
2,3.3,20,0,-158,-18.6147972586173
2,3.3,20,0,-157,-17.6642339251404
2,3.3,20,0,-156,-17.0838604109611
2,3.3,20,0,-155,-16.7889012052396
2,3.3,20,0,-154,-16.722092540056
2,3.3,20,0,-153,-16.8411088871833
2,3.3,20,0,-152,-17.1107422339704
2,3.3,20,0,-151,-17.4975810956116
2,3.3,20,0,-150,-17.9662347768405
2,3.3,20,0,-149,-18.4772048769144
2,3.3,20,0,-148,-18.9873833628669
2,3.3,20,0,-147,-19.4544240139205
2,3.3,20,0,-146,-19.8449443605042
2,3.3,20,0,-145,-20.1435065806096
2,3.3,20,0,-144,-20.3571041919426
2,3.3,20,0,-143,-20.511954789099
2,3.3,20,0,-142,-20.6447275200209
2,3.3,20,0,-141,-20.7934134100204
2,3.3,20,0,-140,-20.9914981139615
2,3.3,20,0,-139,-21.2658994040894
2,3.3,20,0,-138,-21.6373296028792
2,3.3,20,0,-137,-22.1215903870202
2,3.3,20,0,-136,-22.7307761117316
2,3.3,20,0,-135,-23.4737066883646
2,3.3,20,0,-134,-24.3548562270433
2,3.3,20,0,-133,-25.3704681111558
2,3.3,20,0,-132,-26.4993721514812
2,3.3,20,0,-131,-27.6849349944729
2,3.3,20,0,-130,-28.8083382680933
2,3.3,20,0,-129,-29.6759063297277
2,3.3,20,0,-128,-30.0825591612079
2,3.3,20,0,-127,-29.9617167795208
2,3.3,20,0,-126,-29.4470869127026
2,3.3,20,0,-125,-28.7500329641731
2,3.3,20,0,-124,-28.0324735643707
2,3.3,20,0,-123,-27.3810633101144
2,3.3,20,0,-122,-26.8305700633743
2,3.3,20,0,-121,-26.3879650248266
2,3.3,20,0,-120,-26.0465901390867
2,3.3,20,0,-119,-25.7929837521997
2,3.3,20,0,-118,-25.6097893824731
2,3.3,20,0,-117,-25.476889110495
2,3.3,20,0,-116,-25.3719785781057
2,3.3,20,0,-115,-25.2713351403231
2,3.3,20,0,-114,-25.1512536523752
2,3.3,20,0,-113,-24.990294590261
2,3.3,20,0,-112,-24.7720050672045
2,3.3,20,0,-111,-24.4872824464992
2,3.3,20,0,-110,-24.1354165020316
2,3.3,20,0,-109,-23.7233127304477
2,3.3,20,0,-108,-23.263222669459
2,3.3,20,0,-107,-22.7698985293988
2,3.3,20,0,-106,-22.2580934174351
2,3.3,20,0,-105,-21.7409052365476
2,3.3,20,0,-104,-21.2290008084844
