"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.3,20,0,-37,-3.75891976412343
2,3.3,20,0,-36,-3.66190366066389
2,3.3,20,0,-35,-3.7163394808161
2,3.3,20,0,-34,-3.93389874964033
2,3.3,20,0,-33,-4.33196567382282
2,3.3,20,0,-32,-4.93565783877588
2,3.3,20,0,-31,-5.78087665531453
2,3.3,20,0,-30,-6.91840977382801
2,3.3,20,0,-29,-8.41675199978509
2,3.3,20,0,-28,-10.3471503220777
2,3.3,20,0,-27,-12.6562901774053
2,3.3,20,0,-26,-14.5686120015805
2,3.3,20,0,-25,-14.1940958621156
2,3.3,20,0,-24,-11.8442644255912
2,3.3,20,0,-23,-9.34734629032726
2,3.3,20,0,-22,-7.27637449672508
2,3.3,20,0,-21,-5.64444490219412
2,3.3,20,0,-20,-4.38332088702503
2,3.3,20,0,-19,-3.43474037600766
2,3.3,20,0,-18,-2.75965013868575
2,3.3,20,0,-17,-2.33538237509784
2,3.3,20,0,-16,-2.15277852092615
2,3.3,20,0,-15,-2.2150646537415
2,3.3,20,0,-14,-2.53883760958531
2,3.3,20,0,-13,-3.15783393642396
2,3.3,20,0,-12,-4.13123750057725
2,3.3,20,0,-11,-5.56045715098755
2,3.3,20,0,-10,-7.62100479840308
2,3.3,20,0,-9,-10.5928398419373
2,3.3,20,0,-8,-14.3842005609275
2,3.3,20,0,-7,-14.7060758739108
2,3.3,20,0,-6,-10.5273477693075
2,3.3,20,0,-5,-6.90261544670378
2,3.3,20,0,-4,-4.23683802099489
2,3.3,20,0,-3,-2.24056721887693
2,3.3,20,0,-2,-0.721228490571821
2,3.3,20,0,-1,0.432635303528752
2,3.3,20,0,0,1.28607512269097
2,3.3,20,0,1,1.87646318933523
2,3.3,20,0,2,2.222702747954
2,3.3,20,0,3,2.32925600972736
2,3.3,20,0,4,2.18678922307103
2,3.3,20,0,5,1.76963105838472
2,3.3,20,0,6,1.02863751968247
2,3.3,20,0,7,-0.1249765929193
2,3.3,20,0,8,-1.85758331795347
2,3.3,20,0,9,-4.51308027680377
2,3.3,20,0,10,-8.89445967012513
2,3.3,20,0,11,-14.8437030834697
2,3.3,20,0,12,-9.24613455473864
2,3.3,20,0,13,-3.60742224485437
2,3.3,20,0,14,0.0935684082580373
2,3.3,20,0,15,2.79273246000687
2,3.3,20,0,16,4.89482026157009
2,3.3,20,0,17,6.59595387325326
2,3.3,20,0,18,8.00462201658286
2,3.3,20,0,19,9.18693563496836
2,3.3,20,0,20,10.1861450625032
2,3.3,20,0,21,11.0321023023725
2,3.3,20,0,22,11.7462839531445
2,3.3,20,0,23,12.3446540999197
2,3.3,20,0,24,12.8393915401369
2,3.3,20,0,25,13.2399811299169
2,3.3,20,0,26,13.5539300111981
2,3.3,20,0,27,13.7872525408246
2,3.3,20,0,28,13.9448070223305
2,3.3,20,0,29,14.0305341734917
2,3.3,20,0,30,14.0476283320188
2,3.3,20,0,31,13.9986611674135
2,3.3,20,0,32,13.885670756474
2,3.3,20,0,33,13.7102244777324
2,3.3,20,0,34,13.4734612697076
2,3.3,20,0,35,13.1761167880005
2,3.3,20,0,36,12.8185335289864
2,3.3,20,0,37,12.400656836146
2,3.3,20,0,38,11.9220167165495
2,3.3,20,0,39,11.3816944609955
2,3.3,20,0,40,10.7782721021253
2,3.3,20,0,41,10.1097617101681
2,3.3,20,0,42,9.373510418781
2,3.3,20,0,43,8.56607602319571
2,3.3,20,0,44,7.68306744577347
2,3.3,20,0,45,6.71894556129142
2,3.3,20,0,46,5.66678606114494
2,3.3,20,0,47,4.51802557252987
2,3.3,20,0,48,3.26226679952246
2,3.3,20,0,49,1.88736498998005
2,3.3,20,0,50,0.3804083751463
2,3.3,20,0,51,-1.26875880723403
2,3.3,20,0,52,-3.05715602551164
2,3.3,20,0,53,-4.94115888316786
2,3.3,20,0,54,-6.77524463475591
2,3.3,20,0,55,-8.23379810360073
2,3.3,20,0,56,-8.89921115541121
2,3.3,20,0,57,-8.67304839205613
2,3.3,20,0,58,-7.90473963015488
2,3.3,20,0,59,-6.98247403845799
2,3.3,20,0,60,-6.11108594566483
2,3.3,20,0,61,-5.36134182970047
2,3.3,20,0,62,-4.74495156705049
2,3.3,20,0,63,-4.25291748961829
2,3.3,20,0,64,-3.87072507167882
2,3.3,20,0,65,-3.58371378938651
2,3.3,20,0,66,-3.37872715401336
2,3.3,20,0,67,-3.24442506646942
2,3.3,20,0,68,-3.17115091046937
2,3.3,20,0,69,-3.15068077807817
2,3.3,20,0,70,-3.17596996105631
2,3.3,20,0,71,-3.24093239521465
2,3.3,20,0,72,-3.34025968348261
2,3.3,20,0,73,-3.46927648361086
2,3.3,20,0,74,-3.62382645950441
2,3.3,20,0,75,-3.80018301335841
2,3.3,20,0,76,-3.99497983941368
2,3.3,20,0,77,-4.20515729314919
2,3.3,20,0,78,-4.42792142013941
2,3.3,20,0,79,-4.66071317709944
2,3.3,20,0,80,-4.90118590749031
