Phi[deg],Theta[deg],dB(GainTotal)
-180,-180,-6.13952
-179,-180,-6.13952
-178,-180,-6.13952
-177,-180,-6.13952
-176,-180,-6.13952
-175,-180,-6.13952
-174,-180,-6.13952
-173,-180,-6.13952
-172,-180,-6.13952
-171,-180,-6.13952
-170,-180,-6.13952
-169,-180,-6.13952
-168,-180,-6.13952
-167,-180,-6.13952
-166,-180,-6.13952
-165,-180,-6.13952
-164,-180,-6.13952
-163,-180,-6.13952
-162,-180,-6.13952
-161,-180,-6.13952
-160,-180,-6.13952
-159,-180,-6.13952
-158,-180,-6.13952
-157,-180,-6.13952
-156,-180,-6.13952
-155,-180,-6.13952
-154,-180,-6.13952
-153,-180,-6.13952
-152,-180,-6.13952
-151,-180,-6.13952
-150,-180,-6.13952
-149,-180,-6.13952
-148,-180,-6.13952
-147,-180,-6.13952
-146,-180,-6.13952
-145,-180,-6.13952
-144,-180,-6.13952
-143,-180,-6.13952
-142,-180,-6.13952
-141,-180,-6.13952
-140,-180,-6.13952
-139,-180,-6.13952
-138,-180,-6.13952
-137,-180,-6.13952
-136,-180,-6.13952
-135,-180,-6.13952
-134,-180,-6.13952
-133,-180,-6.13952
-132,-180,-6.13952
-131,-180,-6.13952
-130,-180,-6.13952
-129,-180,-6.13952
-128,-180,-6.13952
-127,-180,-6.13952
-126,-180,-6.13952
-125,-180,-6.13952
-124,-180,-6.13952
-123,-180,-6.13952
-122,-180,-6.13952
-121,-180,-6.13952
-120,-180,-6.13952
-119,-180,-6.13952
-118,-180,-6.13952
-117,-180,-6.13952
-116,-180,-6.13952
-115,-180,-6.13952
-114,-180,-6.13952
-113,-180,-6.13952
-112,-180,-6.13952
-111,-180,-6.13952
-110,-180,-6.13952
-109,-180,-6.13952
-108,-180,-6.13952
-107,-180,-6.13952
-106,-180,-6.13952
-105,-180,-6.13952
-104,-180,-6.13952
-103,-180,-6.13952
-102,-180,-6.13952
-101,-180,-6.13952
-100,-180,-6.13952
-99,-180,-6.13952
-98,-180,-6.13952
-97,-180,-6.13952
-96,-180,-6.13952
-95,-180,-6.13952
-94,-180,-6.13952
-93,-180,-6.13952
-92,-180,-6.13952
-91,-180,-6.13952
-90,-180,-6.13952
-89,-180,-6.13952
-88,-180,-6.13952
-87,-180,-6.13952
-86,-180,-6.13952
-85,-180,-6.13952
-84,-180,-6.13952
-83,-180,-6.13952
-82,-180,-6.13952
-81,-180,-6.13952
-80,-180,-6.13952
-79,-180,-6.13952
-78,-180,-6.13952
-77,-180,-6.13952
-76,-180,-6.13952
-75,-180,-6.13952
-74,-180,-6.13952
-73,-180,-6.13952
-72,-180,-6.13952
-71,-180,-6.13952
-70,-180,-6.13952
-69,-180,-6.13952
-68,-180,-6.13952
-67,-180,-6.13952
-66,-180,-6.13952
-65,-180,-6.13952
-64,-180,-6.13952
-63,-180,-6.13952
-62,-180,-6.13952
-61,-180,-6.13952
-60,-180,-6.13952
-59,-180,-6.13952
-58,-180,-6.13952
-57,-180,-6.13952
-56,-180,-6.13952
-55,-180,-6.13952
-54,-180,-6.13952
-53,-180,-6.13952
-52,-180,-6.13952
-51,-180,-6.13952
-50,-180,-6.13952
-49,-180,-6.13952
-48,-180,-6.13952
-47,-180,-6.13952
-46,-180,-6.13952
-45,-180,-6.13952
-44,-180,-6.13952
-43,-180,-6.13952
-42,-180,-6.13952
-41,-180,-6.13952
-40,-180,-6.13952
-39,-180,-6.13952
-38,-180,-6.13952
-37,-180,-6.13952
-36,-180,-6.13952
-35,-180,-6.13952
-34,-180,-6.13952
-33,-180,-6.13952
-32,-180,-6.13952
-31,-180,-6.13952
-30,-180,-6.13952
-29,-180,-6.13952
-28,-180,-6.13952
-27,-180,-6.13952
-26,-180,-6.13952
-25,-180,-6.13952
-24,-180,-6.13952
-23,-180,-6.13952
-22,-180,-6.13952
-21,-180,-6.13952
-20,-180,-6.13952
-19,-180,-6.13952
-18,-180,-6.13952
-17,-180,-6.13952
-16,-180,-6.13952
-15,-180,-6.13952
-14,-180,-6.13952
-13,-180,-6.13952
-12,-180,-6.13952
-11,-180,-6.13952
-10,-180,-6.13952
-9,-180,-6.13952
-8,-180,-6.13952
-7,-180,-6.13952
-6,-180,-6.13952
-5,-180,-6.13952
-4,-180,-6.13952
-3,-180,-6.13952
-2,-180,-6.13952
-1,-180,-6.13952
0,-180,-6.13952
1,-180,-6.13952
2,-180,-6.13952
3,-180,-6.13952
4,-180,-6.13952
5,-180,-6.13952
6,-180,-6.13952
7,-180,-6.13952
8,-180,-6.13952
9,-180,-6.13952
10,-180,-6.13952
11,-180,-6.13952
12,-180,-6.13952
13,-180,-6.13952
14,-180,-6.13952
15,-180,-6.13952
16,-180,-6.13952
17,-180,-6.13952
18,-180,-6.13952
19,-180,-6.13952
20,-180,-6.13952
21,-180,-6.13952
22,-180,-6.13952
23,-180,-6.13952
24,-180,-6.13952
25,-180,-6.13952
26,-180,-6.13952
27,-180,-6.13952
28,-180,-6.13952
29,-180,-6.13952
30,-180,-6.13952
31,-180,-6.13952
32,-180,-6.13952
33,-180,-6.13952
34,-180,-6.13952
35,-180,-6.13952
36,-180,-6.13952
37,-180,-6.13952
38,-180,-6.13952
39,-180,-6.13952
40,-180,-6.13952
41,-180,-6.13952
42,-180,-6.13952
43,-180,-6.13952
44,-180,-6.13952
45,-180,-6.13952
46,-180,-6.13952
47,-180,-6.13952
48,-180,-6.13952
49,-180,-6.13952
50,-180,-6.13952
51,-180,-6.13952
52,-180,-6.13952
53,-180,-6.13952
54,-180,-6.13952
55,-180,-6.13952
56,-180,-6.13952
57,-180,-6.13952
58,-180,-6.13952
59,-180,-6.13952
60,-180,-6.13952
61,-180,-6.13952
62,-180,-6.13952
63,-180,-6.13952
64,-180,-6.13952
65,-180,-6.13952
66,-180,-6.13952
67,-180,-6.13952
68,-180,-6.13952
69,-180,-6.13952
70,-180,-6.13952
71,-180,-6.13952
72,-180,-6.13952
73,-180,-6.13952
74,-180,-6.13952
75,-180,-6.13952
76,-180,-6.13952
77,-180,-6.13952
78,-180,-6.13952
79,-180,-6.13952
80,-180,-6.13952
81,-180,-6.13952
82,-180,-6.13952
83,-180,-6.13952
84,-180,-6.13952
85,-180,-6.13952
86,-180,-6.13952
87,-180,-6.13952
88,-180,-6.13952
89,-180,-6.13952
90,-180,-6.13952
91,-180,-6.13952
92,-180,-6.13952
93,-180,-6.13952
94,-180,-6.13952
95,-180,-6.13952
96,-180,-6.13952
97,-180,-6.13952
98,-180,-6.13952
99,-180,-6.13952
100,-180,-6.13952
101,-180,-6.13952
102,-180,-6.13952
103,-180,-6.13952
104,-180,-6.13952
105,-180,-6.13952
106,-180,-6.13952
107,-180,-6.13952
108,-180,-6.13952
109,-180,-6.13952
110,-180,-6.13952
111,-180,-6.13952
112,-180,-6.13952
113,-180,-6.13952
114,-180,-6.13952
115,-180,-6.13952
116,-180,-6.13952
117,-180,-6.13952
118,-180,-6.13952
119,-180,-6.13952
120,-180,-6.13952
121,-180,-6.13952
122,-180,-6.13952
123,-180,-6.13952
124,-180,-6.13952
125,-180,-6.13952
126,-180,-6.13952
127,-180,-6.13952
128,-180,-6.13952
129,-180,-6.13952
130,-180,-6.13952
131,-180,-6.13952
132,-180,-6.13952
133,-180,-6.13952
134,-180,-6.13952
135,-180,-6.13952
136,-180,-6.13952
137,-180,-6.13952
138,-180,-6.13952
139,-180,-6.13952
140,-180,-6.13952
141,-180,-6.13952
142,-180,-6.13952
143,-180,-6.13952
144,-180,-6.13952
145,-180,-6.13952
146,-180,-6.13952
147,-180,-6.13952
148,-180,-6.13952
149,-180,-6.13952
150,-180,-6.13952
151,-180,-6.13952
152,-180,-6.13952
153,-180,-6.13952
154,-180,-6.13952
155,-180,-6.13952
156,-180,-6.13952
157,-180,-6.13952
158,-180,-6.13952
159,-180,-6.13952
160,-180,-6.13952
161,-180,-6.13952
162,-180,-6.13952
163,-180,-6.13952
164,-180,-6.13952
165,-180,-6.13952
166,-180,-6.13952
167,-180,-6.13952
168,-180,-6.13952
169,-180,-6.13952
170,-180,-6.13952
171,-180,-6.13952
172,-180,-6.13952
173,-180,-6.13952
174,-180,-6.13952
175,-180,-6.13952
176,-180,-6.13952
177,-180,-6.13952
178,-180,-6.13952
179,-180,-6.13952
180,-180,-6.13952
-180,-179,-6.15014
-179,-179,-6.15431
-178,-179,-6.15849
-177,-179,-6.16266
-176,-179,-6.16682
-175,-179,-6.17099
-174,-179,-6.17515
-173,-179,-6.1793
-172,-179,-6.18345
-171,-179,-6.18759
-170,-179,-6.19172
-169,-179,-6.19584
-168,-179,-6.19995
-167,-179,-6.20404
-166,-179,-6.20812
-165,-179,-6.21218
-164,-179,-6.21623
-163,-179,-6.22026
-162,-179,-6.22426
-161,-179,-6.22825
-160,-179,-6.23221
-159,-179,-6.23615
-158,-179,-6.24007
-157,-179,-6.24395
-156,-179,-6.24782
-155,-179,-6.25165
-154,-179,-6.25545
-153,-179,-6.25922
-152,-179,-6.26296
-151,-179,-6.26666
-150,-179,-6.27033
-149,-179,-6.27396
-148,-179,-6.27756
-147,-179,-6.28112
-146,-179,-6.28463
-145,-179,-6.28811
-144,-179,-6.29154
-143,-179,-6.29493
-142,-179,-6.29828
-141,-179,-6.30157
-140,-179,-6.30483
-139,-179,-6.30803
-138,-179,-6.31119
-137,-179,-6.31429
-136,-179,-6.31735
-135,-179,-6.32035
-134,-179,-6.32329
