Phi[deg],Theta[deg],dB(GainTotal)
-180,-180,-11.273
-179,-180,-11.273
-178,-180,-11.273
-177,-180,-11.273
-176,-180,-11.273
-175,-180,-11.273
-174,-180,-11.273
-173,-180,-11.273
-172,-180,-11.273
-171,-180,-11.273
-170,-180,-11.273
-169,-180,-11.273
-168,-180,-11.273
-167,-180,-11.273
-166,-180,-11.273
-165,-180,-11.273
-164,-180,-11.273
-163,-180,-11.273
-162,-180,-11.273
-161,-180,-11.273
-160,-180,-11.273
-159,-180,-11.273
-158,-180,-11.273
-157,-180,-11.273
-156,-180,-11.273
-155,-180,-11.273
-154,-180,-11.273
-153,-180,-11.273
-152,-180,-11.273
-151,-180,-11.273
-150,-180,-11.273
-149,-180,-11.273
-148,-180,-11.273
-147,-180,-11.273
-146,-180,-11.273
-145,-180,-11.273
-144,-180,-11.273
-143,-180,-11.273
-142,-180,-11.273
-141,-180,-11.273
-140,-180,-11.273
-139,-180,-11.273
-138,-180,-11.273
-137,-180,-11.273
-136,-180,-11.273
-135,-180,-11.273
-134,-180,-11.273
-133,-180,-11.273
-132,-180,-11.273
-131,-180,-11.273
-130,-180,-11.273
-129,-180,-11.273
-128,-180,-11.273
-127,-180,-11.273
-126,-180,-11.273
-125,-180,-11.273
-124,-180,-11.273
-123,-180,-11.273
-122,-180,-11.273
-121,-180,-11.273
-120,-180,-11.273
-119,-180,-11.273
-118,-180,-11.273
-117,-180,-11.273
-116,-180,-11.273
-115,-180,-11.273
-114,-180,-11.273
-113,-180,-11.273
-112,-180,-11.273
-111,-180,-11.273
-110,-180,-11.273
-109,-180,-11.273
-108,-180,-11.273
-107,-180,-11.273
-106,-180,-11.273
-105,-180,-11.273
-104,-180,-11.273
-103,-180,-11.273
-102,-180,-11.273
-101,-180,-11.273
-100,-180,-11.273
-99,-180,-11.273
-98,-180,-11.273
-97,-180,-11.273
-96,-180,-11.273
-95,-180,-11.273
-94,-180,-11.273
-93,-180,-11.273
-92,-180,-11.273
-91,-180,-11.273
-90,-180,-11.273
-89,-180,-11.273
-88,-180,-11.273
-87,-180,-11.273
-86,-180,-11.273
-85,-180,-11.273
-84,-180,-11.273
-83,-180,-11.273
-82,-180,-11.273
-81,-180,-11.273
-80,-180,-11.273
-79,-180,-11.273
-78,-180,-11.273
-77,-180,-11.273
-76,-180,-11.273
-75,-180,-11.273
-74,-180,-11.273
-73,-180,-11.273
-72,-180,-11.273
-71,-180,-11.273
-70,-180,-11.273
-69,-180,-11.273
-68,-180,-11.273
-67,-180,-11.273
-66,-180,-11.273
-65,-180,-11.273
-64,-180,-11.273
-63,-180,-11.273
-62,-180,-11.273
-61,-180,-11.273
-60,-180,-11.273
-59,-180,-11.273
-58,-180,-11.273
-57,-180,-11.273
-56,-180,-11.273
-55,-180,-11.273
-54,-180,-11.273
-53,-180,-11.273
-52,-180,-11.273
-51,-180,-11.273
-50,-180,-11.273
-49,-180,-11.273
-48,-180,-11.273
-47,-180,-11.273
-46,-180,-11.273
-45,-180,-11.273
-44,-180,-11.273
-43,-180,-11.273
-42,-180,-11.273
-41,-180,-11.273
-40,-180,-11.273
-39,-180,-11.273
-38,-180,-11.273
-37,-180,-11.273
-36,-180,-11.273
-35,-180,-11.273
-34,-180,-11.273
-33,-180,-11.273
-32,-180,-11.273
-31,-180,-11.273
-30,-180,-11.273
-29,-180,-11.273
-28,-180,-11.273
-27,-180,-11.273
-26,-180,-11.273
-25,-180,-11.273
-24,-180,-11.273
-23,-180,-11.273
-22,-180,-11.273
-21,-180,-11.273
-20,-180,-11.273
-19,-180,-11.273
-18,-180,-11.273
-17,-180,-11.273
-16,-180,-11.273
-15,-180,-11.273
-14,-180,-11.273
-13,-180,-11.273
-12,-180,-11.273
-11,-180,-11.273
-10,-180,-11.273
-9,-180,-11.273
-8,-180,-11.273
-7,-180,-11.273
-6,-180,-11.273
-5,-180,-11.273
-4,-180,-11.273
-3,-180,-11.273
-2,-180,-11.273
-1,-180,-11.273
0,-180,-11.273
1,-180,-11.273
2,-180,-11.273
3,-180,-11.273
4,-180,-11.273
5,-180,-11.273
6,-180,-11.273
7,-180,-11.273
8,-180,-11.273
9,-180,-11.273
10,-180,-11.273
11,-180,-11.273
12,-180,-11.273
13,-180,-11.273
14,-180,-11.273
15,-180,-11.273
16,-180,-11.273
17,-180,-11.273
18,-180,-11.273
19,-180,-11.273
20,-180,-11.273
21,-180,-11.273
22,-180,-11.273
23,-180,-11.273
24,-180,-11.273
25,-180,-11.273
26,-180,-11.273
27,-180,-11.273
28,-180,-11.273
29,-180,-11.273
30,-180,-11.273
31,-180,-11.273
32,-180,-11.273
33,-180,-11.273
34,-180,-11.273
35,-180,-11.273
36,-180,-11.273
37,-180,-11.273
38,-180,-11.273
39,-180,-11.273
40,-180,-11.273
41,-180,-11.273
42,-180,-11.273
43,-180,-11.273
44,-180,-11.273
45,-180,-11.273
46,-180,-11.273
47,-180,-11.273
48,-180,-11.273
49,-180,-11.273
50,-180,-11.273
51,-180,-11.273
52,-180,-11.273
53,-180,-11.273
54,-180,-11.273
55,-180,-11.273
56,-180,-11.273
57,-180,-11.273
58,-180,-11.273
59,-180,-11.273
60,-180,-11.273
61,-180,-11.273
62,-180,-11.273
63,-180,-11.273
