"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,45,-4,-18.5196036144475
3.8,45,-3,-22.5902545501129
3.8,45,-2,-28.1015126032629
3.8,45,-1,-30.6072864373244
3.8,45,0,-26.6036777592832
3.8,45,1,-22.9057228535259
3.8,45,2,-19.6343187181844
3.8,45,3,-16.4969375662476
3.8,45,4,-13.5760265220312
3.8,45,5,-10.9877088410563
3.8,45,6,-8.77559480307349
3.8,45,7,-6.93550237174107
3.8,45,8,-5.44653034423184
3.8,45,9,-4.28666554160686
3.8,45,10,-3.43885330231402
3.8,45,11,-2.89311783830307
3.8,45,12,-2.64748466570248
3.8,45,13,-2.70895337598688
3.8,45,14,-3.0952338336012
3.8,45,15,-3.83796530240643
3.8,45,16,-4.98860082090955
3.8,45,17,-6.62934885363067
3.8,45,18,-8.89449360135161
3.8,45,19,-12.0144403287117
3.8,45,20,-16.4042277804593
3.8,45,21,-22.613164418304
3.8,45,22,-27.03405380006
3.8,45,23,-24.5150525917255
3.8,45,24,-20.8290759752273
3.8,45,25,-15.3368841074133
3.8,45,26,-9.91831385436504
3.8,45,27,-5.39703261138361
3.8,45,28,-1.67625648208478
3.8,45,29,1.43038503642114
3.8,45,30,4.06482242661299
3.8,45,31,6.32629748240013
3.8,45,32,8.28476843599583
3.8,45,33,9.99087568252238
3.8,45,34,11.4823443156187
3.8,45,35,12.7880436781562
3.8,45,36,13.9306068698816
3.8,45,37,14.9281643427477
3.8,45,38,15.795521633326
3.8,45,39,16.5449795780569
3.8,45,40,17.1869187194738
3.8,45,41,17.7302244092055
3.8,45,42,18.1826018781791
3.8,45,43,18.5508137455515
3.8,45,44,18.840861832087
3.8,45,45,19.0581282972058
3.8,45,46,19.2074866060581
3.8,45,47,19.2933898000175
3.8,45,48,19.3199414685925
3.8,45,49,19.2909533766723
3.8,45,50,19.2099926804568
3.8,45,51,19.0804209335853
3.8,45,52,18.9054265529378
3.8,45,53,18.6880520217007
3.8,45,54,18.4312168149864
3.8,45,55,18.1377368125681
3.8,45,56,17.8103407945734
3.8,45,57,17.4516844854372
3.8,45,58,17.0643625091784
3.8,45,59,16.6509185380339
3.8,45,60,16.2138538515318
3.8,45,61,15.7556344705086
3.8,45,62,15.278696987717
3.8,45,63,14.7854531816625
3.8,45,64,14.278293471869
3.8,45,65,13.7595892510877
3.8,45,66,13.2316941125664
3.8,45,67,12.696943978165
3.8,45,68,12.1576561258215
3.8,45,69,11.6161271126895
3.8,45,70,11.0746295932793
3.8,45,71,10.535408040149
3.8,45,72,10.0006733879772
3.8,45,73,9.47259663985182
3.8,45,74,8.95330149668792
3.8,45,75,8.44485609587801
3.8,45,76,7.94926397228743
3.8,45,77,7.46845438196839
3.8,45,78,7.00427215469303
3.8,45,79,6.55846726375199
3.8,45,80,6.13268431866206
3.8,45,81,5.72845219696617
3.8,45,82,5.34717403410682
3.8,45,83,4.99011778487115
3.8,45,84,4.65840755622865
3.8,45,85,4.35301589020647
3.8,45,86,4.07475714800909
3.8,45,87,3.82428211451771
3.8,45,88,3.60207390743578
3.8,45,89,3.40844523953604
3.8,45,90,3.24353704740214
3.8,45,91,3.10731846715181
3.8,45,92,2.99958810792831
3.8,45,93,2.91997654813782
3.8,45,94,2.86794995785805
3.8,45,95,2.84281473365663
3.8,45,96,2.84372301917681
3.8,45,97,2.86967897610563
3.8,45,98,2.91954566530822
3.8,45,99,2.99205239672867
3.8,45,100,3.08580240881807
3.8,45,101,3.1992807434001
3.8,45,102,3.33086218960983
3.8,45,103,3.47881918035938
3.8,45,104,3.64132953615982
3.8,45,105,3.81648396349301
3.8,45,106,4.00229322771415
3.8,45,107,4.19669493315218
3.8,45,108,4.39755985521357
3.8,45,109,4.60269778054574
3.8,45,110,4.80986282146653
3.8,45,111,5.01675817982922
3.8,45,112,5.22104034331109
3.8,45,113,5.42032270394003
3.8,45,114,5.61217859475065
3.8,45,115,5.7941437461155
3.8,45,116,5.96371816890346
3.8,45,117,6.11836747761729
3.8,45,118,6.25552367353891
3.8,45,119,6.3725854162139
3.8,45,120,6.46691782196837
3.8,45,121,6.53585184130223
3.8,45,122,6.57668328382336
3.8,45,123,6.5866715809203
3.8,45,124,6.56303840386902
3.8,45,125,6.50296628999761
3.8,45,126,6.40359747354327
3.8,45,127,6.26203317267586
3.8,45,128,6.0753336514343
3.8,45,129,5.84051945602596
3.8,45,130,5.55457431862086
3.8,45,131,5.21445032504715
3.8,45,132,4.81707604688154
3.8,45,133,4.35936842521825
3.8,45,134,3.83824922942255
3.8,45,135,3.2506668418852
3.8,45,136,2.59362384596401
3.8,45,137,1.86421027660743
3.8,45,138,1.05964122920981
3.8,45,139,0.177295551545181
3.8,45,140,-0.785250716186925
3.8,45,141,-1.83020683440044
3.8,45,142,-2.95958198980424
3.8,45,143,-4.1752541326089
3.8,45,144,-5.47911932713923
3.8,45,145,-6.87334685433992
3.8,45,146,-8.36075395373604
3.8,45,147,-9.94528781181139
3.8,45,148,-11.6325608545883
3.8,45,149,-13.4303386265103
3.8,45,150,-15.3488554014052
3.8,45,151,-17.4008867880971
3.8,45,152,-19.6017422220962
3.8,45,153,-21.9699184552645
3.8,45,154,-24.5301968296496
3.8,45,155,-27.3216137079626
3.8,45,156,-30.405944711471
3.8,45,157,-33.8140104512559
3.8,45,158,-37.03478241443
3.8,45,159,-37.7935880477132
3.8,45,160,-35.6392221941349
3.8,45,161,-33.118922209542
3.8,45,162,-31.087255050781
3.8,45,163,-29.5625088393463
3.8,45,164,-28.4568107445483
3.8,45,165,-27.6861625411834
3.8,45,166,-27.1743621683083
3.8,45,167,-26.847765374963
3.8,45,168,-26.6361253605076
3.8,45,169,-26.4824464617681
3.8,45,170,-26.3581192393337
3.8,45,171,-26.2729379087844
3.8,45,172,-26.2714995788551
3.8,45,173,-26.4191467627329
3.8,45,174,-26.7884448730505
3.8,45,175,-27.4538062892726
3.8,45,176,-28.4953508416441
3.8,45,177,-30.0112462304243
3.8,45,178,-32.1409610164572
3.8,45,179,-35.1071247848766
3.8,45,180,-39.2549738969354
