"$Ha [mm]","$La [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,18,4.87,-5.70218102950597
2,18,4.88,-5.63976243924783
2,18,4.89,-5.57761329444479
2,18,4.9,-5.51575606990549
2,18,4.91,-5.454212858545
2,18,4.92,-5.39300538875532
2,18,4.93,-5.3321550129246
2,18,4.94,-5.27168266397969
2,18,4.95,-5.21160877725364
2,18,4.96,-5.15195317560788
2,18,4.97,-5.09273491659572
2,18,4.98,-5.03397210155869
2,18,4.99,-4.97568164790566
2,18,5,-4.91787902742937
2,21,2.5,-1.89936228945945
2,21,2.51,-1.95277134467477
2,21,2.52,-2.00808920083977
2,21,2.53,-2.06540655013294
2,21,2.54,-2.12481465174346
2,21,2.55,-2.18640482292133
2,21,2.56,-2.25026800150761
2,21,2.57,-2.31649439813491
2,21,2.58,-2.38517324997
2,21,2.59,-2.45639268014063
2,21,2.6,-2.53023965852952
2,21,2.61,-2.60680005123558
2,21,2.62,-2.68615873851355
2,21,2.63,-2.76839977512982
2,21,2.64,-2.85360656334571
2,21,2.65,-2.94186200744279
2,21,2.66,-3.03324861985425
2,21,2.67,-3.12784855233796
2,21,2.68,-3.22574353080861
2,21,2.69,-3.32701467890935
2,21,2.7,-3.43174222257116
2,21,2.71,-3.54000507511191
2,21,2.72,-3.65188030934545
2,21,2.73,-3.76744252924569
2,21,2.74,-3.88676315855177
2,21,2.75,-4.0099096669844
2,21,2.76,-4.13694475621242
2,21,2.77,-4.26792552718073
2,21,2.78,-4.4029026478047
2,21,2.79,-4.54191953539698
2,21,2.8,-4.68501156173699
2,21,2.81,-4.83220528082602
2,21,2.82,-4.98351767069646
2,21,2.83,-5.13895537193289
2,21,2.84,-5.2985138976776
2,21,2.85,-5.46217678366452
2,21,2.86,-5.62991464290732
2,21,2.87,-5.8016840883753
2,21,2.88,-5.97742648818763
2,21,2.89,-6.15706652093503
2,21,2.9,-6.34051050272601
2,21,2.91,-6.52764446140515
2,21,2.92,-6.71833193638794
2,21,2.93,-6.9124114847849
2,21,2.94,-7.1096938771754
2,21,2.95,-7.30995897200348
2,21,2.96,-7.51295226945721
2,21,2.97,-7.718381167355
2,21,2.98,-7.92591097553342
2,21,2.99,-8.13516079188247
2,21,3,-8.34569939957386
2,21,3.01,-8.55704140401853
2,21,3.02,-8.76864387749361
2,21,3.03,-8.97990380097737
2,21,3.04,-9.19015655992479
2,21,3.05,-9.39867562206389
2,21,3.06,-9.6046732260884
2,21,3.07,-9.8073012789786
2,21,3.08,-10.0056502862443
2,21,3.09,-10.198740827465
2,21,3.1,-10.3854928431594
2,21,3.11,-10.5646270258402
2,21,3.12,-10.7343209056098
2,21,3.13,-10.8906381379068
2,21,3.14,-11.0138140752183
2,21,3.15,-11.3452333331607
2,21,3.16,-11.3861829471459
2,21,3.17,-11.4956036930691
2,21,3.18,-11.6018612571126
2,21,3.19,-11.6984674770847
2,21,3.2,-11.7836146791136
2,21,3.21,-11.8565636856627
2,21,3.22,-11.9169932287184
2,21,3.23,-11.9648167528888
2,21,3.24,-12.0001118602172
2,21,3.25,-12.0230831959672
2,21,3.26,-12.0340368046538
2,21,3.27,-12.033360138183
2,21,3.28,-12.0215074548257
2,21,3.29,-11.9989920119504
2,21,3.3,-11.966385953053
2,21,3.31,-11.924326869655
2,21,3.32,-11.8735275185036
2,21,3.33,-11.8147831850882
2,21,3.34,-11.7489707543005
2,21,3.35,-11.6770351964546
2,21,3.36,-11.5999625489291
2,21,3.37,-11.518742430171
2,21,3.38,-11.4343262523033
2,21,3.39,-11.347588569275
2,21,3.4,-11.2592981594534
2,21,3.41,-11.1701029988647
2,21,3.42,-11.0805301463601
2,21,3.43,-10.9909986508339
2,21,3.44,-10.9018415489013
2,21,3.45,-10.8133321132304
2,21,3.46,-10.7257096139634
2,21,3.47,-10.639200532942
2,21,3.48,-10.5540318782819
2,21,3.49,-10.470433688711
2,21,3.5,-10.3886282972488
2,21,3.51,-10.3088053316425
2,21,3.52,-10.231084576994
2,21,3.53,-10.1554734110858
2,21,3.54,-10.0818296212029
2,21,3.55,-10.0098413813958
2,21,3.56,-9.93903282366173
2,21,3.57,-9.86879834212319
2,21,3.58,-9.79846780977575
2,21,3.59,-9.7274155761008
2,21,3.6,-9.65524784738568
2,21,3.61,-9.58210829805555
2,21,3.62,-9.50906010414925
2,21,3.63,-9.43828136501252
2,21,3.64,-9.37262171801617
2,21,3.65,-9.31438358408232
2,21,3.66,-9.26412350341373
2,21,3.67,-9.22062730583529
2,21,3.68,-9.18197888493776
2,21,3.69,-9.14656120549835
2,21,3.7,-9.11338713006529
2,21,3.71,-9.08198866181369
2,21,3.72,-9.05220818459309
2,21,3.73,-9.02403910943249
2,21,3.74,-8.99753275247248
2,21,3.75,-8.97275099409024
2,21,3.76,-8.9497446574147
2,21,3.77,-8.92854498642205
2,21,3.78,-8.90916145467506
2,21,3.79,-8.89158256828777
2,21,3.8,-8.87577812228214
2,21,3.81,-8.86170225194092
2,21,3.82,-8.84929702879603
2,21,3.83,-8.83849651472473
2,21,3.84,-8.82923121889963
2,21,3.85,-8.82143285213035
2,21,3.86,-8.81503916471561
2,21,3.87,-8.80999850145343
2,21,3.88,-8.80627352806568
2,21,3.89,-8.80384340630846
2,21,3.9,-8.80270356948223
2,21,3.91,-8.80286224934128
2,21,3.92,-8.80433312590948
2,21,3.93,-8.80712401909709
2,21,3.94,-8.81122249510147
2,21,3.95,-8.81658060783919
2,21,3.96,-8.82310252435518
2,21,3.97,-8.83063996381129
2,21,3.98,-8.83900032131453
2,21,3.99,-8.84797001817377
2,21,4,-8.85735053546748
2,21,4.01,-8.86699787544296
2,21,4.02,-8.87685118744791
2,21,4.03,-8.88693726208888
2,21,4.04,-8.89734631653464
2,21,4.05,-8.90818728065126
2,21,4.06,-8.9195399723864
2,21,4.07,-8.93142140580957
2,21,4.08,-8.9437749877513
2,21,4.09,-8.956480761649
2,21,4.1,-8.96937807099023
2,21,4.11,-8.98229087220689
2,21,4.12,-8.9950486644078
2,21,4.13,-9.00749985578705
2,21,4.14,-9.01951747663824
2,21,4.15,-9.03099886869898
2,21,4.16,-9.04186152732977
2,21,4.17,-9.05203710426151
2,21,4.18,-9.06146509952067
2,21,4.19,-9.07008723959551
2,21,4.2,-9.07784308143036
2,21,4.21,-9.08466703987012
2,21,4.22,-9.09048680692282
2,21,4.23,-9.09522299405165
2,21,4.24,-9.0987897594381
2,21,4.25,-9.10109615932231
2,21,4.26,-9.1020479694794
2,21,4.27,-9.10154974775973
2,21,4.28,-9.09950694342382
2,21,4.29,-9.09582789854322
2,21,4.3,-9.09042562759592
2,21,4.31,-9.08321930113213
2,21,4.32,-9.07413539609627
2,21,4.33,-9.06310850742311
2,21,4.34,-9.05008184152299
2,21,4.35,-9.03500743129591
2,21,4.36,-9.01784612399741
2,21,4.37,-8.99856739791433
2,21,4.38,-8.97714906232516
2,21,4.39,-8.953576889038
2,21,4.4,-8.9278442146016
2,21,4.41,-8.89995154176018
2,21,4.42,-8.86990615833878
2,21,4.43,-8.83772178260559
2,21,4.44,-8.8034182369287
2,21,4.45,-8.76702114648699
2,21,4.46,-8.72856165683233
2,21,4.47,-8.68807616292803
2,21,4.48,-8.64560604248001
2,21,4.49,-8.60119738747332
2,21,4.5,-8.55490072940569
2,21,4.51,-8.50677075542107
2,21,4.52,-8.45686601413411
2,21,4.53,-8.40524861123524
2,21,4.54,-8.35198389589398
2,21,4.55,-8.29714013952048
2,21,4.56,-8.24078820863909
2,21,4.57,-8.18300123354509
2,21,4.58,-8.12385427414889
2,21,4.59,-8.06342398406067
2,21,4.6,-8.00178827362766
2,21,4.61,-7.93902597238743
2,21,4.62,-7.87521649130195
2,21,4.63,-7.81043948521977
2,21,4.64,-7.74477451627973
2,21,4.65,-7.67830071939101
2,21,4.66,-7.61109647145079
2,21,4.67,-7.54323906652583
2,21,4.68,-7.47480439975602
2,21,4.69,-7.40586666316824
2,21,4.7,-7.33649805686496
2,21,4.71,-7.26676851914043
2,21,4.72,-7.19674547896848
2,21,4.73,-7.12649363401458
2,21,4.74,-7.05607475688252
2,21,4.75,-6.98554753175841
2,21,4.76,-6.91496742301372
2,21,4.77,-6.84438657672135
2,21,4.78,-6.77385375546719
2,21,4.79,-6.70341430633283
2,21,4.8,-6.63311016149795
2,21,4.81,-6.56297987056634
2,21,4.82,-6.49305866344565
2,21,4.83,-6.42337854238856
2,21,4.84,-6.35396840160253
2,21,4.85,-6.28485417262531
2,21,4.86,-6.21605899340601
2,21,4.87,-6.14760339868797
2,21,4.88,-6.07950552881731
2,21,4.89,-6.01178135345009
2,21,4.9,-5.94444490574117
2,21,4.91,-5.87750852139152
2,21,4.92,-5.81098307529639
2,21,4.93,-5.74487820631755
2,21,4.94,-5.67920251766282
2,21,4.95,-5.61396373614472
2,21,4.96,-5.5491688076736
2,21,4.97,-5.4848238979123
2,21,4.98,-5.42093425484217
2,21,4.99,-5.35750387216483
2,21,5,-5.29453486604593
2,24,2.5,-1.12301702625055
2,24,2.51,-1.16049106339568
2,24,2.52,-1.20059720440024
2,24,2.53,-1.24374171181002
2,24,2.54,-1.29043708356219
2,24,2.55,-1.34132974398086
2,24,2.56,-1.39723181126807
2,24,2.57,-1.45915465312339
2,24,2.58,-1.52833892929614
2,24,2.59,-1.60627090840434
2,24,2.6,-1.69466772218586
2,24,2.61,-1.79540558998826
2,24,2.62,-1.91035807134689
2,24,2.63,-2.04111350485382
2,24,2.64,-2.18856404638008
2,24,2.65,-2.35241475471703
2,24,2.66,-2.53074621726839
2,24,2.67,-2.71983902356431
2,24,2.68,-2.91445827148218
2,24,2.69,-3.10864359551226
2,24,2.7,-3.29680044404006
2,24,2.71,-3.47470520723469
2,24,2.72,-3.64007147728041
2,24,2.73,-3.7925570853347
2,24,2.74,-3.93334524474449
2,24,2.75,-4.06455110742895
2,24,2.76,-4.18866989206776
2,24,2.77,-4.30817694188852
2,24,2.78,-4.4252955719344
2,24,2.79,-4.54189798568058
2,24,2.8,-4.65949185561282
2,24,2.81,-4.77925238887595
2,24,2.82,-4.90207263121752
2,24,2.83,-5.02861630564794
2,24,2.84,-5.15936554904464
2,24,2.85,-5.29466075493
2,24,2.86,-5.43473228573223
2,24,2.87,-5.57972496577968
2,24,2.88,-5.7297166387136
2,24,2.89,-5.88473206214391
2,24,2.9,-6.04475323926446
2,24,2.91,-6.20972706628436
2,24,2.92,-6.37957095983517
2,24,2.93,-6.55417694192897
2,24,2.94,-6.73341450792315
2,24,2.95,-6.91713248480026
2,24,2.96,-7.1051599998891
2,24,2.97,-7.29730662040213
2,24,2.98,-7.49336168851332
2,24,2.99,-7.6930928622051
2,24,3,-7.89624387613539
2,24,3.01,-8.10253155683183
2,24,3.02,-8.3116421601099
2,24,3.03,-8.52322714305418
2,24,3.04,-8.7368985351792
2,24,3.05,-8.95222412996856
2,24,3.06,-9.16872277467704
2,24,3.07,-9.38586008803814
2,24,3.08,-9.6030449764007
2,24,3.09,-9.81962734202906
2,24,3.1,-10.0348973755298
2,24,3.11,-10.2480867905263
2,24,3.12,-10.4583722871508
2,24,3.13,-10.6648814192158
2,24,3.14,-10.8667008909108
