"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
4,28,4.89,-6.96130878754632
4,28,4.9,-6.88986601123891
4,28,4.91,-6.81979747578715
4,28,4.92,-6.75114493671986
4,28,4.93,-6.68393819775234
4,28,4.94,-6.6181949403976
4,28,4.95,-6.55392114032169
4,28,4.96,-6.4911119137887
4,28,4.97,-6.42975264334323
4,28,4.98,-6.36982025232827
4,28,4.99,-6.31128452510051
4,28,5,-6.25410939798172
6,28,2.5,-1.29707867810493
6,28,2.51,-1.34586700394361
6,28,2.52,-1.39585317520921
6,28,2.53,-1.4470189536896
6,28,2.54,-1.49934560598693
6,28,2.55,-1.55281427135935
6,28,2.56,-1.60740632551914
6,28,2.57,-1.66310373781258
6,28,2.58,-1.71988942095562
6,28,2.59,-1.77774757425586
6,28,2.6,-1.83666402285886
6,28,2.61,-1.89662655685595
6,28,2.62,-1.95762527493388
6,28,2.63,-2.01965293751349
6,28,2.64,-2.0827053339376
6,28,2.65,-2.14678166720348
6,28,2.66,-2.21188495803154
6,28,2.67,-2.2780224678188
6,28,2.68,-2.34520613739872
6,28,2.69,-2.41345303571406
6,28,2.7,-2.48278580972034
6,28,2.71,-2.5532331242869
6,28,2.72,-2.62483007873275
6,28,2.73,-2.69761858505984
6,28,2.74,-2.7716476920007
6,28,2.75,-2.84697383868604
6,28,2.76,-2.92366102200495
6,28,2.77,-3.00178086247099
6,28,2.78,-3.08141255448793
6,28,2.79,-3.16264268818829
6,28,2.8,-3.24556493137083
6,28,2.81,-3.33027956140054
6,28,2.82,-3.41689283820907
6,28,2.83,-3.50551621075405
6,28,2.84,-3.59626535051515
6,28,2.85,-3.6892590069175
6,28,2.86,-3.7846176810973
6,28,2.87,-3.88246211628738
6,28,2.88,-3.98291160541987
6,28,2.89,-4.08608211941181
6,28,2.9,-4.19208426307362
6,28,2.91,-4.30102106966581
6,28,2.92,-4.41298564978077
6,28,2.93,-4.52805871534301
6,28,2.94,-4.6463060049486
6,28,2.95,-4.76777564230652
6,28,2.96,-4.89249546496817
6,28,2.97,-5.02047036558745
6,28,2.98,-5.15167969239236
6,28,2.99,-5.28607475913941
6,28,3,-5.42357651737351
6,28,3.01,-5.56407344519695
6,28,3.02,-5.70741970689785
6,28,3.03,-5.85343363671422
6,28,3.04,-6.00189659779396
6,28,3.05,-6.15255226417848
6,28,3.06,-6.30510636952852
6,28,3.07,-6.45922696143233
6,28,3.08,-6.614545194519
6,28,3.09,-6.77065668915475
6,28,3.1,-6.92712347499708
6,28,3.11,-7.08347652976897
6,28,3.12,-7.23921891287947
6,28,3.13,-7.39382948061482
6,28,3.14,-7.54676715446694
