"$Ha [mm]","$La [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,18,3.72,-7.72712424151175
2,18,3.73,-7.79541811756743
2,18,3.74,-7.86400190751495
2,18,3.75,-7.93246109825302
2,18,3.76,-8.0003316688149
2,18,3.77,-8.06710358076165
2,18,3.78,-8.13222754506305
2,18,3.79,-8.19512548237317
2,18,3.8,-8.25520483958016
2,18,3.81,-8.31187656028565
2,18,3.82,-8.3645760533139
2,18,3.83,-8.41278601357219
2,18,3.84,-8.4560595033211
2,18,3.85,-8.49404139480442
2,18,3.86,-8.5264861967936
2,18,3.87,-8.55327049375424
2,18,3.88,-8.57439871512244
2,18,3.89,-8.59000165436209
2,18,3.9,-8.60032794864971
2,18,3.91,-8.60572946300047
2,18,3.92,-8.60664206907656
2,18,3.93,-8.60356359412292
2,18,3.94,-8.59703073290484
2,18,3.95,-8.58759651715787
2,18,3.96,-8.57580960675535
2,18,3.97,-8.56219628984715
2,18,3.98,-8.54724572027032
2,18,3.99,-8.53139861539145
2,18,4,-8.51503939712103
2,18,4.01,-8.49849157909185
2,18,4.02,-8.48201607465506
2,18,4.03,-8.46581201494357
2,18,4.04,-8.45001961789606
2,18,4.05,-8.4347246336398
2,18,4.06,-8.41996390485713
2,18,4.07,-8.40573161749278
2,18,4.08,-8.39198587096667
2,18,4.09,-8.378655260886
2,18,4.1,-8.36564523435264
2,18,4.11,-8.35284404266827
2,18,4.12,-8.34012817445237
2,18,4.13,-8.32736720147271
2,18,4.14,-8.31442800890297
2,18,4.15,-8.30117841148243
2,18,4.16,-8.28749017813812
2,18,4.17,-8.2732415014372
2,18,4.18,-8.25831895629495
2,18,4.19,-8.24261899613837
2,18,4.2,-8.2260490355038
2,18,4.21,-8.20852816688442
2,18,4.22,-8.18998755734718
2,18,4.23,-8.1703705675954
2,18,4.24,-8.14963263314931
2,18,4.25,-8.1277409443865
2,18,4.26,-8.10467395944356
2,18,4.27,-8.08042078145722
2,18,4.28,-8.05498042929873
2,18,4.29,-8.02836102877195
2,18,4.3,-8.00057894914161
2,18,4.31,-7.97165790776906
2,18,4.32,-7.94162806350797
2,18,4.33,-7.91052511731928
2,18,4.34,-7.8783894362881
2,18,4.35,-7.84526521487352
2,18,4.36,-7.8111996848175
2,18,4.37,-7.77624238272254
2,18,4.38,-7.74044448192521
2,18,4.39,-7.70385819299984
2,18,4.4,-7.66653623507582
2,18,4.41,-7.62853137819353
2,18,4.42,-7.58989605519851
2,18,4.43,-7.55068204021385
2,18,4.44,-7.51094018955386
2,18,4.45,-7.47072024005638
2,18,4.46,-7.43007065920879
2,18,4.47,-7.38903854110813
2,18,4.48,-7.34766954220126
2,18,4.49,-7.30600785086436
2,18,4.5,-7.26409618516321
2,18,4.51,-7.22197581354793
2,18,4.52,-7.17968659373661
2,18,4.53,-7.13726702559593
2,18,4.54,-7.09475431439789
2,18,4.55,-7.05218444139282
2,18,4.56,-7.0095922391659
2,18,4.57,-6.9670114697213
2,18,4.58,-6.92447490365349
2,18,4.59,-6.8820143991133
2,18,4.6,-6.83966097955698
2,18,4.61,-6.797444909482
2,18,4.62,-6.75539576751035
2,18,4.63,-6.71354251628621
2,18,4.64,-6.67191356871919
2,18,4.65,-6.63053685013636
2,18,4.66,-6.58943985591431
2,18,4.67,-6.54864970415586
2,18,4.68,-6.50819318295943
2,18,4.69,-6.4680967918102
2,18,4.7,-6.42838677660379
2,18,4.71,-6.38908915779783
2,18,4.72,-6.3502297511767
2,18,4.73,-6.31183418071015
2,18,4.74,-6.27392788298678
2,18,4.75,-6.23653610270813
2,18,4.76,-6.19968387873791
2,18,4.77,-6.16339602021153
2,18,4.78,-6.12769707222425
2,18,4.79,-6.09261127063048
2,18,4.8,-6.0581624855038
2,18,4.81,-6.02437415282584
2,18,4.82,-5.99126919399742
2,18,4.83,-5.95886992279702
2,18,4.84,-5.92719793945526
2,18,4.85,-5.896274011574
2,18,4.86,-5.86611794169981
2,18,4.87,-5.83674842147065
2,18,4.88,-5.80818287239745
2,18,4.89,-5.78043727352616
2,18,4.9,-5.75352597645577
2,18,4.91,-5.72746150846983
2,18,4.92,-5.70225436487567
2,18,4.93,-5.67791279203884
2,18,4.94,-5.65444256304654
2,18,4.95,-5.63184674842998
2,18,4.96,-5.61012548490741
2,18,4.97,-5.58927574566621
2,18,4.98,-5.56929111625986
2,18,4.99,-5.55016158073092
2,18,5,-5.53187332305405
2,21,2.5,-1.62658379372414
2,21,2.51,-1.69527006748489
2,21,2.52,-1.76573365105626
2,21,2.53,-1.83788577182166
2,21,2.54,-1.91165021792157
2,21,2.55,-1.98696097949765
2,21,2.56,-2.06376124543463
2,21,2.57,-2.14200339074632
2,21,2.58,-2.22164967432426
2,21,2.59,-2.30267342139758
2,21,2.6,-2.38506049886628
2,21,2.61,-2.46881091223399
2,21,2.62,-2.55394036612412
2,21,2.63,-2.64048164089854
2,21,2.64,-2.72848564916524
2,21,2.65,-2.81802205042405
2,21,2.66,-2.90917932127481
2,21,2.67,-3.00206420307559
2,21,2.68,-3.09680047833975
2,21,2.69,-3.19352706028465
2,21,2.7,-3.29239541486131
2,21,2.71,-3.3935663688797
2,21,2.72,-3.49720638887849
2,21,2.73,-3.60348344066678
2,21,2.74,-3.71256255688695
2,21,2.75,-3.82460124802304
2,21,2.76,-3.93974489023022
2,21,2.77,-4.05812221112101
2,21,2.78,-4.17984097277311
2,21,2.79,-4.30498392080609
2,21,2.8,-4.43360503094926
2,21,2.81,-4.56572604208072
2,21,2.82,-4.70133321978058
2,21,2.83,-4.84037425019956
2,21,2.84,-4.98275512449527
2,21,2.85,-5.1283368441493
2,21,2.86,-5.2769317630468
2,21,2.87,-5.42829939017733
2,21,2.88,-5.58214151516193
2,21,2.89,-5.73809659661389
2,21,2.9,-5.89573348082408
2,21,2.91,-6.05454470627634
2,21,2.92,-6.21393990753641
2,21,2.93,-6.37324016296396
2,21,2.94,-6.53167451948791
2,21,2.95,-6.68838032220726
2,21,2.96,-6.84240926169533
2,21,2.97,-6.99274103011947
2,21,2.98,-7.13830588818997
2,21,2.99,-7.27801607104792
2,21,3,-7.41080384417892
2,21,3.01,-7.53566170318889
2,21,3.02,-7.65167875699621
2,21,3.03,-7.75806784885299
2,21,3.04,-7.85418072403074
2,21,3.05,-7.93951241187651
2,21,3.06,-8.0136989442448
2,21,3.07,-8.07651314285776
2,21,3.08,-8.12786164954824
2,21,3.09,-8.16778405544294
2,21,3.1,-8.19645325374773
2,21,3.11,-8.21417540883067
2,21,3.12,-8.22138785985618
2,21,3.13,-8.2186534495873
2,21,3.14,-8.20665010358172
2,21,3.15,-8.18615510037836
2,21,3.16,-8.15802437830626
2,21,3.17,-8.1231681921641
2,21,3.18,-8.08252513352687
2,21,3.19,-8.03703674239243
2,21,3.2,-7.98762466115675
2,21,3.21,-7.93517168187899
2,21,3.22,-7.88050733727574
2,21,3.23,-7.82439806463629
2,21,3.24,-7.76754152528819
2,21,3.25,-7.71056440862577
2,21,3.26,-7.65402295917599
2,21,3.27,-7.59840548893635
2,21,3.28,-7.54413622730397
2,21,3.29,-7.49157997957348
2,21,3.3,-7.44104718688157
2,21,3.31,-7.39279909109745
2,21,3.32,-7.34705280090982
2,21,3.33,-7.3039861287293
2,21,3.34,-7.26374212334567
2,21,3.35,-7.22643326318497
2,21,3.36,-7.19214530248718
2,21,3.37,-7.16094078057824
2,21,3.38,-7.13286221504616
2,21,3.39,-7.10793500498087
2,21,3.4,-7.08617007199786
2,21,3.41,-7.06756626566359
2,21,3.42,-7.05211255702594
2,21,3.43,-7.03979003987174
2,21,3.44,-7.03057375459906
2,21,3.45,-7.02443434463117
2,21,3.46,-7.02133955048556
2,21,3.47,-7.02125554227942
2,21,3.48,-7.02414808789796
2,21,3.49,-7.02998355152034
2,21,3.5,-7.0387297158656
2,21,3.51,-7.05035642147276
2,21,3.52,-7.06483601753596
2,21,3.53,-7.08214362112198
2,21,3.54,-7.10225718471659
2,21,3.55,-7.12515737557559
2,21,3.56,-7.15082727380394
2,21,3.57,-7.17925189891525
2,21,3.58,-7.21041757630882
2,21,3.59,-7.24431115518654
2,21,3.6,-7.28091908759009
2,21,3.61,-7.32022637431949
2,21,3.62,-7.36221537755455
2,21,3.63,-7.4068644923235
2,21,3.64,-7.45414666005115
2,21,3.65,-7.50402769798311
2,21,3.66,-7.55646440921565
2,21,3.67,-7.61140243042445
2,21,3.68,-7.66877376939284
2,21,3.69,-7.72849398346849
2,21,3.7,-7.79045895469748
2,21,3.71,-7.85454122942443
2,21,3.72,-7.92058591180681
2,21,3.73,-7.98840613473433
2,21,3.74,-8.05777818166794
2,21,3.75,-8.12843640363969
2,21,3.76,-8.20006817283033
2,21,3.77,-8.27230924296295
2,21,3.78,-8.34474004675325
2,21,3.79,-8.41688363493871
2,21,3.8,-8.48820610244386
2,21,3.81,-8.55812037328972
2,21,3.82,-8.62599404383247
2,21,3.83,-8.69116160640102
2,21,3.84,-8.75294092008389
2,21,3.85,-8.81065345555756
2,21,3.86,-8.86364767996088
2,21,3.87,-8.91132479762259
2,21,3.88,-8.95316569508973
2,21,3.89,-8.98875733986161
2,21,3.9,-9.01781630010087
2,21,3.91,-9.04020680019039
2,21,3.92,-9.05595097846471
2,21,3.93,-9.06522975166739
2,21,3.94,-9.06837376190709
2,21,3.95,-9.06584506815267
2,21,3.96,-9.05821132062343
2,21,3.97,-9.04611493623651
2,21,3.98,-9.03024016397866
2,21,3.99,-9.0112808699786
2,21,4,-8.9899114484194
2,21,4.01,-8.96676260028873
2,21,4.02,-8.94240296253014
2,21,4.03,-8.91732684665111
2,21,4.04,-8.89194775209184
2,21,4.05,-8.8665969036572
2,21,4.06,-8.84152583045027
2,21,4.07,-8.81691193253575
2,21,4.08,-8.79286603151059
2,21,4.09,-8.7694410288252
2,21,4.1,-8.7466409620168
2,21,4.11,-8.72442992366078
2,21,4.12,-8.70274047035756
2,21,4.13,-8.68148128791835
2,21,4.14,-8.6605439895179
2,21,4.15,-8.6398090061323
2,21,4.16,-8.61915058607087
2,21,4.17,-8.59844095713595
2,21,4.18,-8.57755372547041
2,21,4.19,-8.55636659371061
2,21,4.2,-8.53476348126977
2,21,4.21,-8.51263612440648
2,21,4.22,-8.48988522570419
2,21,4.23,-8.46642121422349
2,21,4.24,-8.44216467239028
2,21,4.25,-8.41704649016528
2,21,4.26,-8.39100783512064
2,21,4.27,-8.36400010911082
2,21,4.28,-8.33598526175273
2,21,4.29,-8.30693726459232
2,21,4.3,-8.2768463607313
2,21,4.31,-8.24572875265656
2,21,4.32,-8.21364397401916
2,21,4.33,-8.18071438713853
2,21,4.34,-8.14711875037903
2,21,4.35,-8.11301730307141
2,21,4.36,-8.07843607997445
2,21,4.37,-8.04324997461398
2,21,4.38,-8.00730551320609
2,21,4.39,-7.97053026261639
2,21,4.4,-7.93294027924269
2,21,4.41,-7.89459862322043
2,21,4.42,-7.85558078885744
2,21,4.43,-7.81595817910608
2,21,4.44,-7.77579280688181
2,21,4.45,-7.73513671202691
2,21,4.46,-7.69403287954021
2,21,4.47,-7.6525164742271
2,21,4.48,-7.61061606553049
2,21,4.49,-7.56835480381378
2,21,4.5,-7.52575157583247
2,21,4.51,-7.48282216223734
2,21,4.52,-7.43958039905477
2,21,4.53,-7.39603932631605
2,21,4.54,-7.35221229509916
2,21,4.55,-7.30811399947537
2,21,4.56,-7.26376140114842
2,21,4.57,-7.219174520598
2,21,4.58,-7.17437707808907
2,21,4.59,-7.12939698013475
2,21,4.6,-7.08426666162575
2,21,4.61,-7.03902331142031
2,21,4.62,-6.99370903152299
2,21,4.63,-6.94837101066007
2,21,4.64,-6.90306183809737
2,21,4.65,-6.85784015139526
2,21,4.66,-6.81277190985003
2,21,4.67,-6.76793270290771
2,21,4.68,-6.72341154882782
2,21,4.69,-6.67931624953436
2,21,4.7,-6.63577842139879
2,21,4.71,-6.59295023007049
2,21,4.72,-6.55097206748562
2,21,4.73,-6.50988239711281
2,21,4.74,-6.46949295183386
2,21,4.75,-6.42939571336305
2,21,4.76,-6.38923759215964
2,21,4.77,-6.34898832615855
2,21,4.78,-6.30887625821287
2,21,4.79,-6.26916491626622
2,21,4.8,-6.23003324100053
2,21,4.81,-6.19156955023777
2,21,4.82,-6.15380134229525
2,21,4.83,-6.11672128070949
2,21,4.84,-6.08030268098112
2,21,4.85,-6.04450755405255
2,21,4.86,-6.00929064069872
2,21,4.87,-5.97460155998823
2,21,4.88,-5.94038617200001
2,21,4.89,-5.90658767799823
2,21,4.9,-5.8731476881167
2,21,4.91,-5.84000733958224
2,21,4.92,-5.80710846569123
2,21,4.93,-5.77439474897344
2,21,4.94,-5.74181270722108
2,21,4.95,-5.70931223055359
2,21,4.96,-5.67684620393981
2,21,4.97,-5.64436859067658
2,21,4.98,-5.61183053912284
2,21,4.99,-5.57917534380258
2,21,5,-5.54633617376349
2,24,2.5,-1.54938822669388
2,24,2.51,-1.60494247248852
2,24,2.52,-1.66270141570812
2,24,2.53,-1.7226525258096
2,24,2.54,-1.78477837566894
2,24,2.55,-1.84905728268317
2,24,2.56,-1.91546410730125
2,24,2.57,-1.98397120607594
2,24,2.58,-2.05454953235984
2,24,2.59,-2.12716987401095
2,24,2.6,-2.2018042141181
2,24,2.61,-2.27842719788147
2,24,2.62,-2.35701768627424
2,24,2.63,-2.43756037458224
2,24,2.64,-2.5200474506695
2,24,2.65,-2.60448026285399
2,24,2.66,-2.69087095943414
2,24,2.67,-2.77924405010596
2,24,2.68,-2.86963782317062
2,24,2.69,-2.96210553197122
2,24,2.7,-3.05671624135026
2,24,2.71,-3.15355520385736
2,24,2.72,-3.25272362149163
2,24,2.73,-3.35433764850366
2,24,2.74,-3.45852651039076
2,24,2.75,-3.56542965751629
2,24,2.76,-3.6751929382051
2,24,2.77,-3.78796385943281
2,24,2.78,-3.90388609146547
2,24,2.79,-4.02309345052828
2,24,2.8,-4.14570364524251
2,24,2.81,-4.27181208672863
2,24,2.82,-4.4014860349407
2,24,2.83,-4.53475928975204
2,24,2.84,-4.67162754687497
2,24,2.85,-4.81204444245756
2,24,2.86,-4.95591822290694
2,24,2.87,-5.10310891148661
2,24,2.88,-5.25342580845546
2,24,2.89,-5.40662515927652
2,24,2.9,-5.56240785367235
2,24,2.91,-5.72041707254624
2,24,2.92,-5.88023587490406
2,24,2.93,-6.04138480830412
2,24,2.94,-6.20331973013353
2,24,2.95,-6.36543013918295
2,24,2.96,-6.52703843196791
2,24,2.97,-6.68740060692173
2,24,2.98,-6.84570902770858
2,24,2.99,-7.001097904393
2,24,3,-7.15265213326088
2,24,3.01,-7.29942002678273
2,24,3.02,-7.44043024369888
2,24,3.03,-7.57471288797471
2,24,3.04,-7.70132429869045
2,24,3.05,-7.81937454265605
2,24,3.06,-7.92805611700787
2,24,3.07,-8.02667195843016
2,24,3.08,-8.11466062861777
2,24,3.09,-8.1916165702792
2,24,3.1,-8.25730362861762
2,24,3.11,-8.31166057648401
