"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,90,-2,2.33084278598076
3.8,90,-1,4.5078070201552
3.8,90,0,5.79305202468992
3.8,90,1,6.49958996509963
3.8,90,2,6.7712499339676
3.8,90,3,6.67837528536411
3.8,90,4,6.25074211909147
3.8,90,5,5.48904302831831
3.8,90,6,4.3655257936662
3.8,90,7,2.8145185843031
3.8,90,8,0.70530126617603
3.8,90,9,-2.22956186930876
3.8,90,10,-6.59757533194679
3.8,90,11,-13.3593097411369
3.8,90,12,-12.1635922832202
3.8,90,13,-6.52575517641992
3.8,90,14,-3.19522354463613
3.8,90,15,-1.10760362916584
3.8,90,16,0.246277091083626
3.8,90,17,1.09980495443939
3.8,90,18,1.57344176181632
3.8,90,19,1.73348359658181
3.8,90,20,1.6158485846495
3.8,90,21,1.23633235574998
3.8,90,22,0.59447077758772
3.8,90,23,-0.326684925056411
3.8,90,24,-1.56485492649955
3.8,90,25,-3.18887324437537
3.8,90,26,-5.32002144382662
3.8,90,27,-8.17012800934325
3.8,90,28,-12.0258073235213
3.8,90,29,-15.9090854735071
3.8,90,30,-14.3280546546802
3.8,90,31,-10.541991460358
3.8,90,32,-7.7238076237246
3.8,90,33,-5.73754649585658
3.8,90,34,-4.31489525772019
3.8,90,35,-3.29254564027966
3.8,90,36,-2.57293578487601
3.8,90,37,-2.09511121783734
3.8,90,38,-1.81939614655039
3.8,90,39,-1.71930097953733
3.8,90,40,-1.77708417331823
3.8,90,41,-1.9812540653008
3.8,90,42,-2.3251837470196
3.8,90,43,-2.80643920129283
3.8,90,44,-3.42664758393069
3.8,90,45,-4.19188096157317
3.8,90,46,-5.11367176809461
3.8,90,47,-6.2109789773115
3.8,90,48,-7.5138116011609
3.8,90,49,-9.07009409763821
3.8,90,50,-10.9596370293566
3.8,90,51,-13.3259776723447
3.8,90,52,-16.4626583794444
3.8,90,53,-21.1247592982409
3.8,90,54,-30.5754983108718
3.8,90,55,-30.7951646024258
3.8,90,56,-22.0118965653143
3.8,90,57,-17.9660513884061
3.8,90,58,-15.4246350019986
3.8,90,59,-13.6316831008555
3.8,90,60,-12.2892751858099
3.8,90,61,-11.248563946073
3.8,90,62,-10.4239843147711
3.8,90,63,-9.76150731416714
3.8,90,64,-9.2246398313738
3.8,90,65,-8.78746235078024
3.8,90,66,-8.43084755089752
3.8,90,67,-8.14026180506771
3.8,90,68,-7.90441466154272
3.8,90,69,-7.71438969362086
3.8,90,70,-7.5630616207703
3.8,90,71,-7.44469034398738
3.8,90,72,-7.35462801126885
3.8,90,73,-7.2891005658487
3.8,90,74,-7.2450399307431
3.8,90,75,-7.21995178608778
3.8,90,76,-7.21180928533945
3.8,90,77,-7.21896639927742
3.8,90,78,-7.24008666020697
3.8,90,79,-7.27408437648324
3.8,90,80,-7.32007619490406
3.8,90,81,-7.37734139451693
3.8,90,82,-7.44528962171841
3.8,90,83,-7.52343500101391
3.8,90,84,-7.61137572678849
3.8,90,85,-7.70877838737258
3.8,90,86,-7.81536640875235
3.8,90,87,-7.9309121379293
3.8,90,88,-8.05523221595847
3.8,90,89,-8.18818601511055
3.8,90,90,-8.3296770277852
3.8,90,91,-8.47965718905952
3.8,90,92,-8.63813418065446
3.8,90,93,-8.8051817907696
3.8,90,94,-8.98095337982445
3.8,90,95,-9.16569841455794
3.8,90,96,-9.35978187079783
3.8,90,97,-9.56370605876378
3.8,90,98,-9.77813408621303
3.8,90,99,-10.0039137370754
3.8,90,100,-10.2420999964404
3.8,90,101,-10.4939737759628
3.8,90,102,-10.7610535419784
3.8,90,103,-11.0450954333625
3.8,90,104,-11.3480759196258
3.8,90,105,-11.6721488349985
3.8,90,106,-12.0195653482444
3.8,90,107,-12.3925405778255
3.8,90,108,-12.7930435676053
3.8,90,109,-13.2224778520726
3.8,90,110,-13.6812085232458
3.8,90,111,-14.167882133985
3.8,90,112,-14.6784884370389
3.8,90,113,-15.2051523506536
3.8,90,114,-15.7347670793319
3.8,90,115,-16.2478480864323
3.8,90,116,-16.7184228894168
3.8,90,117,-17.1161818005339
3.8,90,118,-17.4118944305855
3.8,90,119,-17.5854883008089
3.8,90,120,-17.6335655354651
3.8,90,121,-17.5720097511124
3.8,90,122,-17.4319387180582
3.8,90,123,-17.2516059199003
3.8,90,124,-17.068610107204
3.8,90,125,-16.9150213052835
3.8,90,126,-16.8154655134223
3.8,90,127,-16.7869103350324
3.8,90,128,-16.8388356832888
3.8,90,129,-16.9728715901728
3.8,90,130,-17.1813873750879
3.8,90,131,-17.4449595895159
3.8,90,132,-17.7295079976917
3.8,90,133,-17.9856065633339
3.8,90,134,-18.1545402398445
3.8,90,135,-18.1848152803544
3.8,90,136,-18.0546257613236
3.8,90,137,-17.7851747509661
3.8,90,138,-17.4333748623951
3.8,90,139,-17.0708973163874
3.8,90,140,-16.7658211333012
3.8,90,141,-16.5749264332094
3.8,90,142,-16.5446292537941
3.8,90,143,-16.716010698831
3.8,90,144,-17.1312885647066
3.8,90,145,-17.8413201194908
3.8,90,146,-18.9150928276971
3.8,90,147,-20.451831608527
3.8,90,148,-22.5852906951005
3.8,90,149,-25.3711638134323
3.8,90,150,-27.8505571737782
3.8,90,151,-27.0111100592096
3.8,90,152,-24.0339722149404
3.8,90,153,-21.4119799148225
3.8,90,154,-19.4865576391038
3.8,90,155,-18.1508091715645
3.8,90,156,-17.3034028619519
3.8,90,157,-16.8861991275355
3.8,90,158,-16.8775898236974
3.8,90,159,-17.2880797080713
3.8,90,160,-18.1628590749494
3.8,90,161,-19.5917291566111
3.8,90,162,-21.7163374938426
3.8,90,163,-24.6123551344813
3.8,90,164,-27.140727725903
3.8,90,165,-25.8573753272915
3.8,90,166,-22.6499389238528
3.8,90,167,-20.0209046151663
3.8,90,168,-18.1591586342795
3.8,90,169,-16.9183987702053
3.8,90,170,-16.1878101280921
3.8,90,171,-15.906672203556
3.8,90,172,-16.0518779909098
3.8,90,173,-16.6297642098467
3.8,90,174,-17.6699582845839
3.8,90,175,-19.2050137245975
3.8,90,176,-21.1650845294229
3.8,90,177,-22.9596084105337
3.8,90,178,-23.1031038605077
3.8,90,179,-21.3950428306493
3.8,90,180,-19.3380965952265
