"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,20,2.5,-1.65131357699719
2,20,2.51,-1.70503338892344
2,20,2.52,-1.76034734063731
2,20,2.53,-1.8172783968363
2,20,2.54,-1.87585304096768
2,20,2.55,-1.93610141700723
2,20,2.56,-1.99805738096289
2,20,2.57,-2.06175845779567
2,20,2.58,-2.12724570644579
2,20,2.59,-2.19456350420107
2,20,2.6,-2.26375927130953
2,20,2.61,-2.33488316681716
2,20,2.62,-2.40798779614476
2,20,2.63,-2.4831279787454
2,20,2.64,-2.56036062904436
2,20,2.65,-2.63974480452734
2,20,2.66,-2.72134197027551
2,20,2.67,-2.8052165187737
2,20,2.68,-2.89143656726581
2,20,2.69,-2.9800750327306
2,20,2.7,-3.07121095778391
2,20,2.71,-3.16493103120411
2,20,2.72,-3.26133121664261
2,20,2.73,-3.3605183752477
2,20,2.74,-3.46261174563392
2,20,2.75,-3.56774413138777
2,20,2.76,-3.67606264570767
2,20,2.77,-3.78772887815766
2,20,2.78,-3.90291838238324
2,20,2.79,-4.02181943689168
2,20,2.8,-4.14463110197512
2,20,2.81,-4.2715606794166
2,20,2.82,-4.402820768695
2,20,2.83,-4.53862619139083
2,20,2.84,-4.67919110989363
2,20,2.85,-4.82472668378709
2,20,2.86,-4.9754395784465
2,20,2.87,-5.13153156423263
2,20,2.88,-5.29320032952272
2,20,2.89,-5.46064149370208
2,20,2.9,-5.63405166941121
2,20,2.91,-5.81363230907915
2,20,2.92,-5.99959399603959
2,20,2.93,-6.19216081328054
2,20,2.94,-6.39157444115952
2,20,2.95,-6.59809768922408
2,20,2.96,-6.81201724230202
2,20,2.97,-7.03364548280346
2,20,2.98,-7.26332132832307
2,20,2.99,-7.50141008941786
2,20,3,-7.74830240462439
2,20,3.01,-8.00441234910005
2,20,3.02,-8.27017484125577
2,20,3.03,-8.54604248851657
2,20,3.04,-8.83248201593924
2,20,3.05,-9.12997040294156
2,20,3.06,-9.438990803227
2,20,3.07,-9.76002822790622
2,20,3.08,-10.0935648178831
2,20,3.09,-10.4400743061568
2,20,3.1,-10.8000149639313
2,20,3.11,-11.1738199293898
2,20,3.12,-11.5618833291226
2,20,3.13,-11.9645400123163
2,20,3.14,-12.3820360153375
2,20,3.15,-12.814486043762
2,20,3.16,-13.2618132898849
2,20,3.17,-13.7236658170775
2,20,3.18,-14.1993026453615
2,20,3.19,-14.6874418624281
2,20,3.2,-15.1860632228199
2,20,3.21,-15.6921600745807
2,20,3.22,-16.201442306692
2,20,3.23,-16.7080067349892
2,20,3.24,-17.2040180497061
2,20,3.25,-17.6794847909037
2,20,3.26,-18.1222665605547
2,20,3.27,-18.5184906331628
2,20,3.28,-18.8535447693265
2,20,3.29,-19.1136917944265
2,20,3.3,-19.2880982661434
2,20,3.31,-19.3707684226918
2,20,3.32,-19.3617281024491
2,20,3.33,-19.2669935933426
2,20,3.34,-19.0973396641696
2,20,3.35,-18.8663517858864
2,20,3.36,-18.5884198952222
2,20,3.37,-18.2771709991172
2,20,3.38,-17.9445328606743
2,20,3.39,-17.6003683843317
2,20,3.4,-17.2524978083341
2,20,3.41,-16.9069121265086
2,20,3.42,-16.5680295870793
2,20,3.43,-16.2389237303448
2,20,3.44,-15.9215264364961
2,20,3.45,-15.6168455610621
2,20,3.46,-15.3252156836624
