"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,20,0,-180,-6.70018156074204
2,3.8,20,0,-179,-8.44753061928581
2,3.8,20,0,-178,-10.6238253429737
2,3.8,20,0,-177,-13.4330856264697
2,3.8,20,0,-176,-17.3241092532391
2,3.8,20,0,-175,-23.6289783064132
2,3.8,20,0,-174,-35.0174722016887
2,3.8,20,0,-173,-24.4812216399856
2,3.8,20,0,-172,-19.5246471328215
2,3.8,20,0,-171,-16.8950480498753
2,3.8,20,0,-170,-15.3373184352046
2,3.8,20,0,-169,-14.4264561750053
2,3.8,20,0,-168,-13.9725634765645
2,3.8,20,0,-167,-13.8783149334518
2,3.8,20,0,-166,-14.0913737072293
2,3.8,20,0,-165,-14.5852871138686
2,3.8,20,0,-164,-15.3511928443895
2,3.8,20,0,-163,-16.3944716001775
2,3.8,20,0,-162,-17.7339487510414
2,3.8,20,0,-161,-19.4016974587849
2,3.8,20,0,-160,-21.4380544844476
2,3.8,20,0,-159,-23.8590379980727
2,3.8,20,0,-158,-26.5045302965067
2,3.8,20,0,-157,-28.5930983665731
2,3.8,20,0,-156,-28.8581977783533
2,3.8,20,0,-155,-27.6570508594859
2,3.8,20,0,-154,-26.2532769277053
2,3.8,20,0,-153,-25.1455924398843
2,3.8,20,0,-152,-24.3891727159227
2,3.8,20,0,-151,-23.9348828756007
2,3.8,20,0,-150,-23.7207018787688
2,3.8,20,0,-149,-23.6884288534356
2,3.8,20,0,-148,-23.7848482116986
2,3.8,20,0,-147,-23.9616816585863
2,3.8,20,0,-146,-24.1777161895415
2,3.8,20,0,-145,-24.4031050802316
2,3.8,20,0,-144,-24.6238256379548
2,3.8,20,0,-143,-24.8434997911127
2,3.8,20,0,-142,-25.0811203579576
2,3.8,20,0,-141,-25.3657994053394
2,3.8,20,0,-140,-25.7311534362334
2,3.8,20,0,-139,-26.2113385264446
2,3.8,20,0,-138,-26.8390819106077
2,3.8,20,0,-137,-27.6444940190521
2,3.8,20,0,-136,-28.651722215512
2,3.8,20,0,-135,-29.8665340607421
2,3.8,20,0,-134,-31.2376599268334
2,3.8,20,0,-133,-32.5618306202677
2,3.8,20,0,-132,-33.3722297148861
2,3.8,20,0,-131,-33.1703546329154
2,3.8,20,0,-130,-32.0544519666717
2,3.8,20,0,-129,-30.5711104961879
2,3.8,20,0,-128,-29.1094777030954
2,3.8,20,0,-127,-27.8152541068879
2,3.8,20,0,-126,-26.7165285588469
2,3.8,20,0,-125,-25.8014107191131
2,3.8,20,0,-124,-25.047618726936
2,3.8,20,0,-123,-24.431979246659
2,3.8,20,0,-122,-23.9329415241861
2,3.8,20,0,-121,-23.5308393999778
2,3.8,20,0,-120,-23.2075230144607
2,3.8,20,0,-119,-22.9459202424655
2,3.8,20,0,-118,-22.7297333343126
2,3.8,20,0,-117,-22.5433562235847
2,3.8,20,0,-116,-22.3720459856667
2,3.8,20,0,-115,-22.2023362987476
2,3.8,20,0,-114,-22.022622622709
2,3.8,20,0,-113,-21.8237863287638
2,3.8,20,0,-112,-21.5996856689603
2,3.8,20,0,-111,-21.3473555293416
2,3.8,20,0,-110,-21.0668339757155
2,3.8,20,0,-109,-20.7606444535574
2,3.8,20,0,-108,-20.4330580968952
2,3.8,20,0,-107,-20.0893008179622
2,3.8,20,0,-106,-19.7348485875197
2,3.8,20,0,-105,-19.3748960436833
2,3.8,20,0,-104,-19.014021142955
2,3.8,20,0,-103,-18.6560238907037
2,3.8,20,0,-102,-18.3038959986144
2,3.8,20,0,-101,-17.9598755757424
2,3.8,20,0,-100,-17.62554837756
2,3.8,20,0,-99,-17.3019678750153
2,3.8,20,0,-98,-16.9897764712796
2,3.8,20,0,-97,-16.6893179788984
2,3.8,20,0,-96,-16.4007367836506
2,3.8,20,0,-95,-16.1240623941236
2,3.8,20,0,-94,-15.8592798871272
2,3.8,20,0,-93,-15.6063876215733
2,3.8,20,0,-92,-15.3654438892462
2,3.8,20,0,-91,-15.1366041553239
2,3.8,20,0,-90,-14.9201503709284
2,3.8,20,0,-89,-14.7165136009215
2,3.8,20,0,-88,-14.5262909424112
2,3.8,20,0,-87,-14.3502574216656
2,3.8,20,0,-86,-14.189373235801
2,3.8,20,0,-85,-14.0447863182337
2,3.8,20,0,-84,-13.9178297004364
2,3.8,20,0,-83,-13.8100124366888
2,3.8,20,0,-82,-13.7230018332182
2,3.8,20,0,-81,-13.6585931987664
2,3.8,20,0,-80,-13.6186610428602
2,3.8,20,0,-79,-13.6050822002013
2,3.8,20,0,-78,-13.6196162075769
2,3.8,20,0,-77,-13.6637207051064
2,3.8,20,0,-76,-13.7382689703637
2,3.8,20,0,-75,-13.8431227464435
2,3.8,20,0,-74,-13.9764981651559
2,3.8,20,0,-73,-14.1340533668583
2,3.8,20,0,-72,-14.3076441669471
2,3.8,20,0,-71,-14.4837846993016
2,3.8,20,0,-70,-14.6420919085222
2,3.8,20,0,-69,-14.7544622890262
2,3.8,20,0,-68,-14.7863390281501
2,3.8,20,0,-67,-14.7016124627245
2,3.8,20,0,-66,-14.471376338999
2,3.8,20,0,-65,-14.0836042455337
2,3.8,20,0,-64,-13.5482946774318
2,3.8,20,0,-63,-12.8945668079705
2,3.8,20,0,-62,-12.1617595694296
2,3.8,20,0,-61,-11.3899842570003
2,3.8,20,0,-60,-10.6140568015471
2,3.8,20,0,-59,-9.86136550606174
2,3.8,20,0,-58,-9.15231541344449
2,3.8,20,0,-57,-8.50185578568734
2,3.8,20,0,-56,-7.92117225376794
2,3.8,20,0,-55,-7.41916184668337
2,3.8,20,0,-54,-7.00361623017489
2,3.8,20,0,-53,-6.68217026602958
2,3.8,20,0,-52,-6.4631161914419
2,3.8,20,0,-51,-6.3561965888009
2,3.8,20,0,-50,-6.37350400193119
2,3.8,20,0,-49,-6.53065237370407
2,3.8,20,0,-48,-6.84846917486947
2,3.8,20,0,-47,-7.35562984172635
2,3.8,20,0,-46,-8.09300465525887
2,3.8,20,0,-45,-9.1211763117944
2,3.8,20,0,-44,-10.5337600925697
2,3.8,20,0,-43,-12.4791686143116
2,3.8,20,0,-42,-15.1681158167323
2,3.8,20,0,-41,-18.5121428575739
2,3.8,20,0,-40,-19.5451307539444
2,3.8,20,0,-39,-16.1378130624997
2,3.8,20,0,-38,-12.5639898130817
2,3.8,20,0,-37,-9.81612768261167
2,3.8,20,0,-36,-7.71847925411048
2,3.8,20,0,-35,-6.09617783269929
2,3.8,20,0,-34,-4.8408241692414
2,3.8,20,0,-33,-3.88806062405135
2,3.8,20,0,-32,-3.20090786110486
2,3.8,20,0,-31,-2.7608330006894
2,3.8,20,0,-30,-2.56362326225199
2,3.8,20,0,-29,-2.61850377460239
2,3.8,20,0,-28,-2.95027799782137
2,3.8,20,0,-27,-3.60573861031
2,3.8,20,0,-26,-4.66844680127998
2,3.8,20,0,-25,-6.29415153599596
2,3.8,20,0,-24,-8.81005546715054
2,3.8,20,0,-23,-13.0873487013616
2,3.8,20,0,-22,-22.9620125761976
2,3.8,20,0,-21,-18.4112067062496
2,3.8,20,0,-20,-10.5905608058506
2,3.8,20,0,-19,-6.45094357449052
2,3.8,20,0,-18,-3.71027646995249
2,3.8,20,0,-17,-1.74634778735461
2,3.8,20,0,-16,-0.307459903150576
2,3.8,20,0,-15,0.727236390545892
2,3.8,20,0,-14,1.41805824776909
2,3.8,20,0,-13,1.79015200884095
2,3.8,20,0,-12,1.84217665070245
2,3.8,20,0,-11,1.54565915720766
2,3.8,20,0,-10,0.834481200086814
2,3.8,20,0,-9,-0.424834236451435
2,3.8,20,0,-8,-2.51794976757458
2,3.8,20,0,-7,-6.19499227464359
2,3.8,20,0,-6,-14.8481339694579
2,3.8,20,0,-5,-14.7780020276929
2,3.8,20,0,-4,-4.7089337664975
2,3.8,20,0,-3,0.145975829267177
2,3.8,20,0,-2,3.40037708702765
2,3.8,20,0,-1,5.83876432006952
2,3.8,20,0,0,7.76495864698125
2,3.8,20,0,1,9.32901215020198
2,3.8,20,0,2,10.616112692642
2,3.8,20,0,3,11.6791876482967
2,3.8,20,0,4,12.5532137021349
2,3.8,20,0,5,13.2623100299625
2,3.8,20,0,6,13.8235758401343
2,3.8,20,0,7,14.2493042154693
2,3.8,20,0,8,14.5483185645284
2,3.8,20,0,9,14.726800879738
2,3.8,20,0,10,14.7888051087321
2,3.8,20,0,11,14.7365600158262
2,3.8,20,0,12,14.570616945337
2,3.8,20,0,13,14.2898676272486
2,3.8,20,0,14,13.891434689862
2,3.8,20,0,15,13.3704158692117
2,3.8,20,0,16,12.719435432283
2,3.8,20,0,17,11.9279136414477
2,3.8,20,0,18,10.9808896690947
2,3.8,20,0,19,9.85708777170826
2,3.8,20,0,20,8.52561256011354
2,3.8,20,0,21,6.93996869829568
2,3.8,20,0,22,5.02636438020177
2,3.8,20,0,23,2.65829051612594
2,3.8,20,0,24,-0.407533512201155
2,3.8,20,0,25,-4.73185843150782
2,3.8,20,0,26,-12.0275475440535
2,3.8,20,0,27,-16.7070123821717
2,3.8,20,0,28,-8.46739945995258
2,3.8,20,0,29,-4.44310702862218
2,3.8,20,0,30,-2.11067013285314
2,3.8,20,0,31,-0.641911678748799
2,3.8,20,0,32,0.286893581506716
2,3.8,20,0,33,0.832185857481792
2,3.8,20,0,34,1.0793639747515
2,3.8,20,0,35,1.07805945442545
2,3.8,20,0,36,0.857290356876857
2,3.8,20,0,37,0.432560496733546
2,3.8,20,0,38,-0.190842597055042
2,3.8,20,0,39,-1.01671241641877
2,3.8,20,0,40,-2.05837402550717
2,3.8,20,0,41,-3.34068000366126
2,3.8,20,0,42,-4.9037638182793
2,3.8,20,0,43,-6.80815545021025
2,3.8,20,0,44,-9.13512707207382
2,3.8,20,0,45,-11.9386595642567
2,3.8,20,0,46,-14.9003788464605
2,3.8,20,0,47,-16.2941356505584
2,3.8,20,0,48,-14.8500352919823
2,3.8,20,0,49,-12.5851303757216
2,3.8,20,0,50,-10.6649132237088
2,3.8,20,0,51,-9.19802350490292
2,3.8,20,0,52,-8.10135727142071
2,3.8,20,0,53,-7.29219228908009
2,3.8,20,0,54,-6.70909167374007
2,3.8,20,0,55,-6.30795975820775
2,3.8,20,0,56,-6.05667005297157
2,3.8,20,0,57,-5.93115949640361
2,3.8,20,0,58,-5.91283353367556
2,3.8,20,0,59,-5.98685056363991
2,3.8,20,0,60,-6.14096460707144
2,3.8,20,0,61,-6.36472145012237
2,3.8,20,0,62,-6.64888238935875
2,3.8,20,0,63,-6.98499910904806
2,3.8,20,0,64,-7.36509429217729
2,3.8,20,0,65,-7.78142292267719
2,3.8,20,0,66,-8.22630332465742
2,3.8,20,0,67,-8.69201702594293
2,3.8,20,0,68,-9.17078315076481
2,3.8,20,0,69,-9.65481567613569
2,3.8,20,0,70,-10.1364692580715
2,3.8,20,0,71,-10.6084702992684
2,3.8,20,0,72,-11.0642147171195
2,3.8,20,0,73,-11.4980953829333
2,3.8,20,0,74,-11.9058064174
2,3.8,20,0,75,-12.2845659440703
2,3.8,20,0,76,-12.633208964992
2,3.8,20,0,77,-12.9521272860332
2,3.8,20,0,78,-13.2430663940622
2,3.8,20,0,79,-13.50881847377
2,3.8,20,0,80,-13.752866807251
2,3.8,20,0,81,-13.9790364362841
2,3.8,20,0,82,-14.1911927643165
2,3.8,20,0,83,-14.3930109081049
2,3.8,20,0,84,-14.5878208599467
2,3.8,20,0,85,-14.7785208711972
2,3.8,20,0,86,-14.9675448387088
2,3.8,20,0,87,-15.1568677865155
2,3.8,20,0,88,-15.3480349760395
2,3.8,20,0,89,-15.542203084579
2,3.8,20,0,90,-15.740185108433
2,3.8,20,0,91,-15.9424935442067
2,3.8,20,0,92,-16.1493787402236
2,3.8,20,0,93,-16.3608610821943
2,3.8,20,0,94,-16.5767569843912
2,3.8,20,0,95,-16.7966996302022
2,3.8,20,0,96,-17.0201561609183
2,3.8,20,0,97,-17.2464436303429
2,3.8,20,0,98,-17.4747465606566
2,3.8,20,0,99,-17.7041393358301
2,3.8,20,0,100,-17.9336168836236
2,3.8,20,0,101,-18.1621370090233
2,3.8,20,0,102,-18.3886772045041
2,3.8,20,0,103,-18.6123076374186
2,3.8,20,0,104,-18.8322802307928
2,3.8,20,0,105,-19.0481313794095
2,3.8,20,0,106,-19.2597931491866
2,3.8,20,0,107,-19.4677052824216
2,3.8,20,0,108,-19.6729186076852
2,3.8,20,0,109,-19.8771801388989
2,3.8,20,0,110,-20.0829915940433
2,3.8,20,0,111,-20.2936361597906
2,3.8,20,0,112,-20.5131724320157
2,3.8,20,0,113,-20.7463985140535
2,3.8,20,0,114,-20.9987920291963
2,3.8,20,0,115,-21.2764321528046
2,3.8,20,0,116,-21.5859066766568
2,3.8,20,0,117,-21.9341994220129
2,3.8,20,0,118,-22.3285389976913
2,3.8,20,0,119,-22.7761648101178
2,3.8,20,0,120,-23.2839220860818
2,3.8,20,0,121,-23.8575191716895
2,3.8,20,0,122,-24.5001428598379
2,3.8,20,0,123,-25.2099034219688
2,3.8,20,0,124,-25.9752893264281
2,3.8,20,0,125,-26.7677160168352
2,3.8,20,0,126,-27.5314066233291
2,3.8,20,0,127,-28.1757050089751
2,3.8,20,0,128,-28.5846072255712
2,3.8,20,0,129,-28.6598156774465
2,3.8,20,0,130,-28.3794239532985
2,3.8,20,0,131,-27.8129149372236
2,3.8,20,0,132,-27.0739633011209
2,3.8,20,0,133,-26.264916099771
2,3.8,20,0,134,-25.4536987456819
2,3.8,20,0,135,-24.6765823952554
2,3.8,20,0,136,-23.9487610256486
2,3.8,20,0,137,-23.2738191278357
2,3.8,20,0,138,-22.6503523516553
2,3.8,20,0,139,-22.076321801732
2,3.8,20,0,140,-21.5518958935101
2,3.8,20,0,141,-21.0812513494082
2,3.8,20,0,142,-20.6736165508219
2,3.8,20,0,143,-20.3438253356645
2,3.8,20,0,144,-20.1127409611379
2,3.8,20,0,145,-20.0080321699245
2,3.8,20,0,146,-20.0659204492136
2,3.8,20,0,147,-20.3347302806643
2,3.8,20,0,148,-20.8814156383732
2,3.8,20,0,149,-21.8021655907465
2,3.8,20,0,150,-23.232051094841
2,3.8,20,0,151,-25.2875175441431
2,3.8,20,0,152,-27.4163216723497
2,3.8,20,0,153,-26.6613305633091
2,3.8,20,0,154,-22.9136570950438
2,3.8,20,0,155,-19.1898369939794
2,3.8,20,0,156,-16.1027060235882
2,3.8,20,0,157,-13.5462963500511
2,3.8,20,0,158,-11.3903176857684
2,3.8,20,0,159,-9.54416418727913
2,3.8,20,0,160,-7.9476933914638
2,3.8,20,0,161,-6.56028961063677
2,3.8,20,0,162,-5.35379298613928
2,3.8,20,0,163,-4.30822310462919
2,3.8,20,0,164,-3.40917282783513
2,3.8,20,0,165,-2.64618305684567
2,3.8,20,0,166,-2.01170636774394
2,3.8,20,0,167,-1.50043684655784
2,3.8,20,0,168,-1.10887784702943
2,3.8,20,0,169,-0.835073121027051
2,3.8,20,0,170,-0.678458772370626
2,3.8,20,0,171,-0.639814073343998
2,3.8,20,0,172,-0.721304289707526
2,3.8,20,0,173,-0.926622229490357
2,3.8,20,0,174,-1.261250738803
2,3.8,20,0,175,-1.73289018858693
2,3.8,20,0,176,-2.35213038607677
2,3.8,20,0,177,-3.13350940136778
2,3.8,20,0,178,-4.09722270793277
2,3.8,20,0,179,-5.27199494645366
2,3.8,20,0,180,-6.70018156074204
