"$Ha [mm]","Freq [GHz]","Length [mm]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,3.8,20,0,-180,-17.4327575901904
2,3.8,20,0,-179,-17.1329052090612
2,3.8,20,0,-178,-17.1859584212199
2,3.8,20,0,-177,-17.5721005466612
2,3.8,20,0,-176,-18.2818181238459
2,3.8,20,0,-175,-19.3031264874578
2,3.8,20,0,-174,-20.5920088957978
2,3.8,20,0,-173,-22.0008850438151
2,3.8,20,0,-172,-23.1628019533479
2,3.8,20,0,-171,-23.5495152624016
2,3.8,20,0,-170,-23.0087864541379
2,3.8,20,0,-169,-21.9745033388891
2,3.8,20,0,-168,-20.9059626256406
2,3.8,20,0,-167,-20.0174368499204
2,3.8,20,0,-166,-19.3657176404286
2,3.8,20,0,-165,-18.944335563443
2,3.8,20,0,-164,-18.7243740110806
2,3.8,20,0,-163,-18.6677449997287
2,3.8,20,0,-162,-18.7305559619348
2,3.8,20,0,-161,-18.8644065336509
2,3.8,20,0,-160,-19.0195056348841
2,3.8,20,0,-159,-19.1513596132879
2,3.8,20,0,-158,-19.2298467989501
2,3.8,20,0,-157,-19.2462162296045
2,3.8,20,0,-156,-19.2132854167826
2,3.8,20,0,-155,-19.1584149004039
2,3.8,20,0,-154,-19.1135604545367
2,3.8,20,0,-153,-19.1071390346242
2,3.8,20,0,-152,-19.1594829414629
2,3.8,20,0,-151,-19.2809849359622
2,3.8,20,0,-150,-19.4712051596892
2,3.8,20,0,-149,-19.7176117840514
2,3.8,20,0,-148,-19.9935328350429
2,3.8,20,0,-147,-20.2562813398923
2,3.8,20,0,-146,-20.448472634468
2,3.8,20,0,-145,-20.5071619411239
2,3.8,20,0,-144,-20.3826853318312
2,3.8,20,0,-143,-20.0593505085082
2,3.8,20,0,-142,-19.5625758333688
2,3.8,20,0,-141,-18.9461922555002
2,3.8,20,0,-140,-18.2710358103918
2,3.8,20,0,-139,-17.5892472311962
2,3.8,20,0,-138,-16.9386411741605
2,3.8,20,0,-137,-16.3437077619441
2,3.8,20,0,-136,-15.818936365589
2,3.8,20,0,-135,-15.3720871719049
2,3.8,20,0,-134,-15.0066519763733
2,3.8,20,0,-133,-14.7234876118173
2,3.8,20,0,-132,-14.5218165172016
2,3.8,20,0,-131,-14.3997900590701
2,3.8,20,0,-130,-14.354756945757
2,3.8,20,0,-129,-14.3833262248295
2,3.8,20,0,-128,-14.481275230057
2,3.8,20,0,-127,-14.643328108665
2,3.8,20,0,-126,-14.8628194546638
2,3.8,20,0,-125,-15.1312618678992
2,3.8,20,0,-124,-15.4378612883894
2,3.8,20,0,-123,-15.7690769989517
2,3.8,20,0,-122,-16.1084063603243
2,3.8,20,0,-121,-16.4366680737807
2,3.8,20,0,-120,-16.7330975548648
2,3.8,20,0,-119,-16.9774403889437
2,3.8,20,0,-118,-17.1528423331368
2,3.8,20,0,-117,-17.2487776559779
2,3.8,20,0,-116,-17.2629056120631
2,3.8,20,0,-115,-17.2010161727685
2,3.8,20,0,-114,-17.0750857976547
2,3.8,20,0,-113,-16.90030937221
2,3.8,20,0,-112,-16.6922175309457
2,3.8,20,0,-111,-16.4646193059738
2,3.8,20,0,-110,-16.2285545175399
2,3.8,20,0,-109,-15.992062817464
2,3.8,20,0,-108,-15.7604570166452
2,3.8,20,0,-107,-15.5368313440418
2,3.8,20,0,-106,-15.3226286595169
2,3.8,20,0,-105,-15.1181725337733
2,3.8,20,0,-104,-14.9231231672664
2,3.8,20,0,-103,-14.7368443189474
2,3.8,20,0,-102,-14.5586810145963
2,3.8,20,0,-101,-14.3881526101256
2,3.8,20,0,-100,-14.2250676165054
