"Length [mm]","Freq [GHz]","dB(ActiveS(1:1)) []"
20,2.5,-0.749613655485893
20,2.51,-0.768515505919012
20,2.52,-0.788256053143162
20,2.53,-0.808904594345254
20,2.54,-0.83053392767199
20,2.55,-0.853219785049333
20,2.56,-0.877040135485182
20,2.57,-0.902074368563413
20,2.58,-0.928402375343129
20,2.59,-0.956103551527357
20,2.6,-0.985255754970741
20,2.61,-1.01593425569535
20,2.62,-1.04821072090958
20,2.63,-1.08215227948677
20,2.64,-1.11782070953318
20,2.65,-1.15527178888705
20,2.66,-1.19455484178686
20,2.67,-1.23571250601778
20,2.68,-1.27878073441211
20,2.69,-1.32378903372256
20,2.7,-1.3707609338338
20,2.71,-1.41971467224836
20,2.72,-1.47066407382373
20,2.73,-1.52361960454591
20,2.74,-1.57858958088985
20,2.75,-1.63558152255902
20,2.76,-1.69460364480556
20,2.77,-1.75566649476255
20,2.78,-1.8187847406421
20,2.79,-1.8839791180553
20,2.8,-1.9512785170985
20,2.81,-2.0207221486164
20,2.82,-2.09236164914258
20,2.83,-2.16626286506593
20,2.84,-2.24250690023688
20,2.85,-2.32118983953827
20,2.86,-2.40242042830657
20,2.87,-2.48631498985577
20,2.88,-2.57298912902486
20,2.89,-2.66254641086501
20,2.9,-2.75506521677659
20,2.91,-2.85058612420597
20,2.92,-2.94910290557836
20,2.93,-3.05055995789487
20,2.94,-3.15485732083902
20,2.95,-3.26186182334433
20,2.96,-3.37142047712431
20,2.97,-3.48337129739579
20,2.98,-3.59754780333789
20,2.99,-3.71377592047822
20,3,-3.8318645900835
20,3.01,-3.95159300357397
20,3.02,-4.07269768292033
20,3.03,-4.19486195129319
20,3.04,-4.31770926475799
20,3.05,-4.44080087625392
20,3.06,-4.56363760205063
20,3.07,-4.68566508111601
20,3.08,-4.80628178126677
20,3.09,-4.92484901252724
20,3.1,-5.04070227301691
20,3.11,-5.15316331339558
20,3.12,-5.2615523138747
20,3.13,-5.3651994723767
20,3.14,-5.46345502305531
20,3.15,-5.55569607064298
20,3.16,-5.64132722172143
20,3.17,-5.71976869818053
20,3.18,-5.79041708172088
20,3.19,-5.8525386362757
20,3.2,-5.90496668845169
