"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,20,4.36,-13.1068229504332
2,20,4.37,-13.0207694594752
2,20,4.38,-12.9215821950321
2,20,4.39,-12.8105597191476
2,20,4.4,-12.6890161420455
2,20,4.41,-12.5582489948282
2,20,4.42,-12.4195136076781
2,20,4.43,-12.2740038365653
2,20,4.44,-12.1228386075707
2,20,4.45,-11.9670535226054
2,20,4.46,-11.8075966700519
2,20,4.47,-11.6453277781934
2,20,4.48,-11.48101990758
2,20,4.49,-11.3153629740731
2,20,4.5,-11.148968506414
2,20,4.51,-10.9823751560759
2,20,4.52,-10.8160545834981
2,20,4.53,-10.6504174384552
2,20,4.54,-10.4858192311915
2,20,4.55,-10.3225659550078
2,20,4.56,-10.1609193713544
2,20,4.57,-10.0011019069117
2,20,4.58,-9.84330114057721
2,20,4.59,-9.68767387861812
2,20,4.6,-9.53434983022264
2,20,4.61,-9.38343490476882
2,20,4.62,-9.2350141575504
2,20,4.63,-9.08915441344485
2,20,4.64,-8.94590659885065
2,20,4.65,-8.80530781175169
2,20,4.66,-8.66738315843418
2,20,4.67,-8.53214738351238
2,20,4.68,-8.39960631775261
2,20,4.69,-8.26975816588534
2,20,4.7,-8.14259465428009
2,20,4.71,-8.01810205610145
2,20,4.72,-7.8962621094152
2,20,4.73,-7.77705284170301
2,20,4.74,-7.66044931238363
2,20,4.75,-7.54642428323897
2,20,4.76,-7.43494882510426
2,20,4.77,-7.32599286780095
2,20,4.78,-7.21952569906564
2,20,4.79,-7.11551641715433
2,20,4.8,-7.01393434087124
2,20,4.81,-6.91474937998109
2,20,4.82,-6.8179323683048
2,20,4.83,-6.72345536126302
2,20,4.84,-6.63129189920758
2,20,4.85,-6.54141723755713
2,20,4.86,-6.45380854450901
2,20,4.87,-6.36844506691772
2,20,4.88,-6.28530826478256
2,20,4.89,-6.20438191464235
2,20,4.9,-6.12565218199623
2,20,4.91,-6.04910766260632
2,20,4.92,-5.97473939213675
2,20,4.93,-5.90254082296774
2,20,4.94,-5.83250776610345
2,20,4.95,-5.76463829474647
2,20,4.96,-5.69893260417944
2,20,4.97,-5.63539281985594
2,20,4.98,-5.57402274175399
2,20,4.99,-5.51482750765575
2,20,5,-5.45781315047123
