"Length [mm]","Freq [GHz]","dB(ActiveS(1:1)) []"
20,2.5,-1.93951430379972
20,2.51,-1.98997920243005
20,2.52,-2.04237922800216
20,2.53,-2.09680050623836
20,2.54,-2.15333244493566
20,2.55,-2.21206749341123
20,2.56,-2.27310082922926
20,2.57,-2.33652998034957
20,2.58,-2.40245439704493
20,2.59,-2.47097499428681
20,2.6,-2.54219369123916
20,2.61,-2.61621297940231
20,2.62,-2.69313555418361
20,2.63,-2.77306404569388
20,2.64,-2.85610088299967
20,2.65,-2.94234832177689
20,2.66,-3.03190865849383
20,2.67,-3.12488464541584
20,2.68,-3.221380110685
20,2.69,-3.32150077752261
20,2.7,-3.42535526735424
20,2.71,-3.53305626440555
20,2.72,-3.64472181482728
20,2.73,-3.76047673196677
20,2.74,-3.88045408063946
20,2.75,-4.00479671596446
20,2.76,-4.13365885433134
20,2.77,-4.26720765208177
20,2.78,-4.40562475710188
20,2.79,-4.54910777435158
20,2.8,-4.6978715427632
20,2.81,-4.85214905380418
20,2.82,-5.0121917524252
20,2.83,-5.17826886202459
20,2.84,-5.35066530092328
20,2.85,-5.52967777550249
20,2.86,-5.71560884829887
20,2.87,-5.90875931098148
20,2.88,-6.10942012289559
20,2.89,-6.31786642503098
20,2.9,-6.53435732048478
20,2.91,-6.75914548250805
20,2.92,-6.99249933863434
20,2.93,-7.234737186039
20,2.94,-7.48626790076488
20,2.95,-7.74762900535906
20,2.96,-8.01951216668538
20,2.97,-8.30276972965527
20,2.98,-8.5984022763103
20,2.99,-8.90753342457544
20,3,-9.23138149358084
20,3.01,-9.57123747632363
20,3.02,-9.9284560372906
20,3.03,-10.3044627859445
20,3.04,-10.7007782919675
20,3.05,-11.1190578313377
20,3.06,-11.5611456707159
20,3.07,-12.0291435218351
20,3.08,-12.5254943493346
20,3.09,-13.053084869693
20,3.1,-13.6153729112309
20,3.11,-14.2165496194411
20,3.12,-14.8617518845749
20,3.13,-15.5573483714298
20,3.14,-16.3113348726699
20,3.15,-17.1338942072667
20,3.16,-18.0382068169492
20,3.17,-19.0416453439417
20,3.18,-20.1675457016778
20,3.19,-21.4477485727983
20,3.2,-22.9255685455039
20,3.21,-24.6544417828946
20,3.22,-26.6489193816189
20,3.23,-28.0934307021162
20,3.24,-43.071095759001
20,3.25,-42.4683157548136
20,3.26,-36.3971693846361
20,3.27,-31.4863463838691
20,3.28,-28.20675773664
20,3.29,-25.8055622538392
20,3.3,-23.9293949340519
20,3.31,-22.3991339229955
20,3.32,-21.113388617409
20,3.33,-20.0095997966956
20,3.34,-19.046534592173
20,3.35,-18.1955809804785
20,3.36,-17.4360568300276
20,3.37,-16.7525140387835
20,3.38,-16.1331044375423
20,3.39,-15.5685427142541
20,3.4,-15.0514206846184
20,3.41,-14.5757368199674
20,3.42,-14.1365628845425
20,3.43,-13.7298015083512
20,3.44,-13.3520066892326
20,3.45,-13.0002496904226
20,3.46,-12.6720188311108
20,3.47,-12.3651450947744
20,3.48,-12.0777474078704
20,3.49,-11.8081925695855
20,3.5,-11.5550655911104
20,3.51,-11.3171468986978
20,3.52,-11.0933935920963
20,3.53,-10.8829227394235
20,3.54,-10.6849954679037
20,3.55,-10.4990012832607
20,3.56,-10.3244425308776
20,3.57,-10.1609191362414
20,3.58,-10.0081136909658
20,3.59,-9.86577654681166
20,3.6,-9.73370977803931
20,3.61,-9.61174754208216
20,3.62,-9.49972826538668
20,3.63,-9.3974507066646
20,3.64,-9.30460005001896
20,3.65,-9.22061840114613
20,3.66,-9.1444707335739
20,3.67,-9.07424136211462
20,3.68,-9.00672842900824
20,3.69,-8.93871090085318
20,3.7,-8.87393093726481
20,3.71,-8.8291960049637
20,3.72,-8.81886983324665
20,3.73,-8.83983120271077
20,3.74,-8.87124504912471
20,3.75,-8.89105340742589
20,3.76,-8.93146215584228
20,3.77,-9.00303443167007
20,3.78,-8.99239030911691
20,3.79,-8.96129312569061
20,3.8,-9.02897554046352
20,3.81,-9.07767365267923
20,3.82,-9.12034799541609
20,3.83,-9.16161958287059
20,3.84,-9.20359151106542
20,3.85,-9.2473739364819
20,3.86,-9.29358246087512
20,3.87,-9.34254898184456
20,3.88,-9.39442877518625
20,3.89,-9.44926318195681
20,3.9,-9.50702059988962
20,3.91,-9.56762544099477
20,3.92,-9.63097960132669
20,3.93,-9.69697882493086
20,3.94,-9.76552532494885
20,3.95,-9.83653746839136
20,3.96,-9.90995698192047
20,3.97,-9.98575390059083
20,3.98,-10.0639293257698
20,3.99,-10.1445159690385
20,4,-10.2275764288777
20,4.01,-10.3131991706506
20,4.02,-10.4014922514682
20,4.03,-10.4925749425427
20,4.04,-10.586567544419
20,4.05,-10.6835798562672
20,4.06,-10.7836989396455
20,4.07,-10.8869769978696
20,4.08,-10.9934203572018
20,4.09,-11.1029806594453
20,4.1,-11.2155494195723
20,4.11,-11.3309570186532
20,4.12,-11.4489769414148
20,4.13,-11.5693355941823
20,4.14,-11.6917273571774
20,4.15,-11.8158337026111
20,4.16,-11.9413443874489
20,4.17,-12.0679781049124
20,4.18,-12.1954997588162
20,4.19,-12.3237318565986
20,4.2,-12.4525584196701
20,4.21,-12.5819211387468
20,4.22,-12.7118089620939
20,4.23,-12.8422435165076
20,4.24,-12.9732633652394
20,4.25,-13.1049098875698
20,4.26,-13.2372165548244
20,4.27,-13.3702019017769
20,4.28,-13.5038650870853
20,4.29,-13.6381821405239
20,4.3,-13.7731010918277
20,4.31,-13.9085350427133
20,4.32,-14.0443534201942
20,4.33,-14.1803725969014
20,4.34,-14.3163474403277
20,4.35,-14.4519651344797
20,4.36,-14.5868420302933
20,4.37,-14.7205236282399
20,4.38,-14.8524873071305
20,4.39,-14.9821471809923
20,4.4,-15.1088604681512
20,4.41,-15.2319349091681
20,4.42,-15.3506369795732
20,4.43,-15.4642008368576
20,4.44,-15.5718380763483
20,4.45,-15.672748430993
20,4.46,-15.7661315370987
20,4.47,-15.8511998131523
20,4.48,-15.9271923783166
20,4.49,-15.9933897895065
20,4.5,-16.0491292205512
20,4.51,-16.0938195636065
20,4.52,-16.126955820841
20,4.53,-16.1481320904818
20,4.54,-16.1570524482989
20,4.55,-16.1535390897836
20,4.56,-16.1375372276708
20,4.57,-16.1091164232929
20,4.58,-16.0684682499621
20,4.59,-16.0159004182442
20,4.6,-15.9518277111317
20,4.61,-15.8767602586528
20,4.62,-15.7912898092482
20,4.63,-15.6960747203508
20,4.64,-15.5918243928418
20,4.65,-15.4792838209655
20,4.66,-15.359218833942
20,4.67,-15.2324024837424
20,4.68,-15.0996029011649
20,4.69,-14.9615728133109
20,4.7,-14.8190408002261
20,4.71,-14.6727042733801
20,4.72,-14.5232240866192
20,4.73,-14.3712206409847
20,4.74,-14.2172713158907
20,4.75,-14.0619090468745
20,4.76,-13.9056218702954
20,4.77,-13.7488532639487
20,4.78,-13.5920031261912
20,4.79,-13.4354292522212
20,4.8,-13.2794491828595
20,4.81,-13.124342317464
20,4.82,-12.9703521979866
20,4.83,-12.8176888854574
20,4.84,-12.6665313633778
20,4.85,-12.5170299146485
20,4.86,-12.3693084297738
20,4.87,-12.2234666141318
20,4.88,-12.07958207101
20,4.89,-11.937712244799
20,4.9,-11.7978962151498
20,4.91,-11.6601563380237
20,4.92,-11.5244997334326
20,4.93,-11.3909196223754
20,4.94,-11.2593965171744
20,4.95,-11.1298992702874
20,4.96,-11.0023859869711
20,4.97,-10.8768048071971
20,4.98,-10.7530945624102
20,4.99,-10.6311853136716
20,5,-10.5109987804179
