"$Ha [mm]","Length [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,20,2.5,-1.3280304310283
2,20,2.51,-1.38613300117084
2,20,2.52,-1.44684531357197
2,20,2.53,-1.51022150411179
2,20,2.54,-1.57631205476822
2,20,2.55,-1.6451629337396
2,20,2.56,-1.71681471060694
2,20,2.57,-1.79130167586008
2,20,2.58,-1.86865099930873
2,20,2.59,-1.94888196597181
2,20,2.6,-2.03200533046941
2,20,2.61,-2.11802283125292
2,20,2.62,-2.20692690383211
2,20,2.63,-2.29870062731233
2,20,2.64,-2.39331793113112
2,20,2.65,-2.49074407930035
2,20,2.66,-2.59093643849812
2,20,2.67,-2.6938455251152
2,20,2.68,-2.79941631616029
2,20,2.69,-2.90758980109964
2,20,2.7,-3.01830474732859
2,20,2.71,-3.13149965155108
2,20,2.72,-3.24711485250465
2,20,2.73,-3.36509478573168
2,20,2.74,-3.48539036582086
2,20,2.75,-3.60796148213125
2,20,2.76,-3.73277958645983
2,20,2.77,-3.85983033189739
2,20,2.78,-3.98911618939093
2,20,2.79,-4.12065892340654
2,20,2.8,-4.25450175569206
2,20,2.81,-4.39071099595693
2,20,2.82,-4.52937688331635
2,20,2.83,-4.67061337681586
2,20,2.84,-4.81455666911654
2,20,2.85,-4.96136227986962
2,20,2.86,-5.11120071005523
2,20,2.87,-5.26425179040355
2,20,2.88,-5.42069801212482
2,20,2.89,-5.58071725930254
2,20,2.9,-5.74447544562347
2,20,2.91,-5.91211957932315
2,20,2.92,-6.08377173780234
2,20,2.93,-6.25952433791703
2,20,2.94,-6.43943695808313
2,20,2.95,-6.62353482491222
2,20,2.96,-6.81180893783746
2,20,2.97,-7.00421768145524
2,20,2.98,-7.20068967154333
2,20,2.99,-7.40112749623009
2,20,3,-7.60541194584327
2,20,3.01,-7.81340627196463
2,20,3.02,-8.02495998002283
2,20,3.03,-8.23991164649721
2,20,3.04,-8.4580902709294
2,20,3.05,-8.6793147346814
2,20,3.06,-8.90339105018678
2,20,3.07,-9.13010724722711
2,20,3.08,-9.35922594812979
2,20,3.09,-9.59047491331218
2,20,3.1,-9.82353606590045
2,20,3.11,-10.0580336996156
2,20,3.12,-10.2935227112746
2,20,3.13,-10.5294777609941
2,20,3.14,-10.7652842457931
2,20,3.15,-11.0002318857904
2,20,3.16,-11.2335115867506
2,20,3.17,-11.4642160821663
2,20,3.18,-11.6913446925968
2,20,3.19,-11.9138123806228
2,20,3.2,-12.1304631261517
2,20,3.21,-12.340087489244
2,20,3.22,-12.5414440527452
2,20,3.23,-12.7332842352217
2,20,3.24,-12.9143797371437
2,20,3.25,-13.083551645678
2,20,3.26,-13.2397000051927
2,20,3.27,-13.3818324981948
2,20,3.28,-13.5090908083214
2,20,3.29,-13.620773272464
2,20,3.3,-13.7163525715732
2,20,3.31,-13.7954874388787
2,20,3.32,-13.8580276547465
2,20,3.33,-13.9040119434203
2,20,3.34,-13.9336588339371
2,20,3.35,-13.9473512213387
2,20,3.36,-13.9456164723438
2,20,3.37,-13.9291056606584
2,20,3.38,-13.8985777671045
2,20,3.39,-13.8548963234403
2,20,3.4,-13.7990441724623
2,20,3.41,-13.7321529332066
2,20,3.42,-13.6555273662218
2,20,3.43,-13.5706321454817
2,20,3.44,-13.4790187381017
2,20,3.45,-13.3822070056952
2,20,3.46,-13.2815701960483
2,20,3.47,-13.1782686128254
2,20,3.48,-13.0732418675118
2,20,3.49,-12.9672385130694
2,20,3.5,-12.8608559594034
2,20,3.51,-12.7545747625274
2,20,3.52,-12.6487838155242
2,20,3.53,-12.5437993221344
2,20,3.54,-12.4398813252091
2,20,3.55,-12.3372498658929
2,20,3.56,-12.2361006856415
2,20,3.57,-12.1366187843731
2,20,3.58,-12.0389875241338
2,20,3.59,-11.9433914297978
2,20,3.6,-11.8500122485208
2,20,3.61,-11.7590197338222
2,20,3.62,-11.6705602680239
2,20,3.63,-11.5847470241529
2,20,3.64,-11.5016544680134
2,20,3.65,-11.4213179320402
2,20,3.66,-11.3437367910383
2,20,3.67,-11.2688786276552
2,20,3.68,-11.1966822388227
2,20,3.69,-11.1270588529056
2,20,3.7,-11.0598921684191
2,20,3.71,-10.9950376930022
2,20,3.72,-10.9323211568196
2,20,3.73,-10.8715416882597
2,20,3.74,-10.8125318526004
2,20,3.75,-10.7555588312552
2,20,3.76,-10.7030660410117
2,20,3.77,-10.6620340390053
2,20,3.78,-10.6330481928985
2,20,3.79,-10.6036409428156
2,20,3.8,-10.5711773423083
2,20,3.81,-10.5389599582211
2,20,3.82,-10.5089146816874
2,20,3.83,-10.4817159691602
2,20,3.84,-10.4575318563996
2,20,3.85,-10.4363501262014
2,20,3.86,-10.418097176247
2,20,3.87,-10.4026788900809
2,20,3.88,-10.3899919760158
2,20,3.89,-10.3799238342826
2,20,3.9,-10.3723483191651
2,20,3.91,-10.3671207317407
2,20,3.92,-10.3640737154908
2,20,3.93,-10.363015011056
2,20,3.94,-10.3637277329844
2,20,3.95,-10.3659737236202
2,20,3.96,-10.3695004789456
2,20,3.97,-10.3740520251213
2,20,3.98,-10.3793838638239
2,20,3.99,-10.3852816242431
2,20,4,-10.3915823150176
2,20,4.01,-10.3981960781361
2,20,4.02,-10.4051252310608
2,20,4.03,-10.4124764051886
2,20,4.04,-10.4204611496952
2,20,4.05,-10.4293809383641
2,20,4.06,-10.439594463317
2,20,4.07,-10.4514684602936
2,20,4.08,-10.4653175748041
2,20,4.09,-10.4813428418878
2,20,4.1,-10.4995807584277
2,20,4.11,-10.5198744062389
2,20,4.12,-10.5418741908531
2,20,4.13,-10.5650692785907
2,20,4.14,-10.588843633603
2,20,4.15,-10.612544984966
2,20,4.16,-10.6355528574252
2,20,4.17,-10.6573334642548
2,20,4.18,-10.6774738648193
2,20,4.19,-10.6956935184518
2,20,4.2,-10.7118363515002
2,20,4.21,-10.7258494799908
2,20,4.22,-10.7377555101101
2,20,4.23,-10.7476243502266
2,20,4.24,-10.7555485489751
2,20,4.25,-10.7616241260463
2,20,4.26,-10.7659372181383
2,20,4.27,-10.7685558346778
2,20,4.28,-10.7695255730341
2,20,4.29,-10.7688681183228
2,20,4.3,-10.7665815582279
2,20,4.31,-10.7626418225801
2,20,4.32,-10.7570048121843
2,20,4.33,-10.7496089671587
2,20,4.34,-10.7403781359304
2,20,4.35,-10.7292246570444
2,20,4.36,-10.7160525790298
2,20,4.37,-10.7007609388852
2,20,4.38,-10.6832470117283
2,20,4.39,-10.6634094409039
2,20,4.4,-10.6411511622983
2,20,4.41,-10.6163820483017
2,20,4.42,-10.5890212136196
2,20,4.43,-10.5589989443055
2,20,4.44,-10.5262582305945
2,20,4.45,-10.490755901604
