"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
2,3.8,0,-20,7.23739337949896
2,3.8,0,-19,7.3076364291205
2,3.8,0,-18,7.37303525989988
2,3.8,0,-17,7.42911678103156
2,3.8,0,-16,7.47232277728175
2,3.8,0,-15,7.50050149718162
2,3.8,0,-14,7.51322407139875
2,3.8,0,-13,7.51190162885115
2,3.8,0,-12,7.49968424180299
2,3.8,0,-11,7.48112622750896
2,3.8,0,-10,7.46161788450022
2,3.8,0,-9,7.44662220690262
2,3.8,0,-8,7.44081490974376
2,3.8,0,-7,7.44728652554822
2,3.8,0,-6,7.46699099074792
2,3.8,0,-5,7.49858649501948
2,3.8,0,-4,7.53871370604895
2,3.8,0,-3,7.58263488516803
2,3.8,0,-2,7.62507012216972
2,3.8,0,-1,7.66104613265864
2,3.8,0,0,7.68661101167588
2,3.8,0,1,7.69933148397572
2,3.8,0,2,7.6985449120912
2,3.8,0,3,7.68537151954717
2,3.8,0,4,7.66250584451025
2,3.8,0,5,7.63381280068012
2,3.8,0,6,7.60376558697457
2,3.8,0,7,7.57678602438043
2,3.8,0,8,7.55657791848398
2,3.8,0,9,7.54556573579093
2,3.8,0,10,7.54454619297723
2,3.8,0,11,7.5526203898926
2,3.8,0,12,7.56740832702785
2,3.8,0,13,7.58548112751195
2,3.8,0,14,7.60290509839718
2,3.8,0,15,7.61578758546521
2,3.8,0,16,7.62074044923513
2,3.8,0,17,7.61521537930646
2,3.8,0,18,7.59769970439329
2,3.8,0,19,7.5677833133657
2,3.8,0,20,7.52611636814113
2,3.8,0,21,7.4742779518056
2,3.8,0,22,7.41457306633329
2,3.8,0,23,7.34977379793925
2,3.8,0,24,7.28282229278639
2,3.8,0,25,7.21651842550543
2,3.8,0,26,7.15322155895367
2,3.8,0,27,7.09460001991734
2,3.8,0,28,7.04146025832896
2,3.8,0,29,6.99367828693762
2,3.8,0,30,6.95024015190232
2,3.8,0,31,6.9093800327255
2,3.8,0,32,6.86878945684827
2,3.8,0,33,6.82586312394455
2,3.8,0,34,6.77794713456011
2,3.8,0,35,6.72256223973912
2,3.8,0,36,6.65758470073715
2,3.8,0,37,6.58137715681971
2,3.8,0,38,6.49286938969976
2,3.8,0,39,6.39159331103023
2,3.8,0,40,6.27767823518724
2,3.8,0,41,6.15181243758192
2,3.8,0,42,6.01517615058458
2,3.8,0,43,5.86935036569308
2,3.8,0,44,5.71620565944673
2,3.8,0,45,5.55777598205187
2,3.8,0,46,5.39612384448047
2,3.8,0,47,5.23320519812674
2,3.8,0,48,5.07074386992849
2,3.8,0,49,4.91012596992916
2,3.8,0,50,4.75232366222422
2,3.8,0,51,4.5978549141444
2,3.8,0,52,4.44678166763374
2,3.8,0,53,4.2987441300118
2,3.8,0,54,4.15302458751073
2,3.8,0,55,4.00863119877973
2,3.8,0,56,3.86439110633492
2,3.8,0,57,3.71904287466623
2,3.8,0,58,3.57132026743142
2,3.8,0,59,3.42002205384706
2,3.8,0,60,3.264065252182
2,3.8,0,61,3.10252151986077
2,3.8,0,62,2.93463805689796
2,3.8,0,63,2.75984537217886
2,3.8,0,64,2.57775466938187
2,3.8,0,65,2.38814759708407
2,3.8,0,66,2.19096083505446
2,3.8,0,67,1.98626758813604
2,3.8,0,68,1.77425762487699
2,3.8,0,69,1.55521708852483
2,3.8,0,70,1.32950895291242
2,3.8,0,71,1.09755470521768
2,3.8,0,72,0.859817609789984
2,3.8,0,73,0.616787734423147
2,3.8,0,74,0.368968792745278
2,3.8,0,75,0.116866764115324
2,3.8,0,76,-0.139019812770174
2,3.8,0,77,-0.398208021029367
2,3.8,0,78,-0.660237398997771
2,3.8,0,79,-0.924675620114165
2,3.8,0,80,-1.19112322018334
2,3.8,0,81,-1.45921757082561
2,3.8,0,82,-1.7286362878399
2,3.8,0,83,-1.99910024549776
2,3.8,0,84,-2.27037634260533
2,3.8,0,85,-2.54228013358898
2,3.8,0,86,-2.81467839793459
2,3.8,0,87,-3.08749167416517
2,3.8,0,88,-3.36069673041636
2,3.8,0,89,-3.63432888297238
2,3.8,0,90,-3.90848400747322
2,3.8,0,91,-4.18332001575197
2,3.8,0,92,-4.45905749553515
2,3.8,0,93,-4.73597913195396
2,3.8,0,94,-5.01442745075272
2,3.8,0,95,-5.29480034553811
2,3.8,0,96,-5.57754377854731
2,3.8,0,97,-5.86314098091911
2,3.8,0,98,-6.15209743174237
2,3.8,0,99,-6.44492087729695
2,3.8,0,100,-6.74209568249016
2,3.8,0,101,-7.04405091664475
2,3.8,0,102,-7.35112181306819
2,3.8,0,103,-7.66350467531896
2,3.8,0,104,-7.98120602664182
2,3.8,0,105,-8.30398792850632
2,3.8,0,106,-8.63131305113535
2,3.8,0,107,-8.96229534984247
2,3.8,0,108,-9.29566505841163
2,3.8,0,109,-9.62975988761068
2,3.8,0,110,-9.96255714688024
2,3.8,0,111,-10.2917627913337
2,3.8,0,112,-10.6149714311839
2,3.8,0,113,-10.9299043076229
2,3.8,0,114,-11.2347191061097
2,3.8,0,115,-11.5283672882656
2,3.8,0,116,-11.8109555081858
2,3.8,0,117,-12.0840544822677
2,3.8,0,118,-12.3508983974338
2,3.8,0,119,-12.6164336306503
2,3.8,0,120,-12.8872032209099
2,3.8,0,121,-13.1710826926726
2,3.8,0,122,-13.4769009920231
2,3.8,0,123,-13.8139784236126
2,3.8,0,124,-14.1915884233238
2,3.8,0,125,-14.6183025799668
2,3.8,0,126,-15.1011092796137
2,3.8,0,127,-15.6441053187417
2,3.8,0,128,-16.2464555897489
2,3.8,0,129,-16.8992553564674
2,3.8,0,130,-17.5811165484387
2,3.8,0,131,-18.2532423972239
2,3.8,0,132,-18.8571820444995
2,3.8,0,133,-19.3218584904346
2,3.8,0,134,-19.5856364165417
2,3.8,0,135,-19.6263214465137
2,3.8,0,136,-19.4757993278697
2,3.8,0,137,-19.2048218210152
2,3.8,0,138,-18.8926868482383
2,3.8,0,139,-18.6048615536115
2,3.8,0,140,-18.385207647889
2,3.8,0,141,-18.2566888465248
2,3.8,0,142,-18.2236630742137
2,3.8,0,143,-18.2723498028758
2,3.8,0,144,-18.3690851684146
2,3.8,0,145,-18.4587492628584
2,3.8,0,146,-18.4691492314952
2,3.8,0,147,-18.3283985575617
2,3.8,0,148,-17.9938293846631
2,3.8,0,149,-17.473786821359
2,3.8,0,150,-16.8221656961244
2,3.8,0,151,-16.1111295253637
2,3.8,0,152,-15.4052774600305
2,3.8,0,153,-14.7499756696419
2,3.8,0,154,-14.1709354160973
2,3.8,0,155,-13.6781123044557
2,3.8,0,156,-13.2697985254457
2,3.8,0,157,-12.9357033491486
2,3.8,0,158,-12.6592540355613
2,3.8,0,159,-12.4198016750355
2,3.8,0,160,-12.1953596013397
2,3.8,0,161,-11.9660654249636
2,3.8,0,162,-11.7178302368235
2,3.8,0,163,-11.4449946668306
2,3.8,0,164,-11.1508349716328
2,3.8,0,165,-10.8456431079671
2,3.8,0,166,-10.5432310021329
2,3.8,0,167,-10.2572230636759
2,3.8,0,168,-9.99818955833719
2,3.8,0,169,-9.77201755646013
2,3.8,0,170,-9.57943799269937
2,3.8,0,171,-9.41647746864129
2,3.8,0,172,-9.27564577267174
2,3.8,0,173,-9.14771113454025
2,3.8,0,174,-9.02383932914024
2,3.8,0,175,-8.89769345192736
2,3.8,0,176,-8.76694944883879
2,3.8,0,177,-8.63375526194558
2,3.8,0,178,-8.50399465132554
2,3.8,0,179,-8.38564076831717
2,3.8,0,180,-8.28674665161494
