"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,90,-180,-4.03400858899388
2,4.3,90,-179,-5.39082954177477
2,4.3,90,-178,-7.49471587676378
2,4.3,90,-177,-10.2551498998504
2,4.3,90,-176,-12.1174702464855
2,4.3,90,-175,-10.5805401242365
2,4.3,90,-174,-7.88120671576672
2,4.3,90,-173,-5.79235409305078
2,4.3,90,-172,-4.45796906239877
2,4.3,90,-171,-3.78135927334089
2,4.3,90,-170,-3.69536265966185
2,4.3,90,-169,-4.18517195681955
2,4.3,90,-168,-5.288395286693
2,4.3,90,-167,-7.09219638976446
2,4.3,90,-166,-9.65489478020801
2,4.3,90,-165,-12.3384951362335
2,4.3,90,-164,-12.3738930420617
2,4.3,90,-163,-9.79544141026852
2,4.3,90,-162,-7.34920795213934
2,4.3,90,-161,-5.64602400968579
2,4.3,90,-160,-4.61656382844255
2,4.3,90,-159,-4.16255062673555
2,4.3,90,-158,-4.23092614436936
2,4.3,90,-157,-4.81431844907176
2,4.3,90,-156,-5.95174942924823
2,4.3,90,-155,-7.73728224053961
2,4.3,90,-154,-10.3155453352805
2,4.3,90,-153,-13.6269314722171
2,4.3,90,-152,-15.6454880814468
2,4.3,90,-151,-13.6364498929187
2,4.3,90,-150,-10.8476960328038
2,4.3,90,-149,-8.85669813123398
2,4.3,90,-148,-7.64971332434419
2,4.3,90,-147,-7.09614776072298
2,4.3,90,-146,-7.12968455110168
2,4.3,90,-145,-7.75641622908212
2,4.3,90,-144,-9.07261572573054
2,4.3,90,-143,-11.343744659551
2,4.3,90,-142,-15.32448866651
2,4.3,90,-141,-24.5976471607025
2,4.3,90,-140,-24.0875070689481
2,4.3,90,-139,-14.7382796157934
2,4.3,90,-138,-10.4647722921959
2,4.3,90,-137,-7.82276087994107
2,4.3,90,-136,-6.04954506030136
2,4.3,90,-135,-4.85021480607542
2,4.3,90,-134,-4.08237045386453
2,4.3,90,-133,-3.66984782641809
2,4.3,90,-132,-3.57110454167117
2,4.3,90,-131,-3.76515483685142
2,4.3,90,-130,-4.24331566079805
2,4.3,90,-129,-5.00004217405511
2,4.3,90,-128,-6.01296922171482
2,4.3,90,-127,-7.19021356443304
2,4.3,90,-126,-8.25562394070274
2,4.3,90,-125,-8.67090175205451
2,4.3,90,-124,-8.02637614154398
2,4.3,90,-123,-6.59790516540063
2,4.3,90,-122,-4.93808665747751
2,4.3,90,-121,-3.36400153316489
2,4.3,90,-120,-1.97773594638211
2,4.3,90,-119,-0.790821619556636
2,4.3,90,-118,0.213268876004939
2,4.3,90,-117,1.05680784143907
2,4.3,90,-116,1.76094450164173
2,4.3,90,-115,2.34403701628605
2,4.3,90,-114,2.82161559393332
2,4.3,90,-113,3.20678777818081
2,4.3,90,-112,3.51070344353775
2,4.3,90,-111,3.7429683022888
2,4.3,90,-110,3.91198443634481
2,4.3,90,-109,4.02522396219
2,4.3,90,-108,4.0894484018004
2,4.3,90,-107,4.11088593420011
2,4.3,90,-106,4.09537638107477
2,4.3,90,-105,4.04849116191211
2,4.3,90,-104,3.97563298946629
2,4.3,90,-103,3.88211781876252
2,4.3,90,-102,3.77323946639501
2,4.3,90,-101,3.65431536087757
2,4.3,90,-100,3.53071014062523
2,4.3,90,-99,3.40783249036795
2,4.3,90,-98,3.29110005910922
2,4.3,90,-97,3.18586801382526
2,4.3,90,-96,3.09731923786245
2,4.3,90,-95,3.0303186478542
2,4.3,90,-94,2.98924032779425
2,4.3,90,-93,2.97778314208523
2,4.3,90,-92,2.99879638519075
2,4.3,90,-91,3.05413967603556
2,4.3,90,-90,3.14459899103281
2,4.3,90,-89,3.26987311690571
2,4.3,90,-88,3.42863342490598
2,4.3,90,-87,3.61864773280823
2,4.3,90,-86,3.8369494520204
2,4.3,90,-85,4.08002850589429
2,4.3,90,-84,4.34402113404081
2,4.3,90,-83,4.62488046315334
2,4.3,90,-82,4.91851653814131
2,4.3,90,-81,5.22090132476496
2,4.3,90,-80,5.52813963510118
2,4.3,90,-79,5.8365104314966
2,4.3,90,-78,6.14248462396801
2,4.3,90,-77,6.44272573257593
2,4.3,90,-76,6.73407917138693
2,4.3,90,-75,7.01355488383464
2,4.3,90,-74,7.27830694575343
2,4.3,90,-73,7.52561274416056
2,4.3,90,-72,7.75285352658564
2,4.3,90,-71,7.9574975208836
2,4.3,90,-70,8.13708643704203
2,4.3,90,-69,8.28922595451321
2,4.3,90,-68,8.41158074417537
2,4.3,90,-67,8.50187465233408
2,4.3,90,-66,8.55789687343268
2,4.3,90,-65,8.57751525606891
2,4.3,90,-64,8.55869832923174
2,4.3,90,-63,8.49954821220165
2,4.3,90,-62,8.39834728803399
2,4.3,90,-61,8.2536223622247
2,4.3,90,-60,8.06423092812733
2,4.3,90,-59,7.82947494127849
2,4.3,90,-58,7.54924777538643
2,4.3,90,-57,7.22421902563645
2,4.3,90,-56,6.85605816490904
2,4.3,90,-55,6.447689521081
2,4.3,90,-54,6.003554518288
2,4.3,90,-53,5.52982932686907
2,4.3,90,-52,5.03450599648944
2,4.3,90,-51,4.52719939875853
2,4.3,90,-50,4.01851260572132
2,4.3,90,-49,3.51882007965863
2,4.3,90,-48,3.03645541856051
2,4.3,90,-47,2.57552060265641
2,4.3,90,-46,2.13377201857044
2,4.3,90,-45,1.70110396019161
2,4.3,90,-44,1.25890690865257
2,4.3,90,-43,0.780088757679012
2,4.3,90,-42,0.22904290151633
2,4.3,90,-41,-0.439522988381289
2,4.3,90,-40,-1.2843998029475
2,4.3,90,-39,-2.38697735783681
2,4.3,90,-38,-3.87198551137587
2,4.3,90,-37,-5.95906648805201
2,4.3,90,-36,-9.1189336669452
2,4.3,90,-35,-14.745033296245
2,4.3,90,-34,-25.0786612090451
2,4.3,90,-33,-13.5483560349193
2,4.3,90,-32,-7.88150145714871
2,4.3,90,-31,-4.49251593673381
2,4.3,90,-30,-2.17418313662119
2,4.3,90,-29,-0.519051850803065
2,4.3,90,-28,0.650535256730781
2,4.3,90,-27,1.4195916962704
2,4.3,90,-26,1.825383773412
2,4.3,90,-25,1.87350573811207
2,4.3,90,-24,1.54101385376143
2,4.3,90,-23,0.769270699471022
2,4.3,90,-22,-0.55966546626782
2,4.3,90,-21,-2.68927517320741
2,4.3,90,-20,-6.21261218700631
2,4.3,90,-19,-13.2742549854045
2,4.3,90,-18,-19.6985875726669
2,4.3,90,-17,-8.25192694946616
2,4.3,90,-16,-3.50548401977677
2,4.3,90,-15,-0.723517642102988
2,4.3,90,-14,1.03687969501068
2,4.3,90,-13,2.10496787794573
2,4.3,90,-12,2.61725548459524
2,4.3,90,-11,2.62064221390346
2,4.3,90,-10,2.10001703914086
2,4.3,90,-9,0.971519675673872
2,4.3,90,-8,-0.966412763814118
2,4.3,90,-7,-4.1994456541232
2,4.3,90,-6,-10.1395801931957
2,4.3,90,-5,-15.4623149533948
2,4.3,90,-4,-6.91381272715412
2,4.3,90,-3,-2.27900036747272
2,4.3,90,-2,0.44861375228663
2,4.3,90,-1,2.13833134901712
2,4.3,90,0,3.11570614538508
2,4.3,90,1,3.51818890200798
2,4.3,90,2,3.39307217715175
2,4.3,90,3,2.72483300986421
2,4.3,90,4,1.43062053638509
2,4.3,90,5,-0.673959678445988
2,4.3,90,6,-3.92610693428422
2,4.3,90,7,-8.20635402469239
2,4.3,90,8,-7.89080669824694
2,4.3,90,9,-3.53659681924866
2,4.3,90,10,-0.307830292036034
2,4.3,90,11,1.81300751951864
2,4.3,90,12,3.15885976414328
2,4.3,90,13,3.91386659929191
2,4.3,90,14,4.16982093728138
2,4.3,90,15,3.96390359423228
2,4.3,90,16,3.29587765205
2,4.3,90,17,2.13922965303611
2,4.3,90,18,0.472778744670854
2,4.3,90,19,-1.56372719107896
2,4.3,90,20,-3.1258742599437
2,4.3,90,21,-2.6772535303358
