"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,90,-180,-17.0545292321562
2,4.3,90,-179,-15.9450026279561
2,4.3,90,-178,-15.6050622432704
2,4.3,90,-177,-15.9550261659643
2,4.3,90,-176,-17.0262350536606
2,4.3,90,-175,-18.977922741091
2,4.3,90,-174,-22.2074517996421
2,4.3,90,-173,-27.526234172382
2,4.3,90,-172,-30.5935918400361
2,4.3,90,-171,-25.0102361654903
2,4.3,90,-170,-21.2873691523047
2,4.3,90,-169,-19.2184907665346
2,4.3,90,-168,-18.2195163871849
2,4.3,90,-167,-18.0617758035693
2,4.3,90,-166,-18.70242487598
2,4.3,90,-165,-20.2518050518721
2,4.3,90,-164,-23.0416400677722
2,4.3,90,-163,-27.6110893412083
2,4.3,90,-162,-29.6588065261959
2,4.3,90,-161,-24.4295848659847
2,4.3,90,-160,-20.4633063700394
2,4.3,90,-159,-17.9346650612679
2,4.3,90,-158,-16.3313764516167
2,4.3,90,-157,-15.3978077118652
2,4.3,90,-156,-15.0119223149653
2,4.3,90,-155,-15.1249797454016
2,4.3,90,-154,-15.7417781165103
2,4.3,90,-153,-16.9251346165457
2,4.3,90,-152,-18.8302584073053
2,4.3,90,-151,-21.8099800541477
2,4.3,90,-150,-26.712454688112
2,4.3,90,-149,-32.6270875571673
2,4.3,90,-148,-26.895646105408
2,4.3,90,-147,-22.0577410665422
2,4.3,90,-146,-19.1253141740556
2,4.3,90,-145,-17.2226984049867
2,4.3,90,-144,-15.9691993546289
2,4.3,90,-143,-15.1754627813434
2,4.3,90,-142,-14.7315240632992
2,4.3,90,-141,-14.562716559178
2,4.3,90,-140,-14.6081484703806
2,4.3,90,-139,-14.8075366126698
2,4.3,90,-138,-15.0924348862523
2,4.3,90,-137,-15.3833363262936
2,4.3,90,-136,-15.5976031209287
2,4.3,90,-135,-15.6705487047794
2,4.3,90,-134,-15.5794005818418
2,4.3,90,-133,-15.3499672502451
2,4.3,90,-132,-15.0388879409241
2,4.3,90,-131,-14.7071073165545
2,4.3,90,-130,-14.4021455922939
2,4.3,90,-129,-14.1526296068188
2,4.3,90,-128,-13.9697764716226
2,4.3,90,-127,-13.8507319102766
2,4.3,90,-126,-13.7815579948716
2,4.3,90,-125,-13.7397390291547
2,4.3,90,-124,-13.6970149337681
2,4.3,90,-123,-13.6234584479123
2,4.3,90,-122,-13.4930019326474
2,4.3,90,-121,-13.2892261604657
