"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,90,-180,-14.4353137526052
2,4.3,90,-179,-14.8419530941384
2,4.3,90,-178,-15.9684625757686
2,4.3,90,-177,-18.051386301811
2,4.3,90,-176,-21.7089810360108
2,4.3,90,-175,-28.5036406218525
2,4.3,90,-174,-27.5881265370566
2,4.3,90,-173,-20.7012071958881
2,4.3,90,-172,-16.7855245267745
2,4.3,90,-171,-14.3143576622295
2,4.3,90,-170,-12.6896874805234
2,4.3,90,-169,-11.6521094547341
2,4.3,90,-168,-11.0700644280256
2,4.3,90,-167,-10.8702437188269
2,4.3,90,-166,-11.0094160509413
2,4.3,90,-165,-11.4601904877026
2,4.3,90,-164,-12.2005490155551
2,4.3,90,-163,-13.2006172685596
2,4.3,90,-162,-14.3990119285445
2,4.3,90,-161,-15.6615178668704
2,4.3,90,-160,-16.7400562369572
2,4.3,90,-159,-17.3308308389874
2,4.3,90,-158,-17.3082180763683
2,4.3,90,-157,-16.8511499232135
2,4.3,90,-156,-16.2406792423065
2,4.3,90,-155,-15.6645339099421
2,4.3,90,-154,-15.2006269032066
2,4.3,90,-153,-14.8633387610985
2,4.3,90,-152,-14.6396995675081
2,4.3,90,-151,-14.5091126448644
2,4.3,90,-150,-14.4535473991439
2,4.3,90,-149,-14.4625606884271
2,4.3,90,-148,-14.5348231322744
2,4.3,90,-147,-14.6769928158713
2,4.3,90,-146,-14.9009025804535
2,4.3,90,-145,-15.2200987410553
2,4.3,90,-144,-15.6463754643556
2,4.3,90,-143,-16.1862591951749
2,4.3,90,-142,-16.8367518602515
2,4.3,90,-141,-17.5793583857114
2,4.3,90,-140,-18.3721537211098
2,4.3,90,-139,-19.1429646114347
2,4.3,90,-138,-19.7939031353285
2,4.3,90,-137,-20.2315922863641
2,4.3,90,-136,-20.4179485778792
2,4.3,90,-135,-20.398793664302
2,4.3,90,-134,-20.2784272917295
2,4.3,90,-133,-20.1701424340301
2,4.3,90,-132,-20.166613093885
2,4.3,90,-131,-20.3370434059594
2,4.3,90,-130,-20.7374164423649
2,4.3,90,-129,-21.4242067732258
2,4.3,90,-128,-22.4701307319351
2,4.3,90,-127,-23.9857948984767
2,4.3,90,-126,-26.1522342447097
2,4.3,90,-125,-29.221755389994
2,4.3,90,-124,-32.7378536655893
2,4.3,90,-123,-32.0833995752321
2,4.3,90,-122,-28.0082967258638
2,4.3,90,-121,-24.5885355960279
2,4.3,90,-120,-22.0167624676741
2,4.3,90,-119,-20.0339127741125
2,4.3,90,-118,-18.4635468188777
2,4.3,90,-117,-17.1971434026709
2,4.3,90,-116,-16.1652492614097
