"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,90,-180,-4.15311452755808
2,4.3,90,-179,-5.59463914310294
2,4.3,90,-178,-7.80386486567259
2,4.3,90,-177,-10.6382456848096
2,4.3,90,-176,-12.2402040702688
2,4.3,90,-175,-10.3539957476159
2,4.3,90,-174,-7.63768907967832
2,4.3,90,-173,-5.61273269288472
2,4.3,90,-172,-4.3443410456439
2,4.3,90,-171,-3.72864239699905
2,4.3,90,-170,-3.7019228914539
2,4.3,90,-169,-4.25461262041905
2,4.3,90,-168,-5.43099142675129
2,4.3,90,-167,-7.32588981893859
2,4.3,90,-166,-9.98834582945752
2,4.3,90,-165,-12.6171771199582
2,4.3,90,-164,-12.2592538258807
2,4.3,90,-163,-9.55305886739912
2,4.3,90,-162,-7.15249150451793
2,4.3,90,-161,-5.51353428652828
2,4.3,90,-160,-4.54379315050111
2,4.3,90,-159,-4.14591158903051
2,4.3,90,-158,-4.27107611658531
2,4.3,90,-157,-4.91742953355212
2,4.3,90,-156,-6.1322012276331
2,4.3,90,-155,-8.02389814366852
2,4.3,90,-154,-10.7616245276597
2,4.3,90,-153,-14.2635059903864
2,4.3,90,-152,-16.0094092756966
2,4.3,90,-151,-13.5266090844667
2,4.3,90,-150,-10.6823883896414
2,4.3,90,-149,-8.73682341793496
2,4.3,90,-148,-7.58720110613877
2,4.3,90,-147,-7.09213442901286
2,4.3,90,-146,-7.1878456183384
2,4.3,90,-145,-7.8874117413574
2,4.3,90,-144,-9.30098991965658
2,4.3,90,-143,-11.7288602567673
2,4.3,90,-142,-16.0554168542195
2,4.3,90,-141,-27.1647958263185
2,4.3,90,-140,-22.1164172293859
2,4.3,90,-139,-14.0083086591192
2,4.3,90,-138,-10.0287638955501
2,4.3,90,-137,-7.5251771790348
2,4.3,90,-136,-5.83663862851811
2,4.3,90,-135,-4.69711006206732
2,4.3,90,-134,-3.97543231626826
2,4.3,90,-133,-3.60051453087873
2,4.3,90,-132,-3.53299913129198
2,4.3,90,-131,-3.7520666877378
2,4.3,90,-130,-4.24679804601563
2,4.3,90,-129,-5.00520315193998
2,4.3,90,-128,-5.99024047525686
2,4.3,90,-127,-7.08212501841882
2,4.3,90,-126,-7.97573723795806
2,4.3,90,-125,-8.17699756981024
2,4.3,90,-124,-7.42151068649035
2,4.3,90,-123,-6.02399900920932
2,4.3,90,-122,-4.45299504052325
2,4.3,90,-121,-2.9685401436661
2,4.3,90,-120,-1.65737029160072
2,4.3,90,-119,-0.530947495856922
2,4.3,90,-118,0.424185378825897
2,4.3,90,-117,1.2273641482111
2,4.3,90,-116,1.8974997012023
2,4.3,90,-115,2.45133861731066
2,4.3,90,-114,2.90326246229907
2,4.3,90,-113,3.26555513297153
2,4.3,90,-112,3.54876933391097
2,4.3,90,-111,3.76207306226262
2,4.3,90,-110,3.91354515262726
2,4.3,90,-109,4.01041879806244
2,4.3,90,-108,4.05928072829139
2,4.3,90,-107,4.06623500326496
2,4.3,90,-106,4.03703916400574
2,4.3,90,-105,3.97721855873681
2,4.3,90,-104,3.89216261141799
2,4.3,90,-103,3.78720476412511
2,4.3,90,-102,3.6676858159755
2,4.3,90,-101,3.53899842126339
2,4.3,90,-100,3.40660871075687
2,4.3,90,-99,3.27604962165378
2,4.3,90,-98,3.15287999392102
2,4.3,90,-97,3.04260438029674
2,4.3,90,-96,2.95055138897869
2,4.3,90,-95,2.88171352912857
2,4.3,90,-94,2.84055863534238
2,4.3,90,-93,2.83083076940237
2,4.3,90,-92,2.85536489638888
2,4.3,90,-91,2.91594210019735
2,4.3,90,-90,3.01320878209738
2,4.3,90,-89,3.14667403850517
2,4.3,90,-88,3.31478628637396
2,4.3,90,-87,3.51507682132062
2,4.3,90,-86,3.74434808867369
2,4.3,90,-85,3.99888033224194
2,4.3,90,-84,4.27463210456041
2,4.3,90,-83,4.56741619061915
2,4.3,90,-82,4.87304033180375
2,4.3,90,-81,5.18740951419379
2,4.3,90,-80,5.50659214705957
2,4.3,90,-79,5.82685578317755
2,4.3,90,-78,6.14467937360946
2,4.3,90,-77,6.45674897254684
2,4.3,90,-76,6.75994291469441
2,4.3,90,-75,7.05131126303587
2,4.3,90,-74,7.32805309021055
2,4.3,90,-73,7.58749408757058
2,4.3,90,-72,7.82706616266958
2,4.3,90,-71,8.0442900954078
2,4.3,90,-70,8.23676195116254
2,4.3,90,-69,8.40214376192141
2,4.3,90,-68,8.53815895191229
2,4.3,90,-67,8.64259307877514
2,4.3,90,-66,8.71330067125972
2,4.3,90,-65,8.74821926565858
2,4.3,90,-64,8.74539217884658
2,4.3,90,-63,8.70300211150577
2,4.3,90,-62,8.61941834969534
2,4.3,90,-61,8.49326110082857
2,4.3,90,-60,8.3234872786458
2,4.3,90,-59,8.10950264253372
2,4.3,90,-58,7.85130518697222
2,4.3,90,-57,7.54966328894941
2,4.3,90,-56,7.20632801317694
2,4.3,90,-55,6.82427006660027
2,4.3,90,-54,6.40791544159216
2,4.3,90,-53,5.96332722877883
2,4.3,90,-52,5.49824450771931
2,4.3,90,-51,5.02185023222507
2,4.3,90,-50,4.54411982655875
2,4.3,90,-49,4.07463683682443
2,4.3,90,-48,3.62088638207819
2,4.3,90,-47,3.18624450631027
2,4.3,90,-46,2.76808112220078
2,4.3,90,-45,2.35643068206046
2,4.3,90,-44,1.93345396191079
