"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,90,-180,-22.3584730164894
2,4.3,90,-179,-23.9804873743139
2,4.3,90,-178,-25.2932247467878
2,4.3,90,-177,-24.9610395886214
2,4.3,90,-176,-23.2017383349838
2,4.3,90,-175,-21.3323746677875
2,4.3,90,-174,-19.9153555168009
2,4.3,90,-173,-19.0380268028264
2,4.3,90,-172,-18.6842434112853
2,4.3,90,-171,-18.8383693774209
2,4.3,90,-170,-19.5058864137137
2,4.3,90,-169,-20.7085098450543
2,4.3,90,-168,-22.4348650692096
2,4.3,90,-167,-24.4113163537379
2,4.3,90,-166,-25.5394782329105
2,4.3,90,-165,-24.6587060653283
2,4.3,90,-164,-22.7526004710746
2,4.3,90,-163,-21.0092158014913
2,4.3,90,-162,-19.7480047039538
2,4.3,90,-161,-18.9771213848028
2,4.3,90,-160,-18.6560174794972
2,4.3,90,-159,-18.7528006126484
2,4.3,90,-158,-19.2517375530951
2,4.3,90,-157,-20.1475938353006
2,4.3,90,-156,-21.4241964962627
2,4.3,90,-155,-22.9839207308162
2,4.3,90,-154,-24.45859569847
2,4.3,90,-153,-25.0531168240372
2,4.3,90,-152,-24.2917454626036
2,4.3,90,-151,-22.7849524728874
2,4.3,90,-150,-21.2399313822468
2,4.3,90,-149,-19.9266909492201
2,4.3,90,-148,-18.8863445449811
2,4.3,90,-147,-18.0930625759562
2,4.3,90,-146,-17.5089712072747
2,4.3,90,-145,-17.0989035923674
2,4.3,90,-144,-16.8333797776131
2,4.3,90,-143,-16.6882634818392
2,4.3,90,-142,-16.6433074659435
2,4.3,90,-141,-16.6800157321125
2,4.3,90,-140,-16.7788151034935
2,4.3,90,-139,-16.9156048164776
2,4.3,90,-138,-17.0582402317315
2,4.3,90,-137,-17.1645198006504
2,4.3,90,-136,-17.1845258713593
2,4.3,90,-135,-17.0701238040951
2,4.3,90,-134,-16.7903886991756
2,4.3,90,-133,-16.3446217441532
2,4.3,90,-132,-15.7629727371323
2,4.3,90,-131,-15.0940269841824
2,4.3,90,-130,-14.3888085772183
2,4.3,90,-129,-13.6900647711178
2,4.3,90,-128,-13.0286793284927
2,4.3,90,-127,-12.4246057501315
2,4.3,90,-126,-11.8894243104719
2,4.3,90,-125,-11.4288988057668
2,4.3,90,-124,-11.0449679187297
2,4.3,90,-123,-10.7371239839852
2,4.3,90,-122,-10.5033010074938
2,4.3,90,-121,-10.3404115150217
2,4.3,90,-120,-10.2446430179089
2,4.3,90,-119,-10.2115910658058
2,4.3,90,-118,-10.2362793716438
2,4.3,90,-117,-10.3131002058935
2,4.3,90,-116,-10.4356993197074
2,4.3,90,-115,-10.5968281890905
2,4.3,90,-114,-10.7881919643931
2,4.3,90,-113,-11.0003336417606
2,4.3,90,-112,-11.2226115681543
2,4.3,90,-111,-11.4433426360492
2,4.3,90,-110,-11.6501859246893
2,4.3,90,-109,-11.8308148835912
2,4.3,90,-108,-11.9738572603763
2,4.3,90,-107,-12.0699763211643
2,4.3,90,-106,-12.1128627626722
2,4.3,90,-105,-12.0998675967631
2,4.3,90,-104,-12.0320802024204
2,4.3,90,-103,-11.9138266141171
2,4.3,90,-102,-11.751746983793
2,4.3,90,-101,-11.553714370535
2,4.3,90,-100,-11.3278439358427
2,4.3,90,-99,-11.0817477489784
2,4.3,90,-98,-10.822080314181
2,4.3,90,-97,-10.5543403654879
2,4.3,90,-96,-10.2828584120613
2,4.3,90,-95,-10.010896924816
2,4.3,90,-94,-9.74080456279628
2,4.3,90,-93,-9.47418470777753
2,4.3,90,-92,-9.21205507741299
2,4.3,90,-91,-8.95498713926114
2,4.3,90,-90,-8.70322166341679
2,4.3,90,-89,-8.45676109073608
2,4.3,90,-88,-8.21544156775727
2,4.3,90,-87,-7.97898837736594
2,4.3,90,-86,-7.74705866210053
2,4.3,90,-85,-7.51927514998701
2,4.3,90,-84,-7.29525424445056
2,4.3,90,-83,-7.07463142027452
2,4.3,90,-82,-6.85708640575555
2,4.3,90,-81,-6.6423701242678
2,4.3,90,-80,-6.43033480241536
2,4.3,90,-79,-6.22096801752738
2,4.3,90,-78,-6.01443076229303
2,4.3,90,-77,-5.81109888268497
2,4.3,90,-76,-5.61160656009103
2,4.3,90,-75,-5.41688994750915
2,4.3,90,-74,-5.22822873118897
2,4.3,90,-73,-5.04728336027881
2,4.3,90,-72,-4.87612601818096
2,4.3,90,-71,-4.71726409302913
2,4.3,90,-70,-4.57365586729698
2,4.3,90,-69,-4.44871925669046
2,4.3,90,-68,-4.34633552136684
2,4.3,90,-67,-4.27085078088467
2,4.3,90,-66,-4.22707874249019
2,4.3,90,-65,-4.22030817837945
2,4.3,90,-64,-4.25631822786506
2,4.3,90,-63,-4.34140331862594
2,4.3,90,-62,-4.48240687560601
2,4.3,90,-61,-4.68675785300141
2,4.3,90,-60,-4.96249396135336
2,4.3,90,-59,-5.31823489295351
2,4.3,90,-58,-5.76302649598051
2,4.3,90,-57,-6.30588878607939
2,4.3,90,-56,-6.95471781870232
2,4.3,90,-55,-7.71382055463373
2,4.3,90,-54,-8.57866607614142
