"$Ha [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
2,4.3,90,-180,-13.7971145219686
2,4.3,90,-179,-12.9281508018785
2,4.3,90,-178,-12.6294631357317
2,4.3,90,-177,-12.8778974642288
2,4.3,90,-176,-13.6808008525088
2,4.3,90,-175,-15.0686640915437
2,4.3,90,-174,-17.0306339109264
2,4.3,90,-173,-19.1923693639714
2,4.3,90,-172,-20.110076620928
2,4.3,90,-171,-18.8169983203788
2,4.3,90,-170,-16.8431473403437
2,4.3,90,-169,-15.2662530722859
2,4.3,90,-168,-14.2827395586094
2,4.3,90,-167,-13.8786096869399
2,4.3,90,-166,-14.0360900718285
2,4.3,90,-165,-14.7781280944408
2,4.3,90,-164,-16.1913203343792
2,4.3,90,-163,-18.4633385137142
2,4.3,90,-162,-21.8994764937516
2,4.3,90,-161,-25.8993666128127
2,4.3,90,-160,-24.7479586793714
2,4.3,90,-159,-20.8111726520007
2,4.3,90,-158,-17.998847627662
2,4.3,90,-157,-16.2152187248892
2,4.3,90,-156,-15.1753420717033
2,4.3,90,-155,-14.7148569831241
2,4.3,90,-154,-14.7404904906966
2,4.3,90,-153,-15.1841706816892
2,4.3,90,-152,-15.9490168476582
2,4.3,90,-151,-16.8125195159113
2,4.3,90,-150,-17.3164134329518
2,4.3,90,-149,-16.9588855122148
2,4.3,90,-148,-15.7795865542792
2,4.3,90,-147,-14.2818192165498
2,4.3,90,-146,-12.8544495272096
2,4.3,90,-145,-11.6520276459965
2,4.3,90,-144,-10.7080284338295
2,4.3,90,-143,-10.0129840835897
2,4.3,90,-142,-9.54542550213482
2,4.3,90,-141,-9.28169444135171
2,4.3,90,-140,-9.19790416162104
2,4.3,90,-139,-9.26894099183224
2,4.3,90,-138,-9.46620291077927
2,4.3,90,-137,-9.75489079661103
2,4.3,90,-136,-10.0919073567808
2,4.3,90,-135,-10.4262963606075
2,4.3,90,-134,-10.7047691551109
2,4.3,90,-133,-10.8832611727039
2,4.3,90,-132,-10.9404462447652
2,4.3,90,-131,-10.8846286480001
2,4.3,90,-130,-10.7485834748427
2,4.3,90,-129,-10.5762648908597
2,4.3,90,-128,-10.4100799067936
2,4.3,90,-127,-10.2838398775894
2,4.3,90,-126,-10.2210936730959
2,4.3,90,-125,-10.2363317631005
2,4.3,90,-124,-10.3369638511122
2,4.3,90,-123,-10.5250015455215
2,4.3,90,-122,-10.7980843673576
2,4.3,90,-121,-11.1498090852185
2,4.3,90,-120,-11.5694397366772
2,4.3,90,-119,-12.0411534512187
2,4.3,90,-118,-12.5431327151127
2,4.3,90,-117,-13.0471170852445
2,4.3,90,-116,-13.5194193946752
2,4.3,90,-115,-13.9245389825852
2,4.3,90,-114,-14.2316927677407
2,4.3,90,-113,-14.4225242016649
2,4.3,90,-112,-14.4962528172802
2,4.3,90,-111,-14.4691123383894
2,4.3,90,-110,-14.3684475026909
2,4.3,90,-109,-14.2249977225899
2,4.3,90,-108,-14.0668748308425
2,4.3,90,-107,-13.9165535319602
2,4.3,90,-106,-13.7903280374006
2,4.3,90,-105,-13.6991071183892
2,4.3,90,-104,-13.6496547386779
2,4.3,90,-103,-13.6457963419066
2,4.3,90,-102,-13.6894123274228
2,4.3,90,-101,-13.7811973331676
2,4.3,90,-100,-13.9212259368073
2,4.3,90,-99,-14.1093804109901
2,4.3,90,-98,-14.3456931911456
2,4.3,90,-97,-14.6306497777865
2,4.3,90,-96,-14.9654928889261
2,4.3,90,-95,-15.3525684523688
2,4.3,90,-94,-15.7957605431627
2,4.3,90,-93,-16.3010790052949
2,4.3,90,-92,-16.8774971960971
2,4.3,90,-91,-17.5382028376893
2,4.3,90,-90,-18.3025547772994
2,4.3,90,-89,-19.1993073724016
2,4.3,90,-88,-20.2722568913721
2,4.3,90,-87,-21.5908737571292
2,4.3,90,-86,-23.2721346017997
2,4.3,90,-85,-25.5298641276551
2,4.3,90,-84,-28.7904120836634
2,4.3,90,-83,-33.6784093465807
2,4.3,90,-82,-34.7983603841782
2,4.3,90,-81,-28.8312640883512
2,4.3,90,-80,-24.2824705802348
