"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,45,-4,-19.9422197217028
3.8,45,-3,-27.8083083022664
3.8,45,-2,-28.876613009816
3.8,45,-1,-22.4750370610139
3.8,45,0,-15.8036995848889
3.8,45,1,-9.92389097075562
3.8,45,2,-5.09911720223326
3.8,45,3,-1.1285107777956
3.8,45,4,2.19525609077999
3.8,45,5,5.02108050000757
3.8,45,6,7.4515030273341
3.8,45,7,9.55820534336567
3.8,45,8,11.3926446130118
3.8,45,9,12.9927667683496
3.8,45,10,14.3872422173538
3.8,45,11,15.5981941936417
3.8,45,12,16.6430020526978
3.8,45,13,17.5355241218805
3.8,45,14,18.2869468189235
3.8,45,15,18.9063868101763
3.8,45,16,19.401325848557
3.8,45,17,19.7779295073543
3.8,45,18,20.0412834615979
3.8,45,19,20.1955698451984
3.8,45,20,20.2441989925815
3.8,45,21,20.1899070680785
3.8,45,22,20.0348267980478
3.8,45,23,19.7805361950458
3.8,45,24,19.428088446325
3.8,45,25,18.9780247943728
3.8,45,26,18.4303710968688
3.8,45,27,17.7846176844425
3.8,45,28,17.0396810156624
3.8,45,29,16.1938443289495
3.8,45,30,15.2446728465644
3.8,45,31,14.1888968668988
3.8,45,32,13.022252942824
3.8,45,33,11.7392687413525
3.8,45,34,10.3329702241604
3.8,45,35,8.79447898391322
3.8,45,36,7.11245033371807
3.8,45,37,5.27227449847906
3.8,45,38,3.25491571386301
3.8,45,39,1.0351820451807
3.8,45,40,-1.42092494804234
3.8,45,41,-4.1603806067255
3.8,45,42,-7.24981426502952
3.8,45,43,-10.7859363005135
3.8,45,44,-14.9082717728769
3.8,45,45,-19.7839114104988
3.8,45,46,-25.3013428417095
3.8,45,47,-29.5131567314023
3.8,45,48,-30.3889075701291
3.8,45,49,-30.5133593208415
3.8,45,50,-30.0975672395656
3.8,45,51,-27.7929097887612
3.8,45,52,-24.602073948938
3.8,45,53,-21.7336623115539
3.8,45,54,-19.4184406251918
3.8,45,55,-17.5875777666681
3.8,45,56,-16.1429079366577
3.8,45,57,-15.0043132552228
3.8,45,58,-14.1114948665558
3.8,45,59,-13.4192442710975
3.8,45,60,-12.893116539844
3.8,45,61,-12.5063030582616
3.8,45,62,-12.2374774376805
3.8,45,63,-12.0693158389848
3.8,45,64,-11.9874687545579
3.8,45,65,-11.9798350919089
3.8,45,66,-12.0360412807852
3.8,45,67,-12.1470618758098
3.8,45,68,-12.304939687777
