"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
3.8,45,-180,-33.28344357417
3.8,45,-179,-32.7434518953259
3.8,45,-178,-31.574356502039
3.8,45,-177,-30.0524289798962
3.8,45,-176,-28.5862666630738
3.8,45,-175,-27.4133692805581
3.8,45,-174,-26.6254469240053
3.8,45,-173,-26.2522202387017
3.8,45,-172,-26.3085915952714
3.8,45,-171,-26.8164257488799
3.8,45,-170,-27.8177466635393
3.8,45,-169,-29.3894394432153
3.8,45,-168,-31.6673568853112
3.8,45,-167,-34.8805400067443
3.8,45,-166,-39.2424757727005
3.8,45,-165,-42.9096596258435
3.8,45,-164,-41.2834179521439
3.8,45,-163,-38.8299313564228
3.8,45,-162,-37.5333039732846
3.8,45,-161,-37.0703911916871
3.8,45,-160,-36.8335016253229
3.8,45,-159,-36.0738080862761
3.8,45,-158,-34.5027507384765
3.8,45,-157,-32.5743165174066
3.8,45,-156,-30.7797915734419
3.8,45,-155,-29.3266800760752
3.8,45,-154,-28.2577221131792
3.8,45,-153,-27.5600290335758
3.8,45,-152,-27.2080694734638
3.8,45,-151,-27.1761090930269
3.8,45,-150,-27.4392749216606
3.8,45,-149,-27.9692737639481
3.8,45,-148,-28.7254819528114
3.8,45,-147,-29.6409402204716
3.8,45,-146,-30.6071510424423
3.8,45,-145,-31.4761096253273
3.8,45,-144,-32.1107723811893
3.8,45,-143,-32.4731419552391
3.8,45,-142,-32.6561807993606
3.8,45,-141,-32.8147298135833
3.8,45,-140,-33.0802727729617
3.8,45,-139,-33.5204923587552
3.8,45,-138,-34.1177672902899
3.8,45,-137,-34.7259467797178
3.8,45,-136,-35.0270468946362
3.8,45,-135,-34.6621529509946
3.8,45,-134,-33.5917793560469
3.8,45,-133,-32.1385974951428
3.8,45,-132,-30.6346022715889
3.8,45,-131,-29.2540820927975
3.8,45,-130,-28.0570041061989
3.8,45,-129,-27.0514140905069
3.8,45,-128,-26.2265202707697
3.8,45,-127,-25.5664028920651
3.8,45,-126,-25.0550903624711
3.8,45,-125,-24.6781993932278
3.8,45,-124,-24.4232699164815
3.8,45,-123,-24.2796271040394
3.8,45,-122,-24.2380870694506
3.8,45,-121,-24.2906194231363
3.8,45,-120,-24.4299984160095
3.8,45,-119,-24.6494406170982
3.8,45,-118,-24.942212079914
3.8,45,-117,-25.301181191714
3.8,45,-116,-25.7182927329788
3.8,45,-115,-26.1839475527318
3.8,45,-114,-26.6862996896023
3.8,45,-113,-27.2105431201175
3.8,45,-112,-27.7383680995631
3.8,45,-111,-28.2479177678394
3.8,45,-110,-28.7147059656688
3.8,45,-109,-29.1139059039863
3.8,45,-108,-29.4239785205047
3.8,45,-107,-29.6307725226945
3.8,45,-106,-29.7304911978774
3.8,45,-105,-29.730079331353
3.8,45,-104,-29.6448262154201
3.8,45,-103,-29.4943895829415
3.8,45,-102,-29.2989157226089
3.8,45,-101,-29.0763570954751
3.8,45,-100,-28.8412074819732
3.8,45,-99,-28.604314093999
3.8,45,-98,-28.3732906421378
3.8,45,-97,-28.153157468002
3.8,45,-96,-27.9469894536258
3.8,45,-95,-27.7564728511654
3.8,45,-94,-27.5823431241961
3.8,45,-93,-27.424709577147
3.8,45,-92,-27.2832844553339
3.8,45,-91,-27.1575353871478
3.8,45,-90,-27.0467768132152
3.8,45,-89,-26.9502114904371
3.8,45,-88,-26.8669285819466
3.8,45,-87,-26.7958607246882
3.8,45,-86,-26.7356990017826
3.8,45,-85,-26.6847621969174
3.8,45,-84,-26.6408156703332
3.8,45,-83,-26.600836897825
3.8,45,-82,-26.5607313210487
3.8,45,-81,-26.5150169246674
3.8,45,-80,-26.4565226971147
3.8,45,-79,-26.3761869264748
3.8,45,-78,-26.2630910117549
3.8,45,-77,-26.1049021425831
3.8,45,-76,-25.8888807613522
3.8,45,-75,-25.6034830392109
3.8,45,-74,-25.2403389892052
3.8,45,-73,-24.7961017357793
3.8,45,-72,-24.273539007254
3.8,45,-71,-23.6814386921411
3.8,45,-70,-23.0333659123315
3.8,45,-69,-22.3457508239876
3.8,45,-68,-21.6359372032216
3.8,45,-67,-20.9206610109221
3.8,45,-66,-20.2151378233739
3.8,45,-65,-19.5327039508161
3.8,45,-64,-18.8848487316762
3.8,45,-63,-18.2814695743161
3.8,45,-62,-17.7312231731901
3.8,45,-61,-17.2418960478253
3.8,45,-60,-16.8207570599947
3.8,45,-59,-16.474880317229
3.8,45,-58,-16.2114414905318
3.8,45,-57,-16.0379978572542
3.8,45,-56,-15.9627652294195
3.8,45,-55,-15.9949046752573
3.8,45,-54,-16.1448277980524
3.8,45,-53,-16.4245168015718
3.8,45,-52,-16.8478217890219
3.8,45,-51,-17.4306087085961
3.8,45,-50,-18.1903971169111
3.8,45,-49,-19.1445083427678
3.8,45,-48,-20.3041246951707
3.8,45,-47,-21.65768253227
3.8,45,-46,-23.1296633365256
3.8,45,-45,-24.5033664171287
3.8,45,-44,-25.3834706188093
3.8,45,-43,-25.4469818783055
3.8,45,-42,-24.8273810928145
3.8,45,-41,-23.9300791209027
3.8,45,-40,-23.034310034135
3.8,45,-39,-22.2234926818957
3.8,45,-38,-21.4616044573382
3.8,45,-37,-20.6609565677503
3.8,45,-36,-19.7390566507329
3.8,45,-35,-18.6673423251389
3.8,45,-34,-17.485989803443
3.8,45,-33,-16.2762075234264
3.8,45,-32,-15.1212201375488
